I
1050 Generated by WorldEditor 2.1.0r1

1   1869 1 0 KLSV Nellis AFB
112  36.22882842 -115.05019496  36.22880214 -115.05016916
111  36.22880104 -115.05022211
111  36.22877476 -115.05018953
112  36.22877476 -115.05018953  36.22872912 -115.05014223
111  36.22871671 -115.05015194
112  36.22871326 -115.05016675  36.22871987 -115.05017584
111  36.22871326 -115.05016675
111  36.22874581 -115.05021279
111  36.22857269 -115.05040011
111  36.22859910 -115.05043830
111  36.22842159 -115.05062926
111  36.22866245 -115.05097683
111  36.22848345 -115.05098101
111  36.22835691 -115.05098397
111  36.22820372 -115.05114733
111  36.22820537 -115.05120041
111  36.22806952 -115.05098553
111  36.22810569 -115.05098529
111  36.22810583 -115.05091889
111  36.22801078 -115.05091741
111  36.22801121 -115.05099821
111  36.22799738 -115.05099773
111  36.22799800 -115.05107466
111  36.22794781 -115.05111991
111  36.22775981 -115.05086084
111  36.22754626 -115.05108824
111  36.22763022 -115.05120363
111  36.22750793 -115.05133034
111  36.22742046 -115.05120649
111  36.22700417 -115.05165842
112  36.22700965 -115.05174779  36.22703500 -115.05181256
111  36.22700965 -115.05174779
112  36.22700965 -115.05174779  36.22696720 -115.05167571
111  36.22698788 -115.05158819
111  36.22697784 -115.05157461
111  36.22837093 -115.05006624
111  36.22845339 -115.04997694
111  36.22879794 -115.04960389
111  36.22880346 -115.04961124
112  36.22899310 -115.04961605  36.22907792 -115.04972529
113  36.22899310 -115.04961605
110 1 0.00 0.0000 NW asphalt
111  36.24570723 -115.03510214
111  36.24577064 -115.03508857
111  36.24577838 -115.03508692
111  36.24604471 -115.03502724
111  36.24627119 -115.03497650
111  36.24626357 -115.03491463
111  36.24654142 -115.03490335
111  36.24685382 -115.03489067
111  36.24685613 -115.03496299
111  36.24701901 -115.03495638
111  36.24701670 -115.03488406
111  36.24723607 -115.03487515
111  36.24751042 -115.03486402
111  36.24761836 -115.03485963
111  36.24761316 -115.03464813
111  36.24760542 -115.03433365
111  36.24759612 -115.03395531
111  36.24758809 -115.03362888
111  36.24758145 -115.03335907
111  36.24758105 -115.03334268
111  36.24758062 -115.03332507
111  36.24758013 -115.03330540
111  36.24757539 -115.03311271
111  36.24748738 -115.03311357
111  36.24748738 -115.03286524
111  36.24747061 -115.03286524
111  36.24745620 -115.03286524
111  36.24745178 -115.03270269
111  36.24744628 -115.03250041
111  36.24743749 -115.03217695
111  36.24742857 -115.03184879
111  36.24742640 -115.03176880
112  36.24744417 -115.03169111  36.24745822 -115.03165664
111  36.24748461 -115.03162443
112  36.24754074 -115.03157717  36.24757120 -115.03155939
111  36.24760866 -115.03155140
111  36.24767381 -115.03154908
111  36.24769690 -115.03154826
111  36.24790333 -115.03154094
111  36.24794519 -115.03153945
111  36.24809442 -115.03153416
111  36.24821852 -115.03152975
111  36.24831436 -115.03152564
111  36.24849043 -115.03151921
111  36.24850682 -115.03151861
111  36.24872534 -115.03151064
111  36.24876232 -115.03150929
111  36.24891734 -115.03150363
111  36.24903519 -115.03149933
111  36.24913682 -115.03149530
111  36.24930854 -115.03148935
111  36.24933074 -115.03148852
111  36.24954873 -115.03148056
111  36.24957951 -115.03147944
111  36.24963287 -115.03147749
111  36.24963429 -115.03156178
111  36.24769978 -115.03162628
111  36.24763060 -115.03163414
112  36.24752708 -115.03173105  36.24750068 -115.03181095
111  36.24752708 -115.03173105
111  36.24755105 -115.03266000
111  36.24755191 -115.03269305
111  36.24756088 -115.03274413
111  36.24758148 -115.03278735
111  36.24800610 -115.03276312
111  36.24800610 -115.03273627 53
111  36.24822818 -115.03272719 53
111  36.24925625 -115.03268515
111  36.24926613 -115.03305157 53
111  36.24824405 -115.03309707 53
111  36.24802247 -115.03310693
111  36.24802511 -115.03317635
111  36.24778270 -115.03319010
111  36.24778954 -115.03344625
111  36.24779802 -115.03376333
111  36.24799299 -115.03375624
111  36.24799475 -115.03382227
111  36.24779978 -115.03382936
111  36.24783234 -115.03504730
111  36.24762373 -115.03505647 20
111  36.24762722 -115.03522316 20
112  36.24767038 -115.03529578  36.24771043 -115.03531325
111  36.24767038 -115.03529578 20
111  36.24803039 -115.03527941
111  36.24803071 -115.03535139 20
111  36.24767070 -115.03536776
112  36.24767070 -115.03536776  36.24763197 -115.03538195 20
111  36.24763203 -115.03545343 20
112  36.24772305 -115.03555890  36.24780535 -115.03555562
111  36.24772305 -115.03555890
111  36.24794927 -115.03554744
112  36.24795004 -115.03560622  36.24790823 -115.03562205
111  36.24795221 -115.03566956
111  36.24772600 -115.03568102
112  36.24772600 -115.03568102  36.24763358 -115.03569030 20
111  36.24763925 -115.03579876
111  36.24755438 -115.03580102
111  36.24755073 -115.03572747
111  36.24639628 -115.03578066
113  36.24581951 -115.03588703
110 1 0.00 0.0000 New Taxiway 9
111  36.25015861 -115.03061728
111  36.25030164 -115.03061046
111  36.25030872 -115.03082485
112  36.25024034 -115.03095835  36.25015861 -115.03101293
111  36.25024034 -115.03095835
112  36.25024034 -115.03095835  36.25017197 -115.03093302
113  36.25016411 -115.03083557
110 1 0.00 0.0000 New Taxiway 8
111  36.25040852 -115.03060656
111  36.25054998 -115.03060168
111  36.25055548 -115.03081997
112  36.25048868 -115.03095348  36.25041324 -115.03100708
111  36.25048868 -115.03095348
112  36.25048868 -115.03095348  36.25041245 -115.03090866
113  36.25041245 -115.03082582
110 1 0.00 0.0000 New Taxiway 27
111  36.23276050 -115.03536482
111  36.23275645 -115.03536195
112  36.23270151 -115.03539496  36.23266709 -115.03541048
111  36.23270151 -115.03539496
112  36.23256523 -115.03542074  36.23251611 -115.03541420
111  36.23249638 -115.03540441
112  36.23243347 -115.03537349  36.23240521 -115.03535574
111  36.23237519 -115.03532623
112  36.23232726 -115.03526802  36.23230415 -115.03523082
111  36.23232726 -115.03526802
111  36.23220322 -115.03509277
111  36.23218474 -115.03506556
111  36.23214217 -115.03500609
111  36.23195690 -115.03474731
111  36.23177077 -115.03449525
111  36.23154273 -115.03417385
111  36.23136004 -115.03391865
111  36.23118130 -115.03366983
111  36.23100145 -115.03341837
111  36.23085104 -115.03320806
111  36.23067090 -115.03295618
111  36.23054760 -115.03278378
111  36.23055222 -115.03277591
112  36.23052103 -115.03252605  36.23054356 -115.03240864
111  36.23052103 -115.03252605
112  36.23057054 -115.03237185  36.23060442 -115.03230828
111  36.23057054 -115.03237185
112  36.23057054 -115.03237185  36.23059878 -115.03231786
111  36.23063307 -115.03228336
111  36.23067638 -115.03222322
111  36.23067696 -115.03219101
111  36.23115858 -115.03217096
111  36.23113940 -115.03144419
111  36.23113722 -115.03136125
111  36.23142787 -115.03134966
111  36.23170013 -115.03133880
111  36.23197404 -115.03132787
111  36.23224637 -115.03131700
111  36.23251951 -115.03130611
111  36.23279218 -115.03129523
111  36.23303947 -115.03128536
111  36.23306488 -115.03128322
112  36.23333688 -115.03124241  36.23348645 -115.03120589
111  36.23359732 -115.03115291
112  36.23384445 -115.03101206  36.23399059 -115.03091594
111  36.23407086 -115.03083074
111  36.23427374 -115.03061466
111  36.23447472 -115.03040060
111  36.23468009 -115.03018186
111  36.23488448 -115.02996417
111  36.23509039 -115.02974486
111  36.23529200 -115.02953013
111  36.23549890 -115.02930976
111  36.23570141 -115.02909408
111  36.23590463 -115.02887763
111  36.23611073 -115.02865812
111  36.23631539 -115.02844014
111  36.23652300 -115.02821901
111  36.23672919 -115.02799940
111  36.23693340 -115.02778190
111  36.23713950 -115.02756239
111  36.23734622 -115.02734221
111  36.23755385 -115.02712107
111  36.23775936 -115.02690157
111  36.23796555 -115.02668196
111  36.23817614 -115.02645766
111  36.23837862 -115.02623802
111  36.23858181 -115.02601761
111  36.23878857 -115.02579333
111  36.23899363 -115.02557089
111  36.23919798 -115.02534921
111  36.23940429 -115.02512542
111  36.23961007 -115.02490221
111  36.23981513 -115.02467976
111  36.24001930 -115.02445828
111  36.24022578 -115.02423430
111  36.24039603 -115.02404963
111  36.24056635 -115.02386487
111  36.24073455 -115.02368242
111  36.24090630 -115.02349611
111  36.24108089 -115.02330673
111  36.24128728 -115.02308284
111  36.24149253 -115.02286020
111  36.24169831 -115.02263698
111  36.24190720 -115.02241039
111  36.24211047 -115.02218913
111  36.24231740 -115.02196538
111  36.24253834 -115.02172571
111  36.24255714 -115.02170549
111  36.24257243 -115.02168905
111  36.24273046 -115.02151962
111  36.24293556 -115.02129828
111  36.24314204 -115.02107607
111  36.24334933 -115.02085300
111  36.24355609 -115.02063140
111  36.24376269 -115.02040926
111  36.24386633 -115.02029911
111  36.24390822 -115.02025460
111  36.24391404 -115.02026078
112  36.24412235 -115.02019794  36.24424314 -115.02021405
111  36.24412235 -115.02019794
112  36.24412235 -115.02019794  36.24415942 -115.02020270
111  36.24418890 -115.02021391
112  36.24425389 -115.02024684  36.24428333 -115.02026715
111  36.24429655 -115.02028566
111  36.24418202 -115.02041286
111  36.24414257 -115.02045607
111  36.24388461 -115.02074153
111  36.24406151 -115.02099028
111  36.24424126 -115.02124304
111  36.24442287 -115.02149734
111  36.24451311 -115.02162405
111  36.24461441 -115.02151569
111  36.24480763 -115.02130899
111  36.24485163 -115.02137125
111  36.24485908 -115.02138238
111  36.24487140 -115.02139923
111  36.24498938 -115.02156621
111  36.24503574 -115.02163181
111  36.24502756 -115.02163837
112  36.24499965 -115.02209784  36.24485672 -115.02231444
111  36.24499965 -115.02209784
111  36.24500639 -115.02210738
111  36.24307881 -115.02419487
111  36.24300947 -115.02410179
111  36.24488159 -115.02207936
112  36.24492567 -115.02186500  36.24488786 -115.02174038
111  36.24492567 -115.02186500
111  36.24488553 -115.02178186
111  36.24471111 -115.02154217
111  36.24451240 -115.02176307
111  36.24373704 -115.02066545
111  36.24253161 -115.02196913
111  36.24185592 -115.02269989
111  36.24186088 -115.02272569
111  36.24190009 -115.02278139
111  36.24215642 -115.02314555
112  36.24219751 -115.02315123  36.24222338 -115.02317097
111  36.24219751 -115.02315123
111  36.24232588 -115.02300687
111  36.24234418 -115.02303596
111  36.24221581 -115.02318032
112  36.24221581 -115.02318032  36.24222178 -115.02320746
111  36.24221362 -115.02322681
111  36.24276317 -115.02400754
111  36.24290722 -115.02421219
111  36.24288428 -115.02423634
111  36.24274015 -115.02403471
111  36.24221158 -115.02329523
111  36.24217496 -115.02326073
111  36.24215097 -115.02326294
112  36.24209464 -115.02327101  36.24206977 -115.02322536
111  36.24212010 -115.02320819
111  36.24213823 -115.02319262
111  36.24186751 -115.02281387
111  36.24182798 -115.02275857
111  36.24180305 -115.02275204
111  36.23834063 -115.02651245
111  36.23423551 -115.03088824
112  36.23423551 -115.03088824  36.23378154 -115.03137856
111  36.23320182 -115.03144535
111  36.23120047 -115.03152906
111  36.23120237 -115.03168208
111  36.23125992 -115.03169139
111  36.23249008 -115.03164276
111  36.23250575 -115.03212506
111  36.23127831 -115.03217258
111  36.23121114 -115.03220024
111  36.23120795 -115.03222565
111  36.23110758 -115.03224199
112  36.23090482 -115.03247075  36.23081526 -115.03269133
111  36.23090482 -115.03247075
112  36.23090482 -115.03247075  36.23087019 -115.03256846
111  36.23082974 -115.03262186
111  36.23072272 -115.03276817
111  36.23229808 -115.03496423
111  36.23244883 -115.03517487
112  36.23244883 -115.03517487  36.23257780 -115.03531699
111  36.23271602 -115.03518115
111  36.23273853 -115.03518328
111  36.23275675 -115.03519196
111  36.24287635 -115.02424469
113  36.24294525 -115.02433825
110 1 0.00 0.0000 New Taxiway 19
111  36.22913432 -115.03280553 53
111  36.22909171 -115.03285300 53
111  36.22890954 -115.03260190 53
111  36.22899353 -115.03251157 53
111  36.22888608 -115.03236535 53
111  36.22880271 -115.03245492 53
111  36.22865708 -115.03225564 53
111  36.22869783 -115.03220970 53
111  36.22862373 -115.03210942 53
111  36.22866758 -115.03206349 53
111  36.22863114 -115.03201449 53
111  36.22875403 -115.03188206 53
111  36.22878985 -115.03192952 53
111  36.22883184 -115.03188588 53
111  36.22890532 -115.03198694 53
111  36.22894732 -115.03194253 53
111  36.22909305 -115.03214081 53
111  36.22901031 -115.03222961 53
111  36.22911714 -115.03237659 53
111  36.22919865 -115.03228702 53
111  36.22938082 -115.03253659 53
111  36.22933883 -115.03258175 53
111  36.22941293 -115.03268280 53
113  36.22920719 -115.03290659 53
110 1 0.00 0.0000 New Taxiway 19
111  36.22869895 -115.03327921 53
111  36.22865634 -115.03332668 53
111  36.22847417 -115.03307558 53
111  36.22855815 -115.03298525 53
111  36.22845070 -115.03283903 53
111  36.22836734 -115.03292860 53
111  36.22822191 -115.03273109 53
111  36.22826267 -115.03268516 53
111  36.22818856 -115.03258487 53
111  36.22823241 -115.03253894 53
111  36.22819597 -115.03248995 53
111  36.22831886 -115.03235751 53
111  36.22835468 -115.03240498 53
111  36.22839667 -115.03236134 53
111  36.22847016 -115.03246239 53
111  36.22851215 -115.03241799 53
111  36.22865789 -115.03261626 53
111  36.22857514 -115.03270506 53
111  36.22868197 -115.03285204 53
111  36.22876348 -115.03276248 53
111  36.22894565 -115.03301204 53
111  36.22890366 -115.03305721 53
111  36.22897777 -115.03315826 53
113  36.22877182 -115.03338026 53
110 1 0.00 0.0000 New Taxiway 19
111  36.22828640 -115.03390204 53
111  36.22810517 -115.03365254 53
111  36.22793924 -115.03342410 53
111  36.22778121 -115.03320654 53
111  36.22782197 -115.03316061 53
111  36.22774786 -115.03306033 53
111  36.22779171 -115.03301439 53
111  36.22775527 -115.03296540 53
111  36.22787816 -115.03283296 53
111  36.22791398 -115.03288043 53
111  36.22795597 -115.03283679 53
111  36.22802946 -115.03293784 53
111  36.22807145 -115.03289344 53
111  36.22821719 -115.03309171 53
111  36.22813444 -115.03318051 53
111  36.22824127 -115.03332750 53
111  36.22832278 -115.03323793 53
111  36.22845358 -115.03341712 53
111  36.22850495 -115.03348749 53
111  36.22846296 -115.03353266 53
113  36.22853707 -115.03363371 53
110 1 0.00 0.0000 New Taxiway 12
111  36.22521023 -115.04356382
111  36.22520388 -115.04355881
111  36.22509936 -115.04360534
111  36.22502428 -115.04361321
111  36.22494517 -115.04360033
111  36.22482563 -115.04353232
111  36.22481960 -115.04353697
111  36.22470697 -115.04337920
111  36.22465590 -115.04330881
111  36.22463834 -115.04328434
111  36.22458745 -115.04321341
111  36.22450250 -115.04317088
111  36.22430935 -115.04307417
111  36.22429260 -115.04305914
111  36.22426399 -115.04301885
111  36.22409651 -115.04278304
111  36.22390636 -115.04251532
111  36.22371591 -115.04224617
111  36.22352635 -115.04198028
111  36.22333481 -115.04171059
111  36.22314418 -115.04144219
111  36.22295548 -115.04117651
111  36.22282627 -115.04099458
111  36.22278766 -115.04094023
111  36.22279344 -115.04093378
111  36.22277034 -115.04086650
111  36.22275821 -115.04081710
111  36.22274955 -115.04073120
111  36.22275532 -115.04063528
111  36.22278016 -115.04055654
111  36.22281885 -115.04046920
111  36.22281192 -115.04045990
111  36.22286581 -115.04040058
111  36.22307048 -115.04017530
111  36.22327346 -115.03995188
111  36.22347699 -115.03972786
111  36.22368341 -115.03950065
111  36.22388967 -115.03927362
111  36.22409557 -115.03904698
111  36.22430129 -115.03882055
111  36.22450755 -115.03859352
111  36.22471476 -115.03836545
111  36.22492059 -115.03813889
111  36.22512569 -115.03791314
111  36.22533221 -115.03768582
111  36.22553855 -115.03745799
111  36.22574456 -115.03723126
111  36.22595075 -115.03700435
111  36.22615667 -115.03677772
111  36.22636241 -115.03655131
111  36.22656869 -115.03632429
111  36.22677539 -115.03609680
111  36.22698028 -115.03587132
111  36.22718663 -115.03564494
111  36.22739500 -115.03541557
111  36.22760089 -115.03518892
111  36.22780660 -115.03496247
111  36.22801158 -115.03473747
111  36.22821942 -115.03450924
111  36.22842428 -115.03428359
111  36.22863020 -115.03405676
111  36.22883310 -115.03383325
111  36.22903321 -115.03361283
111  36.22923390 -115.03339176
111  36.22943560 -115.03316958
111  36.22963746 -115.03294722
111  36.22983624 -115.03272826
111  36.22985519 -115.03270739
111  36.22986385 -115.03271598
112  36.23023922 -115.03274390  36.23041246 -115.03291357
111  36.23023922 -115.03274390
111  36.23024499 -115.03273674
111  36.23026832 -115.03276954
111  36.23031114 -115.03282972
111  36.23049034 -115.03308159
111  36.23066814 -115.03333150
111  36.23084720 -115.03358317
111  36.23102374 -115.03383130
111  36.23120366 -115.03408420
111  36.23138732 -115.03434233
111  36.23161876 -115.03466214
111  36.23180309 -115.03492123
111  36.23198496 -115.03517766
111  36.23202935 -115.03523924
111  36.23204806 -115.03526553
111  36.23216997 -115.03543688
111  36.23221765 -115.03550391
111  36.23221246 -115.03550820
111  36.23224256 -115.03558123
112  36.23226009 -115.03566714  36.23226375 -115.03570820
111  36.23226178 -115.03575520
112  36.23222645 -115.03592201  36.23219227 -115.03600932
111  36.23222645 -115.03592201
