I
1050 Generated by WorldEditor 2.2.0r2

1   1130 0 0 3S8 Grants Pass
111  42.50679539 -123.38691304
113  42.50684462 -123.38682666
110 2 0.00 0.0000 New Taxiway 7
111  42.50779484 -123.38726040
111  42.50778097 -123.38728400
111  42.50771674 -123.38739331
111  42.50762080 -123.38729158
113  42.50769968 -123.38715811
110 2 0.00 0.0000 New Taxiway 7
111  42.50771236 -123.38740069
111  42.50762529 -123.38754749
111  42.50753292 -123.38744857
113  42.50761897 -123.38730341
110 2 0.00 0.0000 New Taxiway 7
111  42.50762180 -123.38755338
111  42.50753342 -123.38770238
111  42.50744131 -123.38760310
113  42.50752905 -123.38745448
110 2 0.00 0.0000 New Taxiway 7
111  42.50752897 -123.38770988
111  42.50744032 -123.38785935
111  42.50734883 -123.38776156
113  42.50743711 -123.38761197
110 2 0.00 0.0000 New Taxiway 7
111  42.50776059 -123.38791311
111  42.50765697 -123.38809340
111  42.50757126 -123.38799991
113  42.50767526 -123.38782214
110 2 0.00 0.0000 New Taxiway 7
111  42.50786950 -123.38772503
111  42.50776521 -123.38790507
111  42.50767987 -123.38781426
113  42.50778457 -123.38763530
110 2 0.00 0.0000 New Taxiway 7
111  42.50799541 -123.38750678
111  42.50787239 -123.38772001
111  42.50778708 -123.38763100
113  42.50791277 -123.38741605
110 2 0.00 0.0000 New Taxiway 7
111  42.50819654 -123.38771712
111  42.50800729 -123.38804215
111  42.50799907 -123.38805627
111  42.50799157 -123.38806915
111  42.50789484 -123.38823529
111  42.50785625 -123.38830155
111  42.50778219 -123.38821764
111  42.50796805 -123.38789886
111  42.50797590 -123.38788541
111  42.50807279 -123.38771923
111  42.50808943 -123.38769069
111  42.50812001 -123.38763824
113  42.50817085 -123.38768914
110 2 0.00 0.0000 New Taxiway 7
111  42.50849730 -123.38802630
111  42.50816875 -123.38858573
111  42.50809250 -123.38850649
113  42.50842330 -123.38794884
110 2 0.00 0.0000 New Taxiway 7
111  42.50871121 -123.38826084
111  42.50838298 -123.38881594
111  42.50830506 -123.38873731
111  42.50833470 -123.38868750
111  42.50834325 -123.38867312
111  42.50835181 -123.38865874
113  42.50863699 -123.38817941
110 2 0.00 0.0000 New Taxiway 7
111  42.50892494 -123.38849053
111  42.50859580 -123.38905084
111  42.50852126 -123.38897068
113  42.50884996 -123.38841063
110 2 0.00 0.0000 New Taxiway 6
111  42.50957717 -123.38922159
111  42.50953603 -123.38917582
111  42.50948370 -123.38912021
111  42.50950171 -123.38909297
111  42.50958343 -123.38918003
113  42.50959266 -123.38919867
110 2 0.00 0.0000 New Taxiway 5
111  42.50983723 -123.38945774
111  42.50977092 -123.38957307
111  42.50979091 -123.38959352
111  42.50974562 -123.38967407
111  42.50972512 -123.38965320
111  42.50968962 -123.38971559
111  42.50957561 -123.38959305
111  42.50953723 -123.38955125
111  42.50956978 -123.38949656
111  42.50959246 -123.38952400
111  42.50966591 -123.38940015
111  42.50968064 -123.38937468
111  42.50969192 -123.38938626
113  42.50972090 -123.38933255
110 2 0.00 0.0000 New Taxiway 4
111  42.50949426 -123.38997502
111  42.50944810 -123.38992524
111  42.50946870 -123.38989093
111  42.50942522 -123.38984294
111  42.50946270 -123.38978224
111  42.50950534 -123.38983070
111  42.50952566 -123.38979861
113  42.50956908 -123.38984740
110 2 0.00 0.0000 New Taxiway 4
111  42.50940259 -123.39009687
111  42.50936154 -123.39005196
111  42.50938291 -123.39001782
111  42.50934894 -123.38997751
111  42.50938611 -123.38991639
111  42.50942065 -123.38995572
111  42.50943817 -123.38992717
113  42.50947634 -123.38996902
110 2 0.00 0.0000 New Taxiway 3
111  42.50958458 -123.39058125
111  42.50956097 -123.39055736
111  42.50953488 -123.39060243
111  42.50948675 -123.39055219
111  42.50951363 -123.39050797
111  42.50949099 -123.39048443
111  42.50952008 -123.39043350
111  42.50951389 -123.39043345
111  42.50951002 -123.39042878
111  42.50951011 -123.39042348
111  42.50939500 -123.39030648
111  42.50932996 -123.39042508
111  42.50919286 -123.39028870
111  42.50927064 -123.39015289
111  42.50933632 -123.39022180
111  42.50938870 -123.39028462
111  42.50951344 -123.39041530
111  42.50951835 -123.39041517
111  42.50952548 -123.39042300
111  42.50952527 -123.39042974
111  42.50962194 -123.39052896
111  42.50961878 -123.39053450
113  42.50961407 -123.39052956
110 2 0.00 0.0000 New Taxiway 3
111  42.50967717 -123.39080117
111  42.50954469 -123.39066495
111  42.50961878 -123.39053450
113  42.50975079 -123.39067611
110 2 0.00 0.0000 New Taxiway 3
111  42.50981602 -123.39094254
111  42.50968381 -123.39080521
111  42.50975537 -123.39068103
113  42.50988805 -123.39081825
110 2 0.00 0.0000 New Taxiway 3
111  42.50992515 -123.39102944
111  42.50983113 -123.39093285
111  42.50989450 -123.39082534
113  42.50998605 -123.39091966
110 2 0.00 0.0000 New Taxiway 3
111  42.51005227 -123.39117395
111  42.50994873 -123.39106587
111  42.51001773 -123.39094453
113  42.51012066 -123.39105058
110 2 0.00 0.0000 New Taxiway 3
111  42.51017081 -123.39129276
111  42.51006466 -123.39118390
111  42.51013425 -123.39106141
113  42.51023874 -123.39116907
110 2 0.00 0.0000 New Taxiway 3
111  42.51027926 -123.39140622
111  42.51017352 -123.39129939
111  42.51024114 -123.39118063
113  42.51034618 -123.39128886
110 2 0.00 0.0000 New Taxiway 3
111  42.51039102 -123.39151365
111  42.51028551 -123.39140731
111  42.51034958 -123.39129203
113  42.51045484 -123.39140048
110 2 0.00 0.0000 New Taxiway 3
111  42.51050299 -123.39162477
111  42.51039525 -123.39151903
111  42.51046130 -123.39140487
111  42.51056498 -123.39150965
113  42.51054447 -123.39154758
110 2 0.00 0.0000 New Taxiway 2
111  42.51130234 -123.39128622
111  42.51117442 -123.39150708
111  42.51087226 -123.39118030
113  42.51099636 -123.39096099
110 2 0.00 0.0000 New Taxiway 1
111  42.51004829 -123.38970441
111  42.50970446 -123.39028735
111  42.50966909 -123.39024472
111  42.50962358 -123.39020103
113  42.50996731 -123.38961772
110 2 0.00 0.0000 New Taxiway 1
111  42.51026989 -123.38994393
111  42.50992606 -123.39052559
111  42.50989069 -123.39048297
111  42.50984518 -123.39043928
113  42.51018778 -123.38985469
110 2 0.00 0.0000 New Taxiway 1
111  42.51048600 -123.39017765
111  42.51014181 -123.39075906
111  42.51006111 -123.39067249
113  42.51040494 -123.39008654
110 2 0.00 0.0000 New Taxiway 1
111  42.51068709 -123.39040238
111  42.51034158 -123.39098791
111  42.51026400 -123.39090352
113  42.51060941 -123.39031819
110 2 0.00 0.0000 New Taxiway 1
111  42.51090638 -123.39063933
111  42.51055956 -123.39122919
111  42.51047991 -123.39114231
113  42.51082635 -123.39055195
110 2 0.00 0.0000 New Taxiway 1
111  42.51182791 -123.39148420
111  42.51135824 -123.39228520
111  42.51123800 -123.39215601
111  42.51148861 -123.39172958
111  42.51162260 -123.39150159
111  42.51163170 -123.39148610
111  42.51164157 -123.39146931
113  42.51170913 -123.39135434
110 2 0.00 0.0000 New Taxiway 1
111  42.51219494 -123.39187786
111  42.51175884 -123.39262035
111  42.51175077 -123.39263410
111  42.51174258 -123.39264803
111  42.51167619 -123.39276106
111  42.51154800 -123.39260693
113  42.51206495 -123.39173552
110 2 0.00 0.0000 New Taxiway 1
111  42.51214672 -123.39262893
111  42.51193857 -123.39298072
111  42.51184936 -123.39288479
111  42.51191260 -123.39277775
111  42.51198648 -123.39265271
113  42.51205672 -123.39253382
110 2 0.00 0.0000 New Taxiway 1
111  42.51225824 -123.39245009
111  42.51215348 -123.39262925
111  42.51205994 -123.39252838
113  42.51216510 -123.39235040
110 2 0.00 0.0000 New Taxiway 1
111  42.51234484 -123.39228992
111  42.51225685 -123.39244035
111  42.51216853 -123.39234458
113  42.51225633 -123.39219598
110 2 0.00 0.0000 New Taxiway 1
111  42.51243622 -123.39213460
111  42.51234783 -123.39228577
111  42.51225976 -123.39219017
113  42.51234781 -123.39204115
110 2 0.00 0.0000 New Taxiway 1
111  42.51215493 -123.39298897
111  42.51204956 -123.39316981
111  42.51195832 -123.39306807
113  42.51206591 -123.39289122
110 2 0.00 0.0000 New Taxiway 1
111  42.51226287 -123.39280372
111  42.51215811 -123.39298351
111  42.51206818 -123.39288725
113  42.51217401 -123.39270719
110 2 0.00 0.0000 New Taxiway 1
111  42.51237021 -123.39261950
111  42.51226568 -123.39279889
111  42.51217585 -123.39270289
113  42.51228130 -123.39252403
110 2 0.00 0.0000 New Taxiway 1
111  42.51247796 -123.39243458
111  42.51237326 -123.39261427
111  42.51228350 -123.39251920
113  42.51238953 -123.39233825
110 2 0.00 0.0000 New Taxiway 1
111  42.51257032 -123.39227607
111  42.51248060 -123.39243005
111  42.51239114 -123.39233267
113  42.51248001 -123.39218089
110 2 0.00 0.0000 New Taxiway 1
111  42.51265395 -123.39356533
111  42.51257356 -123.39370258
111  42.51246177 -123.39358786
113  42.51254333 -123.39344865
110 2 0.00 0.0000 New Taxiway 1
111  42.51274511 -123.39340769
111  42.51265674 -123.39356155
111  42.51254602 -123.39344407
113  42.51263488 -123.39329238
110 2 0.00 0.0000 New Taxiway 1
111  42.51283733 -123.39325435
111  42.51274649 -123.39340481
111  42.51263725 -123.39328834
111  42.51267631 -123.39322168
113  42.51272521 -123.39313821
110 2 0.00 0.0000 New Taxiway 1
111  42.51296188 -123.39304374
111  42.51283926 -123.39325188
111  42.51272714 -123.39313491
113  42.51285020 -123.39292487
110 2 0.00 0.0000 New Taxiway 1
111  42.51308717 -123.39283189
111  42.51296427 -123.39303985
111  42.51285272 -123.39292057
113  42.51297479 -123.39271220
110 2 0.00 0.0000 New Taxiway 1
111  42.51282841 -123.39256051
111  42.51278762 -123.39262958
111  42.51272035 -123.39274347
111  42.51265142 -123.39286020
111  42.51258237 -123.39297711
111  42.51251375 -123.39309331
111  42.51244550 -123.39320888
111  42.51237831 -123.39332264
111  42.51231080 -123.39343696
111  42.51220137 -123.39331589
111  42.51223375 -123.39326074
111  42.51230045 -123.39314717
111  42.51236877 -123.39303083
111  42.51243637 -123.39291573
111  42.51250486 -123.39279912
111  42.51257310 -123.39268292
111  42.51264153 -123.39256639
113  42.51271663 -123.39243852
110 1 0.00 0.0000 New Taxiway 99
111  42.51066663 -123.38737134
111  42.51063718 -123.38741998
111  42.51060706 -123.38746982
111  42.51011700 -123.38698390
111  42.50990817 -123.38686318
111  42.50988522 -123.38688525
111  42.50973988 -123.38702505
111  42.50966208 -123.38728014
111  42.50975025 -123.38744554
111  42.51447641 -123.39253237
111  42.51408362 -123.39318773
111  42.51397708 -123.39336549
111  42.51325475 -123.39259086
111  42.51324577 -123.39259700
111  42.51323369 -123.39261669
111  42.51322804 -123.39261025
111  42.51316035 -123.39272291
111  42.51309187 -123.39283690
111  42.51308717 -123.39283189
111  42.51297479 -123.39271220
111  42.51285272 -123.39292057
111  42.51285020 -123.39292487
111  42.51272714 -123.39313491
111  42.51272521 -123.39313821
111  42.51267631 -123.39322168
111  42.51263725 -123.39328834
111  42.51263488 -123.39329238
111  42.51254602 -123.39344407
111  42.51254333 -123.39344865
111  42.51246177 -123.39358786
111  42.51231080 -123.39343696
111  42.51237831 -123.39332264
111  42.51244550 -123.39320888
111  42.51251375 -123.39309331
111  42.51258237 -123.39297711
111  42.51265142 -123.39286020
111  42.51272035 -123.39274347
111  42.51278762 -123.39262958
111  42.51282841 -123.39256051
111  42.51271663 -123.39243852
111  42.51264153 -123.39256639
111  42.51257310 -123.39268292
111  42.51250486 -123.39279912
111  42.51243637 -123.39291573
111  42.51236877 -123.39303083
111  42.51230045 -123.39314717
111  42.51223375 -123.39326074
111  42.51220137 -123.39331589
111  42.51212898 -123.39324625
111  42.51204956 -123.39316981
111  42.51215493 -123.39298897
111  42.51215811 -123.39298351
111  42.51226287 -123.39280372
111  42.51226568 -123.39279889
111  42.51237021 -123.39261950
111  42.51237326 -123.39261427
111  42.51247796 -123.39243458
111  42.51248060 -123.39243005
111  42.51257032 -123.39227607
111  42.51248001 -123.39218089
111  42.51243622 -123.39213460
111  42.51234781 -123.39204115
111  42.51225976 -123.39219017
111  42.51225633 -123.39219598
111  42.51216853 -123.39234458
111  42.51216510 -123.39235040
111  42.51205994 -123.39252838
111  42.51205672 -123.39253382
111  42.51198648 -123.39265271
111  42.51191260 -123.39277775
111  42.51184936 -123.39288479
111  42.51184569 -123.39289099
111  42.51179756 -123.39284426
111  42.51177319 -123.39285776
111  42.51175491 -123.39283954
111  42.51167619 -123.39276106
111  42.51174258 -123.39264803
111  42.51175077 -123.39263410
111  42.51175884 -123.39262035
111  42.51219494 -123.39187786
111  42.51206495 -123.39173552
111  42.51154800 -123.39260693
111  42.51149644 -123.39256233
111  42.51145557 -123.39251493
111  42.51150101 -123.39244065
111  42.51135824 -123.39228520
111  42.51182791 -123.39148420
111  42.51170913 -123.39135434
111  42.51164157 -123.39146931
111  42.51163170 -123.39148610
111  42.51162260 -123.39150159
111  42.51148861 -123.39172958
111  42.51123800 -123.39215601
111  42.51119241 -123.39210926
112  42.51113443 -123.39210828  42.51111481 -123.39213957
111  42.51113443 -123.39210828
111  42.51078987 -123.39269926
111  42.51071670 -123.39262003
111  42.51073470 -123.39257883
111  42.51067897 -123.39248450
111  42.51027691 -123.39205429
111  42.51032153 -123.39198421
111  42.51072064 -123.39241233
111  42.51079896 -123.39245919
111  42.51081533 -123.39244461
111  42.51102196 -123.39209070
111  42.51102113 -123.39205221
111  42.51054447 -123.39154758
111  42.51056498 -123.39150965
111  42.51046130 -123.39140487
111  42.51045484 -123.39140048
111  42.51034958 -123.39129203
111  42.51034618 -123.39128886
111  42.51024114 -123.39118063
111  42.51023874 -123.39116907
111  42.51013425 -123.39106141
111  42.51012066 -123.39105058
111  42.51001773 -123.39094453
111  42.50998605 -123.39091966
111  42.50989450 -123.39082534
111  42.50988805 -123.39081825
111  42.50975537 -123.39068103
111  42.50975079 -123.39067611
111  42.50961878 -123.39053450
111  42.50962194 -123.39052896
111  42.50952527 -123.39042974
111  42.50952548 -123.39042300
111  42.50951835 -123.39041517
111  42.50951344 -123.39041530
111  42.50938870 -123.39028462
111  42.50933632 -123.39022180
111  42.50927064 -123.39015289
111  42.50934504 -123.39003390
111  42.50936154 -123.39005196
111  42.50940259 -123.39009687
111  42.50947634 -123.38996902
111  42.50948939 -123.38998333
111  42.50949426 -123.38997502
111  42.50956908 -123.38984740
111  42.50952566 -123.38979861
111  42.50950534 -123.38983070
111  42.50946270 -123.38978224
111  42.50957561 -123.38959305
111  42.50968962 -123.38971559
111  42.50972512 -123.38965320
111  42.50974562 -123.38967407
111  42.50979091 -123.38959352
111  42.50977092 -123.38957307
111  42.50983723 -123.38945774
111  42.50972090 -123.38933255
111  42.50969192 -123.38938626
111  42.50968064 -123.38937468
111  42.50966591 -123.38940015
111  42.50950814 -123.38922124
111  42.50953603 -123.38917582
111  42.50957717 -123.38922159
111  42.50959266 -123.38919867
111  42.50958343 -123.38918003
111  42.50950171 -123.38909297
111  42.50948370 -123.38912021
111  42.50937720 -123.38900686
111  42.50939546 -123.38897636
111  42.50905765 -123.38861028
111  42.50879746 -123.38904826
112  42.50858167 -123.38914963  42.50845888 -123.38914334
111  42.50858167 -123.38914963
111  42.50794702 -123.38846048
111  42.50796332 -123.38844583
111  42.50835860 -123.38775433
112  42.50835832 -123.38773293  42.50835295 -123.38772307
111  42.50835832 -123.38773293
111  42.50833868 -123.38770982
111  42.50832619 -123.38770841
111  42.50793357 -123.38838361
111  42.50790602 -123.38835438
111  42.50785625 -123.38830155
111  42.50789484 -123.38823529
111  42.50799157 -123.38806915
111  42.50799907 -123.38805627
111  42.50800729 -123.38804215
111  42.50819654 -123.38771712
111  42.50817085 -123.38768914
111  42.50819533 -123.38764883
111  42.50825959 -123.38771754
111  42.50829859 -123.38765222
112  42.50829502 -123.38759073  42.50828284 -123.38756711
111  42.50829502 -123.38759073
111  42.50819168 -123.38747727
112  42.50815160 -123.38747521  42.50813921 -123.38748408
111  42.50815160 -123.38747521
111  42.50807730 -123.38759180
111  42.50812001 -123.38763824
111  42.50808943 -123.38769069
111  42.50807279 -123.38771923
111  42.50797590 -123.38788541
111  42.50796805 -123.38789886
111  42.50778219 -123.38821764
111  42.50774292 -123.38818125
111  42.50766302 -123.38832444
111  42.50744339 -123.38808858
111  42.50753072 -123.38795639
111  42.50744032 -123.38785935
111  42.50752897 -123.38770988
111  42.50753342 -123.38770238
111  42.50762180 -123.38755338
111  42.50762529 -123.38754749
111  42.50771236 -123.38740069
111  42.50771674 -123.38739331
111  42.50778097 -123.38728400
111  42.50781506 -123.38731867
111  42.50787505 -123.38722385
111  42.50788707 -123.38716626
111  42.50770959 -123.38696579
111  42.50769791 -123.38684519
111  42.50769650 -123.38683092
111  42.50730670 -123.38642233
111  42.50727779 -123.38642025
111  42.50725337 -123.38645834
111  42.50715052 -123.38661873
112  42.50715912 -123.38664667  42.50716821 -123.38665810
111  42.50715912 -123.38664667
111  42.50718577 -123.38667253
111  42.50696600 -123.38706168
111  42.50694938 -123.38704479
111  42.50698654 -123.38697698
111  42.50684462 -123.38682666
111  42.50679539 -123.38691304
111  42.50678037 -123.38689763
111  42.50666897 -123.38678335
111  42.50673499 -123.38666635
111  42.50685449 -123.38679290
111  42.50687338 -123.38675918
111  42.50689796 -123.38678378
111  42.50697452 -123.38664671
111  42.50694276 -123.38661491
111  42.50695693 -123.38658859
111  42.50687975 -123.38651087
111  42.50689066 -123.38649137
111  42.50686050 -123.38645943
111  42.50693331 -123.38632817
111  42.50702720 -123.38643376
112  42.50708113 -123.38642516  42.50710569 -123.38639441
111  42.50708113 -123.38642516
111  42.50713315 -123.38633120
111  42.50715218 -123.38629683
112  42.50714103 -123.38624763  42.50712711 -123.38622818
111  42.50714103 -123.38624763
111  42.50696986 -123.38606537
111  42.50694498 -123.38607128
111  42.50692531 -123.38610551
111  42.50686516 -123.38621021
111  42.50680101 -123.38614653
111  42.50685924 -123.38603279
111  42.50687802 -123.38599660
111  42.50686480 -123.38597004
111  42.50682007 -123.38591731
111  42.50679398 -123.38596286
111  42.50663065 -123.38624794
111  42.50657543 -123.38618822
111  42.50652395 -123.38613257
111  42.50668632 -123.38584778
111  42.50670861 -123.38580869
111  42.50665268 -123.38575269
111  42.50663179 -123.38578858
111  42.50611728 -123.38667240
111  42.50558782 -123.38610502
111  42.50574954 -123.38580829
111  42.50574369 -123.38579475
111  42.50572957 -123.38579989
111  42.50572269 -123.38578681
111  42.50587849 -123.38551184
111  42.50596714 -123.38535538
111  42.50605062 -123.38520807
112  42.50603975 -123.38516055  42.50602570 -123.38514135
111  42.50603975 -123.38516055 20
111  42.50591842 -123.38503147
111  42.50582666 -123.38520503
111  42.50580380 -123.38517981
111  42.50567004 -123.38503217
111  42.50564839 -123.38500828
111  42.50573524 -123.38485335
111  42.50569527 -123.38481009
112  42.50567282 -123.38480488  42.50565918 -123.38480917
111  42.50567282 -123.38480488
111  42.50557062 -123.38487026
111  42.50550938 -123.38496697
111  42.50550424 -123.38496142
111  42.50542420 -123.38509954
111  42.50541218 -123.38512028
111  42.50532869 -123.38502747
111  42.50543272 -123.38485750
112  42.50547620 -123.38484696  42.50549300 -123.38483394
111  42.50547620 -123.38484696
111  42.50545751 -123.38479953
111  42.50547349 -123.38480143
111  42.50558235 -123.38472995
112  42.50558374 -123.38468658  42.50557050 -123.38466365
111  42.50558374 -123.38468658
111  42.50535114 -123.38443738
111  42.50532885 -123.38422612
111  42.50538713 -123.38412781
111  42.50549044 -123.38395353
111  42.50615010 -123.38284079
111  42.50617226 -123.38281247
112  42.50636830 -123.38276837  42.50648205 -123.38281840
111  42.50636830 -123.38276837
111  42.50642130 -123.38280642
111  42.50834005 -123.38486943
112  42.50842417 -123.38483260  42.50844013 -123.38474415
111  42.50842417 -123.38483260
111  42.50842397 -123.38478790
111  42.50827957 -123.38462609
111  42.50829613 -123.38459738
111  42.50839129 -123.38443239
111  42.50843541 -123.38448047
111  42.50840219 -123.38453830
111  42.50858968 -123.38474175
111  42.50862448 -123.38468387
111  42.50865036 -123.38471123
111  42.50879257 -123.38486186
111  42.50880784 -123.38483469
111  42.50889309 -123.38492414
111  42.50878264 -123.38510396
111  42.50876847 -123.38512702
111  42.50874609 -123.38512889
111  42.50857003 -123.38493807
111  42.50853492 -123.38492070
112  42.50853492 -123.38492070  42.50849906 -123.38491227
112  42.50848915 -123.38502458  42.50851765 -123.38509998
111  42.50848915 -123.38502458
113  42.50851335 -123.38505363
112  42.51404111 -123.39303465  42.51406348 -123.39300908
111  42.51404111 -123.39303465
111  42.51419458 -123.39277618
112  42.51419458 -123.39277618  42.51422104 -123.39271883
111  42.51421086 -123.39263239
111  42.51417165 -123.39249421
111  42.51230492 -123.39048511
111  42.51221321 -123.39053417
112  42.51221321 -123.39053417  42.51219428 -123.39054985
111  42.51217962 -123.39057060
111  42.51197285 -123.39092286
111  42.51196436 -123.39093732
112  42.51196436 -123.39093732  42.51194145 -123.39099855
111  42.51197570 -123.39104828
111  42.51374222 -123.39294611
111  42.51384797 -123.39305032
111  42.51389431 -123.39308366
112  42.51398065 -123.39307783  42.51402682 -123.39306001
113  42.51398065 -123.39307783
111  42.51189068 -123.39085695
111  42.51189894 -123.39084367
111  42.51209028 -123.39053624
112  42.51209028 -123.39053624  42.51212048 -123.39048096
111  42.51211853 -123.39037954
111  42.51210267 -123.39027194
111  42.51015983 -123.38818428
111  42.51007089 -123.38825001
112  42.51007089 -123.38825001  42.51005473 -123.38826287
111  42.51003105 -123.38829818
111  42.50985906 -123.38861952
112  42.50985906 -123.38861952  42.50985669 -123.38863113
111  42.50985509 -123.38864747
112  42.50985509 -123.38864747  42.50985101 -123.38871120
111  42.50987861 -123.38877006
111  42.50992519 -123.38884552
111  42.51181198 -123.39087407
114  42.51181198 -123.39087407  42.51186353 -123.39089223
112  42.50995491 -123.38797339  42.50994122 -123.38790883
111  42.50995491 -123.38797339
111  42.50803035 -123.38590040
111  42.50793157 -123.38591965
112  42.50793157 -123.38591965  42.50791491 -123.38592773
111  42.50790345 -123.38594187
111  42.50771863 -123.38625251
112  42.50771863 -123.38625251  42.50770881 -123.38628488
111  42.50770587 -123.38633291
112  42.50770587 -123.38633291  42.50770287 -123.38643370
111  42.50775069 -123.38649647
111  42.50960356 -123.38849354
112  42.50960356 -123.38849354  42.50966663 -123.38853793
111  42.50972425 -123.38850620
112  42.50972425 -123.38850620  42.50973506 -123.38850021
111  42.50974289 -123.38849315
113  42.50994485 -123.38817106
111  42.50782756 -123.38583555
112  42.50782756 -123.38583555  42.50783828 -123.38581277
111  42.50783185 -123.38576631
111  42.50780411 -123.38566627
112  42.50596089 -123.38367995  42.50587463 -123.38362011
111  42.50578827 -123.38367946
111  42.50561559 -123.38396513
112  42.50561559 -123.38396513  42.50559828 -123.38400619
111  42.50559374 -123.38406300
112  42.50559374 -123.38406300  42.50558763 -123.38415700
111  42.50562823 -123.38421058
111  42.50581748 -123.38443054
111  42.50732230 -123.38604383
111  42.50744455 -123.38616606
111  42.50749088 -123.38619800
112  42.50749088 -123.38619800  42.50752870 -123.38621128
111  42.50757893 -123.38619562
112  42.50757893 -123.38619562  42.50761703 -123.38618026
113  42.50764046 -123.38615157
111  42.50930681 -123.38697784
111  42.50945772 -123.38706074
111  42.50962690 -123.38690101
111  42.50969399 -123.38667945
111  42.50970502 -123.38664304
111  42.50958372 -123.38641434
111  42.50922032 -123.38597954
111  42.50688129 -123.38346208
111  42.50648714 -123.38308263
111  42.50629568 -123.38297713
111  42.50626905 -123.38300228
111  42.50612277 -123.38314177
111  42.50604755 -123.38339812
113  42.50613959 -123.38356556
111  42.50809278 -123.38744845
112  42.50809278 -123.38744845  42.50811010 -123.38740744
111  42.50809122 -123.38737083
111  42.50798067 -123.38725502
112  42.50798067 -123.38725502  42.50795183 -123.38723431
111  42.50793496 -123.38725770
111  42.50786580 -123.38736633
111  42.50791277 -123.38741605
111  42.50778708 -123.38763100
111  42.50778457 -123.38763530
111  42.50767987 -123.38781426
111  42.50767526 -123.38782214
111  42.50757126 -123.38799991
111  42.50765697 -123.38809340
111  42.50776059 -123.38791311
111  42.50776521 -123.38790507
111  42.50786950 -123.38772503
111  42.50787239 -123.38772001
111  42.50799541 -123.38750678
113  42.50803430 -123.38754893
111  42.50608448 -123.38551828
111  42.50603015 -123.38561277
111  42.50585211 -123.38592250
111  42.50608951 -123.38616006
111  42.50626179 -123.38585889
111  42.50631629 -123.38576361
111  42.50624581 -123.38568901
111  42.50623601 -123.38569044
111  42.50618762 -123.38578008
111  42.50616524 -123.38575631
113  42.50621464 -123.38566143
130 Airport Boundary 
111  42.51483435 -123.39238799
111  42.51395658 -123.39398333
111  42.51354388 -123.39438895
111  42.51258390 -123.39406570
111  42.51114181 -123.39269000
111  42.51089266 -123.39315355
111  42.50975352 -123.39210734
111  42.51009130 -123.39150671
111  42.50868169 -123.39009303
111  42.50887715 -123.38970699
111  42.50451789 -123.38524820
111  42.50519471 -123.38409759
111  42.50457868 -123.38348729
111  42.50541321 -123.38190678
111  42.50598569 -123.38248653
111  42.50633898 -123.38216003
111  42.50826197 -123.38425577
111  42.50854418 -123.38378338
