I
1050 Generated by WorldEditor 2.1.0r1

1    325 1 0 EERI Ridali
1302 city Suurküla
111  57.93634985  026.97516176
112  57.93622435  026.97488843  57.93609494  026.97489237
111  57.93622435  026.97488843
111  57.93608466  026.97490301
112  57.93608466  026.97490301  57.93596404  026.97489366
113  57.93597860  026.97464957
110 3 0.00 0.0000 Grass
111  57.93592180  026.97639596
112  57.93590751  026.97674783  57.93589450  026.97677847
112  57.93586523  026.97827346  57.93586054  026.97842345
112  57.93550417  026.97863495  57.93531551  026.97859819
112  57.93474302  026.97851242  57.93472618  026.97852806
112  57.93469097  026.97854918  57.93466966  026.97853693
112  57.93431365  026.97847566  57.93429413  026.97854918
112  57.93424209  026.97946208  57.93424534  026.97947433
112  57.93448605  026.97953560  57.93450231  026.97954173
112  57.93461291  026.97955398  57.93463893  026.97955398
112  57.93469423  026.97961525  57.93471699  026.97961525
112  57.94496346  026.98193632  57.94497160  026.98193632
112  57.94501768  026.98192610  57.94502310  026.98193121
112  57.94505563  026.98195164  57.94506105  026.98195164
112  57.94513423  026.98195575  57.94513966  026.98192300
112  57.94520638  026.98093737  57.94520638  026.98090248
112  57.94512068  026.98091489  57.94511255  026.98091489
112  57.94508544  026.98095064  57.94507731  026.98094043
112  57.94505292  026.98091489  57.94503123  026.98091489
112  57.93800522  026.97926040  57.93766051  026.97911487
112  57.93761489  026.97699838  57.93778442  026.97673583
111  57.93761489  026.97699838
112  57.93761489  026.97699838  57.93765340  026.97694008
112  57.93759259  026.97650168  57.93759259  026.97645982
112  57.93758977  026.97628640  57.93758826  026.97625790
112  57.93750770  026.97622990  57.93750506  026.97621129
112  57.93747991  026.97582684  57.93747606  026.97577863
112  57.93739713  026.97549086  57.93739396  026.97544408
112  57.93733541  026.97492725  57.93733149  026.97489770
112  57.93727942  026.97483990  57.93725327  026.97483938
111  57.93668112  026.97489641
112  57.93647402  026.97487724  57.93646556  026.97486115
111  57.93642807  026.97461932
111  57.93635025  026.97462101
112  57.93632535  026.97480970  57.93629398  026.97483187
112  57.93625531  026.97479765  57.93623962  026.97476072
112  57.93620955  026.97449724  57.93619256  026.97445046
112  57.93606968  026.97444061  57.93606053  026.97446277
112  57.93608406  026.97483459  57.93608557  026.97485882
112  57.93611671  026.97488205  57.93612394  026.97490205
112  57.93612850  026.97498972  57.93612136  026.97499981
111  57.93612850  026.97498972
112  57.93612850  026.97498972  57.93611805  026.97500450
112  57.93596641  026.97502173  57.93595203  026.97505374
113  57.93592719  026.97616429
111  57.93667118  026.97561928
111  57.93662673  026.97562667
111  57.93637444  026.97566114
111  57.93637091  026.97548047
111  57.93635876  026.97548139
111  57.93635614  026.97538535
111  57.93666465  026.97534349
111  57.93666707  026.97544592
113  57.93666741  026.97546030
130 Airport Boundary
111  57.93451883  026.97617786
111  57.93353612  026.98154430
111  57.93536399  026.98184218
111  57.93537442  026.98189147
111  57.93809010  026.98223147
111  57.94199116  026.98274187
111  57.94199956  026.98203905
111  57.94201626  026.98199225
111  57.94505287  026.98257155
111  57.94518924  026.98165045
111  57.94537296  026.97999652
111  57.94541513  026.97937558
111  57.94412760  026.97896222
111  57.94392595  026.97873062
111  57.94381282  026.97886117
111  57.94243917  026.97842016
111  57.93899526  026.97749026
111  57.93899342  026.97686808
111  57.93821564  026.97671200
111  57.93820710  026.97586613
111  57.93751869  026.97589766
111  57.93732744  026.97480948
111  57.93669675  026.97487537
111  57.93669062  026.97434403
111  57.93588520  026.97438050
111  57.93588690  026.97505985
111  57.93562229  026.97595938
113  57.93533195  026.97625031
120 Linear Feature 80
111  57.93680514  026.97505538 30
111  57.93706463  026.97503557
111  57.93710170  026.97503274 30
115  57.93714103  026.97502973
14  57.93665177  026.97551445  45.93 0 Tower Viewpoint
1300  57.93639151  026.97474680  88.17 tie_down turboprops|props Hangar 1 Apron
1301 A general_aviation 
1300  57.93710170  026.97503274 355.64 tie_down turboprops|props Hangar 2 Apron
1301 A general_aviation 
1300  57.93715384  026.97540771 356.99 tie_down turboprops|props Hangar 3 Apron
1301 A general_aviation 
1300  57.93705626  026.97583151 356.99 tie_down turboprops|props Concrete
1301 B general_aviation 
1300  57.93663712  026.97602222  90.00 tie_down turboprops|props Grass parking 1
1301 A general_aviation 
1300  57.93643299  026.97604269  90.00 tie_down turboprops|props Grass parking 2
1301 A general_aviation 
1300  57.93624595  026.97605801  90.00 tie_down turboprops|props Grass parking 3
1301 B general_aviation 
1300  57.93604537  026.97606312  90.00 tie_down turboprops|props Grass parking 4
1301 B general_aviation 
19  57.93797791  026.97733303 0 WDI
51 12500 Ridali Radio
99
