A
1000 Generated by WorldEditor

1    165 1 0 BGSF Kangerlussuaq
110 2 0.00 12.0000 New Taxiway 33
111  67.00841708 -050.70853890
111  67.00848050 -050.70823762
111  67.00859884 -050.70840087
113  67.00853542 -050.70870215
110 2 0.00 12.0000 New Taxiway 33
111  67.00822550 -050.70944267
111  67.00828892 -050.70914139
111  67.00840726 -050.70930463
113  67.00834384 -050.70960591
110 2 0.00 12.0000 New Taxiway 33
111  67.00803489 -050.71033647
111  67.00809831 -050.71003519
111  67.00821665 -050.71019843
113  67.00815324 -050.71049971
110 2 0.00 12.0000 New Taxiway 33
111  67.00784429 -050.71124271
111  67.00790770 -050.71094143
111  67.00802604 -050.71110467
113  67.00796263 -050.71140595
110 2 0.00 12.0000 New Taxiway 33
111  67.00746599 -050.71304023
111  67.00752940 -050.71273895
111  67.00764774 -050.71290220
113  67.00758433 -050.71320348
110 2 0.00 12.0000 New Taxiway 33
111  67.00727441 -050.71394148
111  67.00733782 -050.71364020
111  67.00745616 -050.71380344
113  67.00739275 -050.71410472
110 2 0.00 12.0000 New Taxiway 33
111  67.00708380 -050.71484022
111  67.00714722 -050.71453894
111  67.00726556 -050.71470219
113  67.00720214 -050.71500347
110 2 0.00 12.0000 New Taxiway 33
111  67.00689222 -050.71574145
111  67.00695564 -050.71544017
111  67.00707398 -050.71560342
113  67.00701056 -050.71590470
110 2 0.00 12.0000 New Taxiway 33
111  67.00670453 -050.71664517
111  67.00676795 -050.71634389
111  67.00688629 -050.71650713
113  67.00682287 -050.71680841
110 2 0.00 12.0000 New Taxiway 33
111  67.01088362 -050.70656452
111  67.01094918 -050.70625161
111  67.01099556 -050.70631470
113  67.01093000 -050.70662761
110 2 0.00 12.0000 New Taxiway 33
111  67.00945983 -050.71404727
111  67.00947489 -050.71397471
111  67.00952127 -050.71403779
113  67.00950621 -050.71411036
110 2 0.00 12.0000 New Taxiway 33
111  67.00931104 -050.71475438
111  67.00932610 -050.71468182
111  67.00937248 -050.71474490
113  67.00935742 -050.71481747
110 2 0.00 12.0000 New Taxiway 33
111  67.00935480 -050.71436070
111  67.00938538 -050.71421333
111  67.00947957 -050.71434144
113  67.00944899 -050.71448881
110 2 0.00 12.0000 New Taxiway 33
111  67.01828775 -050.69788412
111  67.01832289 -050.69764260
111  67.01881191 -050.69810937
113  67.01877677 -050.69835089
110 2 0.00 12.0000 New Taxiway 33
111  67.01887582 -050.69567517
111  67.01895501 -050.69533390
111  67.01909327 -050.69554437
113  67.01901409 -050.69588563
110 2 0.00 12.0000 New Taxiway 33
111  67.01906483 -050.69484370
111  67.01919723 -050.69420439
111  67.01899343 -050.69402327
111  67.01900568 -050.69397398
111  67.01920753 -050.69415466
111  67.01921650 -050.69410912
111  67.01936317 -050.69430089
111  67.01938309 -050.69432694
111  67.01922968 -050.69506768
111  67.01915006 -050.69495950
111  67.01911650 -050.69503910
111  67.01895273 -050.69489176
111  67.01896087 -050.69482744
111  67.01907274 -050.69492893
113  67.01908088 -050.69486552
110 2 0.00 12.0000 New Taxiway 33
111  67.01893684 -050.69488244
111  67.01894623 -050.69480626
111  67.01897675 -050.69483093
113  67.01896736 -050.69490711
110 2 0.00 12.0000 New Taxiway 33
111  67.01896766 -050.69400998
111  67.01899051 -050.69384601
111  67.01903600 -050.69388760
113  67.01901315 -050.69405157
110 2 0.00 12.0000 New Taxiway 33
111  67.01921650 -050.69410912
111  67.01941858 -050.69308658
111  67.01956536 -050.69327812
113  67.01936317 -050.69430089
110 2 0.00 12.0000 New Taxiway 33
111  67.01946710 -050.69354869
111  67.01976800 -050.69213009
111  67.01986805 -050.69226932
113  67.01956715 -050.69368792
110 2 0.00 12.0000 New Taxiway 33
111  67.01960844 -050.69504567
111  67.01976174 -050.69347970
111  67.01987219 -050.69355064
113  67.01971889 -050.69511661
110 2 0.00 12.0000 New Taxiway 33
111  67.01968126 -050.69207320
111  67.01972799 -050.69184656
111  67.01990869 -050.69209100
113  67.01986196 -050.69231765
110 2 0.00 12.0000 New Taxiway 33
111  67.01949747 -050.69359997
111  67.01955653 -050.69331352
111  67.01978492 -050.69362247
113  67.01972585 -050.69390892
110 2 0.00 12.0000 New Taxiway 33
111  67.01993304 -050.69120310
111  67.01985376 -050.69109380
111  67.01997811 -050.69050203
113  67.02005739 -050.69061133
110 2 0.00 12.0000 New Taxiway 33
111  67.01986527 -050.69204585
111  67.01975610 -050.69189535
111  67.01992733 -050.69108050
113  67.02003649 -050.69123100
110 2 0.00 12.0000 New Taxiway 33
111  67.01937833 -050.69444843
111  67.01945427 -050.69408257
111  67.01955481 -050.69421949
113  67.01947886 -050.69458535
110 2 0.00 12.0000 New Taxiway 33
111  67.01928303 -050.69413177
111  67.01931252 -050.69398090
111  67.01948813 -050.69420611
113  67.01945864 -050.69435698
110 2 0.00 12.0000 New Taxiway 33
111  67.01796466 -050.70075143
111  67.01802643 -050.70032453
111  67.01839785 -050.70067707
113  67.01833609 -050.70110397
110 2 0.00 12.0000 New Taxiway 33
111  67.01820588 -050.69960429
111  67.01806057 -050.69947169
111  67.01814567 -050.69885988
113  67.01829099 -050.69899248
110 2 0.00 12.0000 New Taxiway 33
111  67.01852222 -050.69891315
111  67.01855274 -050.69869991
111  67.01872893 -050.69886014
113  67.01869841 -050.69907338
110 2 0.00 12.0000 New Taxiway 33
111  67.01817242 -050.69873380
111  67.01822066 -050.69839674
111  67.01842346 -050.69858713
113  67.01837522 -050.69892420
110 2 0.00 12.0000 New Taxiway 33
111  67.00682441 -050.70629919
111  67.00711085 -050.70492050
111  67.00764881 -050.70565301
113  67.00736236 -050.70703171
110 2 0.00 12.0000 New Taxiway 33
111  67.00660552 -050.70740139
111  67.00685487 -050.70620126
111  67.00732315 -050.70683890
113  67.00707381 -050.70803904
110 1 0.00 12.0000 New Taxiway 31
111  67.00946359 -050.70622144
111  67.00956588 -050.70573574
112  67.00952822 -050.70558245  67.00948589 -050.70552285
111  67.00931193 -050.70528205
111  67.00919588 -050.70583157
111  67.00913744 -050.70575076
111  67.00925336 -050.70520117
111  67.00905302 -050.70492394
111  67.00968910 -050.70191249
111  67.01046847 -050.70299208
111  67.01043125 -050.70318323
111  67.01022578 -050.70289825
111  67.01007727 -050.70360235
111  67.01027733 -050.70387910
111  67.01019892 -050.70426390
111  67.00999666 -050.70398373
113  67.00951321 -050.70627275
111  67.00962745 -050.70544581
111  67.00992367 -050.70404263
112  67.00990768 -050.70386090  67.00987662 -050.70381747
111  67.00980338 -050.70371614
111  67.00990780 -050.70323237
112  67.01000260 -050.70336323  67.01004615 -050.70342358
111  67.01006999 -050.70334866
111  67.01015671 -050.70293682
112  67.01014622 -050.70281327  67.01013432 -050.70277834
111  67.01009054 -050.70271103
111  67.00973933 -050.70222486
112  67.00968589 -050.70223570  67.00967332 -050.70229471
111  67.00947066 -050.70325605
112  67.00945047 -050.70348499  67.00945558 -050.70354957
111  67.00951734 -050.70431021
111  67.00937327 -050.70499236
112  67.00940678 -050.70524050  67.00945814 -050.70531093
114  67.00956462 -050.70545878  67.00960135 -050.70551048
110 1 0.00 12.0000 New Taxiway 26
111  67.01942431 -050.69165039
112  67.01943078 -050.69177751  67.01943161 -050.69187563
111  67.01941522 -050.69201165
111  67.01929383 -050.69303788
111  67.01923631 -050.69350055
111  67.01932362 -050.69361986
111  67.01907680 -050.69483623
111  67.01888327 -050.69567065
111  67.01864015 -050.69535183
111  67.01893481 -050.69396695
111  67.01907379 -050.69405209
111  67.01916918 -050.69354601
112  67.01916043 -050.69343392  67.01913648 -050.69340068
111  67.01907291 -050.69331934
111  67.01909182 -050.69322932
111  67.01918611 -050.69335218
112  67.01922832 -050.69330934  67.01924372 -050.69323923
111  67.01925087 -050.69316491
111  67.01938897 -050.69198924
112  67.01940258 -050.69177752  67.01940217 -050.69168915
113  67.01934784 -050.69147843
110 1 0.00 12.0000 New Taxiway 25
111  67.01903776 -050.69314891
112  67.01911341 -050.69296894  67.01914729 -050.69284134
112  67.01915931 -050.69272189  67.01916251 -050.69263250
111  67.01904815 -050.69164345
111  67.01908492 -050.69168072
112  67.01919186 -050.69275422  67.01918721 -050.69288985
113  67.01909484 -050.69321701
110 2 0.00 12.0000 New Taxiway 6
111  67.01861526 -050.69234609
111  67.01849984 -050.69219649
111  67.01851718 -050.69215867
111  67.01885744 -050.69141445
111  67.01908317 -050.69034522
111  67.01920465 -050.69051254
111  67.01898395 -050.69155856
111  67.01894843 -050.69150940
111  67.01865544 -050.69214502
113  67.01864469 -050.69220008
110 1 0.00 12.0000 New Taxiway 3
111  67.00473777 -050.74567890
111  67.01754104 -050.68504764
111  67.01805567 -050.68576013
113  67.00525235 -050.74639132
110 1 0.00 12.0000 New Taxiway 2
111  67.01701421 -050.69056258
111  67.01704207 -050.69081798
112  67.01700101 -050.69123681  67.01701987 -050.69138061
111  67.01709487 -050.69149402
111  67.01780027 -050.69245927
112  67.01794646 -050.69258088  67.01798562 -050.69259254
111  67.01808625 -050.69253062
111  67.01851718 -050.69215867
111  67.01885744 -050.69141445
111  67.01908317 -050.69034522
111  67.01916963 -050.68993566
111  67.01932731 -050.69015400
111  67.01924013 -050.69056689
111  67.01939809 -050.69078553
111  67.01940890 -050.69093603
111  67.01966988 -050.69129954
112  67.01962444 -050.69158818  67.01958494 -050.69177275
111  67.01955861 -050.69183857
111  67.01942431 -050.69165039
111  67.01934784 -050.69147843
111  67.01927325 -050.69137700
111  67.01917818 -050.69182746
111  67.01898395 -050.69155856
111  67.01894843 -050.69150940
111  67.01865544 -050.69214502
111  67.01864469 -050.69220008
111  67.01880191 -050.69240292
111  67.01884738 -050.69256818
111  67.01891009 -050.69297654
111  67.01909484 -050.69321701
111  67.01845720 -050.69624155
111  67.01811704 -050.69650082
111  67.01780907 -050.69608766
111  67.01775481 -050.69564820
111  67.01792053 -050.69421716
112  67.01779734 -050.69363498  67.01777366 -050.69355102
111  67.01764775 -050.69325938
111  67.01690422 -050.69222274
112  67.01690422 -050.69222274  67.01684412 -050.69214112
112  67.01672677 -050.69233542  67.01669490 -050.69247768
111  67.01672677 -050.69233542
111  67.01668424 -050.69252321
111  67.01657278 -050.69258706
113  67.01699661 -050.69059647
110 1 0.00 12.0000 New Taxiway 1
111  67.01756909 -050.68509003
111  67.01595319 -050.69269919
112  67.01588160 -050.69186650  67.01575418 -050.69162307
111  67.01564786 -050.69172049
111  67.01539388 -050.69215633
111  67.01534335 -050.69213484 1 102
111  67.01492083 -050.69195514
112  67.01492083 -050.69195514  67.01481693 -050.69191506 1 102
112  67.01458368 -050.69209601  67.01450709 -050.69224431
111  67.01458368 -050.69209601 1 102
111  67.01373547 -050.69379549 1 102
112  67.01357869 -050.69424177  67.01352460 -050.69449691
111  67.01357869 -050.69424177 1 102
111  67.01211959 -050.70115303
112  67.01211002 -050.70212423  67.01212468 -050.70222937
111  67.01237815 -050.70270765
111  67.01313024 -050.70324695
111  67.01355624 -050.70307381
111  67.01388098 -050.70265578
111  67.01326877 -050.70550931
111  67.01326522 -050.70450513
111  67.01298995 -050.70384816
111  67.01225031 -050.70331839
112  67.01182787 -050.70351462  67.01177654 -050.70357094
111  67.01149136 -050.70412872 1 102
111  67.01117920 -050.70560731 1 102
111  67.01088021 -050.70519335 1 102
111  67.00819485 -050.71791333
112  67.00817772 -050.71880256  67.00818417 -050.71890168
111  67.00838459 -050.71954753
111  67.00943598 -050.72099626
112  67.00978542 -050.72101048  67.00983720 -050.72097099
111  67.01006934 -050.72062431
111  67.00953521 -050.72312756
112  67.00954586 -050.72221440  67.00952162 -050.72205360
111  67.00933520 -050.72144167
111  67.00929412 -050.72138508
111  67.00828637 -050.71999697
112  67.00794703 -050.71997016  67.00790831 -050.71999081
111  67.00765081 -050.72049019 1 102
111  67.00734726 -050.72192800 1 102
111  67.00572210 -050.71967805 1
111  67.00877005 -050.70523883 1 102
111  67.00953632 -050.70629962
112  67.00953632 -050.70629962  67.00964344 -050.70644766 1 102
112  67.00982477 -050.70602002  67.00990031 -050.70566617
111  67.00982477 -050.70602002 1 102
111  67.01135630 -050.69876505
112  67.01135630 -050.69876505  67.01140731 -050.69851515 1 102
112  67.01128837 -050.69804730  67.01123009 -050.69796427
111  67.01128837 -050.69804730 1 102
111  67.01108330 -050.69775726
111  67.01141757 -050.69598706
111  67.01155887 -050.69532406
111  67.01166657 -050.69540091
111  67.01195840 -050.69426447 1 102
111  67.01216161 -050.69454602
112  67.01216161 -050.69454602  67.01232670 -050.69477225 1 102
112  67.01266484 -050.69433664  67.01284056 -050.69399049
111  67.01266484 -050.69433664 1 102
111  67.01403441 -050.69158857
111  67.01409501 -050.69121331
111  67.01655319 -050.68713882
111  67.01674160 -050.68622455
111  67.01745779 -050.68504218
113  67.01755834 -050.68507160
130 Airport Boundary 35
111  67.01854832 -050.68558223
111  67.01896049 -050.68611837
111  67.01923527 -050.68734144
111  67.01941191 -050.68848074
111  67.01957547 -050.68960329
111  67.01978483 -050.69075934
111  67.01992876 -050.69122001
111  67.02007989 -050.69142274
111  67.02003671 -050.69263909
111  67.01995035 -050.69380014
111  67.01979922 -050.69534822
111  67.01964809 -050.69577210
111  67.01959772 -050.69663828
111  67.01920190 -050.69665671
111  67.01884207 -050.69673043
111  67.01865496 -050.69674886
111  67.01844625 -050.69674886
111  67.01829512 -050.69669357
111  67.01782734 -050.69639870
111  67.01767621 -050.69577210
111  67.01750349 -050.69474005
111  67.01740274 -050.69392915
111  67.01723002 -050.69394758
111  67.01707889 -050.69472162
111  67.01688458 -050.69556937
111  67.01615052 -050.69827830
111  67.01567554 -050.70056333
111  67.01558199 -050.70172428
111  67.01602818 -050.70329061
111  67.01613613 -050.70561247
111  67.01600659 -050.70682869
111  67.01549563 -050.70776849
111  67.01499186 -050.70859772
111  67.01469680 -050.70944539
111  67.01457446 -050.71080902
111  67.01418584 -050.71132468
111  67.01409948 -050.71287248
111  67.01413546 -050.71419917
111  67.01404910 -050.71547058
111  67.01373245 -050.71666829
111  67.01347337 -050.71797655
111  67.01334383 -050.71959769
111  67.01271772 -050.72180869
111  67.01174617 -050.72265624
111  67.01127119 -050.72320899
111  67.01078182 -050.72387229
111  67.01042919 -050.72527258
111  67.01023488 -050.72615662
111  67.00572258 -050.74712037
111  67.00411053 -050.74513091
111  67.00885312 -050.72350431
111  67.00785279 -050.72197514
111  67.00746417 -050.72289627
111  67.00566500 -050.72042765
111  67.00560218 -050.71849731
111  67.00534310 -050.71507111
111  67.00628586 -050.70740757
111  67.00677524 -050.70416531
111  67.00773959 -050.70305990
111  67.00871113 -050.70171503
111  67.00973306 -050.69900687
111  67.01040954 -050.69688824
111  67.01176971 -050.69226360
111  67.01261172 -050.69073434
111  67.01356168 -050.69119496
111  67.01462678 -050.69018125
111  67.01579264 -050.68774891
111  67.01653389 -050.68631161
111  67.01713841 -050.68496603
113  67.01776452 -050.68463432
120 Linear Feature 1
111  67.01857383 -050.69519556 1
111  67.01852432 -050.69512701 1
111  67.01825928 -050.69476006
112  67.01825928 -050.69476006  67.01808604 -050.69451922 1
116  67.01794384 -050.69317089  67.01777802 -050.69294098
120 Linear Feature 29
111  67.01550853 -050.69185309 4
115  67.01638896 -050.68768267
120 Linear Feature 29
111  67.00929412 -050.72138508 4
115  67.00938969 -050.72093248
120 Linear Feature 29
111  67.01299557 -050.70385218 4
115  67.01312428 -050.70324268
120 Linear Feature 29
111  67.01755866 -050.69234220 4
115  67.01746257 -050.69279737
120 Linear Feature 28
111  67.00976307 -050.72339597 1
115  67.00989731 -050.72276002
120 Linear Feature 28
111  67.01016879 -050.72147417 1
115  67.01030304 -050.72083824
120 Linear Feature 28
111  67.01354336 -050.70548963 1
115  67.01367760 -050.70485363
120 Linear Feature 28
111  67.01394206 -050.70360109 1
115  67.01407628 -050.70296531
120 Linear Feature 23
111  67.01818607 -050.69303867 1
112  67.01829482 -050.69292600  67.01836655 -050.69289028 1
111  67.01871726 -050.69271165
112  67.01871726 -050.69271165  67.01873520 -050.69270314 1
112  67.01876442 -050.69300426  67.01870530 -050.69322712 1
111  67.01860301 -050.69304169 1
111  67.01857656 -050.69304244 1
115  67.01854323 -050.69304339
120 Linear Feature 22
111  67.01794384 -050.69317089 1
112  67.01814113 -050.69313735  67.01820955 -050.69298765
111  67.01814113 -050.69313735 1
111  67.01818607 -050.69303867 1
111  67.01891146 -050.69144591 1
111  67.01894510 -050.69128549 1
111  67.01903942 -050.69083556 1
111  67.01912000 -050.69045118
112  67.01912000 -050.69045118  67.01914144 -050.69034660 1
112  67.01919377 -050.69024723  67.01921027 -050.69023032 1
115  67.01920988 -050.69028929
120 Linear Feature 21
111  67.01799212 -050.69455756 1
111  67.01787916 -050.69554004 1
112  67.01790203 -050.69589220  67.01793637 -050.69602694 1
112  67.01801815 -050.69583292  67.01803130 -050.69566263 1
112  67.01794270 -050.69557576  67.01795605 -050.69552353
111  67.01794270 -050.69557576 1
115  67.01796661 -050.69546449
120 Linear Feature 19
112  67.01134194 -050.70231388  67.01120166 -050.70221660 1
116  67.01123063 -050.70145723  67.01126132 -050.70130383
120 Linear Feature 18
111  67.01354231 -050.70389171 1
111  67.01159564 -050.70249580 1
111  67.01134194 -050.70231388 1
116  67.01101749 -050.70246686  67.01094661 -050.70280360
120 Linear Feature 16
111  67.01255632 -050.69533439 1
111  67.01328120 -050.69388203 1
111  67.01414602 -050.69214930 1
111  67.01508369 -050.69064145 1
111  67.01666762 -050.68809436 1
112  67.01695803 -050.68822213  67.01709707 -050.68855970 1
111  67.01705116 -050.68892630 1
115  67.01702159 -050.68907241
120 Linear Feature 15
111  67.01689881 -050.69109409 1 102
112  67.01704864 -050.69164435  67.01717756 -050.69181522
111  67.01704864 -050.69164435 1 102
111  67.01755866 -050.69234220 1 102
111  67.01778311 -050.69264932 1 102
111  67.01801493 -050.69277820 1 102
115  67.01838754 -050.69245961
120 Linear Feature 13
111  67.00990677 -050.72131955 1 102
112  67.00965041 -050.72129173  67.00951946 -050.72111061
111  67.00965041 -050.72129173 1 102
111  67.00943598 -050.72099626 1 102
111  67.00938969 -050.72093248 1 102
111  67.00838459 -050.71954753 1 102
111  67.00813426 -050.71920260
112  67.00813426 -050.71920260  67.00804019 -050.71906966 1 102
112  67.00807057 -050.71850182  67.00811422 -050.71828604
111  67.00807057 -050.71850182 1 102
115  67.00819485 -050.71791333
120 Linear Feature 12
111  67.00765081 -050.72049019 1 102
112  67.00778795 -050.71984058  67.00782558 -050.71966140 1 102
111  67.00804314 -050.71966194 1 102
111  67.00828637 -050.71999697 1 102
111  67.00933520 -050.72144167 1 102
111  67.00955662 -050.72174665
112  67.00955662 -050.72174665  67.00968230 -050.72192391 1 102
115  67.00970072 -050.72229546
120 Linear Feature 14
111  67.01669614 -050.69206095 1 102
112  67.01694719 -050.69207883  67.01708798 -050.69226418
111  67.01694719 -050.69207883 1 102
111  67.01746257 -050.69279737 1 102
111  67.01769072 -050.69311546 1 102
111  67.01784680 -050.69350592 1 102
111  67.01799325 -050.69422280 1 102
111  67.01782753 -050.69565385 1 102
111  67.01786655 -050.69595664 1 102
111  67.01812806 -050.69631457 1 102
111  67.01841074 -050.69609910 1
111  67.01900338 -050.69327909 1 102
111  67.01885755 -050.69308955 1 102
111  67.01877294 -050.69254893 1 102
115  67.01861526 -050.69234609
120 Linear Feature 11
111  67.01211959 -050.70115303 1 102
111  67.01200305 -050.70170492
112  67.01200305 -050.70170492  67.01195431 -050.70194988 1 102
112  67.01211534 -050.70251919  67.01226066 -050.70262687
111  67.01211534 -050.70251919 1 102
111  67.01237815 -050.70270765 1 102
111  67.01312428 -050.70324268 1 102
111  67.01313024 -050.70324695 1 102
111  67.01341428 -050.70345063
112  67.01341428 -050.70345063  67.01359365 -050.70358097 1 102
115  67.01371571 -050.70328658
120 Linear Feature 10
111  67.01344779 -050.70454903 1 102
112  67.01322795 -050.70401863  67.01302070 -050.70387276
111  67.01322795 -050.70401863 1 102
111  67.01299557 -050.70385218 1 102
111  67.01298995 -050.70384816 1 102
111  67.01225031 -050.70331839 1 102
111  67.01195918 -050.70310986
112  67.01195918 -050.70310986  67.01178368 -050.70298480 1 102
112  67.01162163 -050.70351164  67.01158898 -050.70366638
111  67.01162163 -050.70351164 1 102
115  67.01149136 -050.70412872
120 Linear Feature 8
111  67.01403441 -050.69158857 1 102
111  67.01413306 -050.69142188 1 102
111  67.01638896 -050.68768267 1 102
111  67.01716108 -050.68640286 1 102
111  67.01723502 -050.68605261 1 102
115  67.01724315 -050.68606386
120 Linear Feature 7
111  67.01534335 -050.69213484 1 102
111  67.01550853 -050.69185309 1 102
111  67.01564719 -050.69161658 1 102
112  67.01591021 -050.69178088  67.01605017 -050.69206007 1 102
115  67.01598248 -050.69253884
120 Linear Feature 24
112  67.01903942 -050.69083556  67.01913323 -050.69074853 1
111  67.01919878 -050.69084164 1
111  67.01926740 -050.69093866
112  67.01926740 -050.69093866  67.01931366 -050.69096230 1
116  67.01929180 -050.69081352  67.01927084 -050.69079051
120 Linear Feature 24
112  67.01894510 -050.69128549  67.01902213 -050.69121588 1
111  67.01909797 -050.69132480 1
111  67.01916659 -050.69142181
112  67.01916659 -050.69142181  67.01920287 -050.69152087 1
116  67.01913859 -050.69154976  67.01912212 -050.69152675
120 Linear Feature 5
111  67.00981092 -050.72180505 1
111  67.00793481 -050.71920763 1
111  67.00734752 -050.71839454
112  67.00734752 -050.71839454  67.00725805 -050.71827006 1
116  67.00722840 -050.71753388  67.00729939 -050.71719530
120 Linear Feature 5
111  67.00709352 -050.72090881 1
111  67.00680456 -050.72050875 1
116  67.00673012 -050.72003203  67.00678858 -050.71975657
120 Linear Feature 5
111  67.00928583 -050.70689660 1
111  67.00899821 -050.70649840 1
115  67.00891018 -050.70637652
120 Linear Feature 5
111  67.01631581 -050.69091646 1
111  67.01583693 -050.69025347 1
112  67.01570399 -050.69023372  67.01563784 -050.69027848
111  67.01570399 -050.69023372 1
115  67.01508369 -050.69064145
120 Linear Feature 20
112  67.01822920 -050.69356597  67.01826486 -050.69382279 1
111  67.01822378 -050.69403557 1
112  67.01791107 -050.69551577  67.01785846 -050.69577214 1
112  67.01816384 -050.69617178  67.01826218 -050.69615173 1
112  67.01822347 -050.69589735  67.01823155 -050.69585593
111  67.01822347 -050.69589735 1
115  67.01824447 -050.69580030
120 Linear Feature 5
111  67.01855327 -050.69387147 1
111  67.01857416 -050.69387147 1
111  67.01860043 -050.69387147
112  67.01860043 -050.69387147  67.01863026 -050.69387142 1
112  67.01877682 -050.69386915  67.01885441 -050.69407166 1
112  67.01871852 -050.69424343  67.01867080 -050.69417882
111  67.01871852 -050.69424343 1
111  67.01822920 -050.69356597 1
111  67.01794384 -050.69317089 1
115  67.01679931 -050.69158633
120 Linear Feature 4
111  67.01328120 -050.69388203 1
111  67.01154265 -050.70211713
112  67.01154265 -050.70211713  67.01153316 -050.70216185 1
116  67.01159564 -050.70249580  67.01168676 -050.70258330
120 Linear Feature 4
111  67.00694763 -050.71900177 1
111  67.00691788 -050.71914269 1
115  67.00673012 -050.72003203
120 Linear Feature 4
112  67.00793481 -050.71920763  67.00769947 -050.71888448 1
111  67.00757552 -050.71942998 1
112  67.00728751 -050.72079420  67.00722906 -050.72106967 1
115  67.00709352 -050.72090881
