A
1000 Generated by WorldEditor

1     27 1 0 KOKB Oceanside Muni
111  33.21757400 -117.35274149
112  33.21762937 -117.35278665  33.21766640 -117.35279233
113  33.21768481 -117.35276658
110 2 0.35 220.0000 xxx
111  33.21741982 -117.35456335
112  33.21737720 -117.35452125  33.21734541 -117.35451329
112  33.21731664 -117.35452226  33.21731485 -117.35452813
112  33.21734215 -117.35434674  33.21734176 -117.35435445
112  33.21740264 -117.35438231  33.21743534 -117.35438774
113  33.21745022 -117.35435923
110 2 0.35 220.0000 xxx
111  33.21741982 -117.35456335
112  33.21737720 -117.35452125  33.21734541 -117.35451329
112  33.21731664 -117.35452226  33.21731485 -117.35452813
112  33.21734215 -117.35434674  33.21734176 -117.35435445
112  33.21740264 -117.35438231  33.21743534 -117.35438774
113  33.21745022 -117.35435923
110 2 0.00 220.0000 New Taxiway 8
111  33.21725658 -117.35566866
112  33.21725603 -117.35566155  33.21725518 -117.35565954
111  33.21725222 -117.35565808
113  33.21726018 -117.35565826
110 2 0.00 220.0000 New Taxiway 8
111  33.21725658 -117.35566866
112  33.21725603 -117.35566155  33.21725518 -117.35565954
111  33.21725222 -117.35565808
113  33.21726018 -117.35565826
110 2 0.00 220.0000 New Taxiway 7
111  33.21727297 -117.35551002
112  33.21727875 -117.35550650  33.21728093 -117.35550337
111  33.21728142 -117.35549994
113  33.21728271 -117.35551123
110 2 0.35 220.0000 xxx
112  33.21729594 -117.35568490  33.21725547 -117.35564293
112  33.21715316 -117.35565193  33.21714019 -117.35566226
112  33.21717728 -117.35547137  33.21721437 -117.35548870
111  33.21717728 -117.35547137
112  33.21717728 -117.35547137  33.21719207 -117.35548245
112  33.21728045 -117.35550797  33.21734335 -117.35548932
111  33.21728045 -117.35550797
114  33.21728045 -117.35550797  33.21734267 -117.35549992
110 2 0.35 220.0000 xxx
112  33.21729594 -117.35568490  33.21725547 -117.35564293
111  33.21712199 -117.35564187
112  33.21714838 -117.35546321  33.21718252 -117.35547429
114  33.21729697 -117.35550915  33.21735988 -117.35549050
110 2 0.35 220.0000 xxx
111  33.21777826 -117.35214150
111  33.21763602 -117.35226990
111  33.21765499 -117.35210421
113  33.21780422 -117.35196598
110 2 0.35 220.0000 xxx
111  33.21777826 -117.35214150
111  33.21763602 -117.35226990
111  33.21765499 -117.35210421
113  33.21780422 -117.35196598
110 2 0.35 220.0000 xxx
111  33.21662712 -117.35285131
112  33.21691228 -117.35173770  33.21698574 -117.35145415
111  33.21688272 -117.35128525
111  33.21741593 -117.35136524
113  33.21704247 -117.35301544
110 2 0.35 220.0000 xxx
111  33.21668374 -117.35285497
111  33.21700516 -117.35136940
111  33.21738226 -117.35148598
113  33.21706084 -117.35297154
110 2 0.35 75.5000 xxx
111  33.21668374 -117.35285497
111  33.21700516 -117.35136940
111  33.21738226 -117.35148598
113  33.21706084 -117.35297154
110 1 0.00 0.0000 New Taxiway 10
111  33.21780614 -117.35196514
111  33.21766753 -117.35209453
111  33.21772459 -117.35168992
113  33.21784023 -117.35171900
110 5 0.00 0.0000 New Taxiway 10
111  33.21780614 -117.35196514
111  33.21766753 -117.35209238
111  33.21772459 -117.35168992
113  33.21784023 -117.35171900
110 1 0.00 0.0000 New Taxiway 11
111  33.21695265 -117.35068344
111  33.21696051 -117.35057550
111  33.21746565 -117.35057823
113  33.21745912 -117.35068956
110 1 0.00 0.0000 New Taxiway 11
111  33.21690585 -117.35098127
111  33.21691371 -117.35087334
111  33.21741885 -117.35087607
113  33.21741232 -117.35098740
110 1 0.35 220.0000 xxx
111  33.21687849 -117.35466451
111  33.21685072 -117.35486770
111  33.21674110 -117.35484596
113  33.21676887 -117.35464276
110 2 0.35 220.0000 xxx
111  33.21691475 -117.35462056
111  33.21687467 -117.35492501
111  33.21670125 -117.35489239
113  33.21674133 -117.35458793
130 Airport Boundary 2
111  33.21738431 -117.35700830
111  33.21733668 -117.35716963
111  33.21723744 -117.35718861
111  33.21651894 -117.35716014
111  33.21555830 -117.35715064
112  33.21551463 -117.35695136  33.21553272 -117.35679670
111  33.21642764 -117.35355409
111  33.21693178 -117.35157076
111  33.21676902 -117.35115321
111  33.21669757 -117.35102510
111  33.21765027 -117.34758983
111  33.21812266 -117.34690656
112  33.21831717 -117.34578202  33.21843507 -117.34565153
114  33.21918651 -117.34580100  33.21937427 -117.34601499
120 Linear Feature 59
111  33.21681112 -117.35555427 20
115  33.21686749 -117.35522946
120 Linear Feature 57
111  33.21716932 -117.35529092 20
112  33.21700307 -117.35541748  33.21687349 -117.35539495 20
111  33.21686750 -117.35522948 20
115  33.21718894 -117.35298910
120 Linear Feature 54
111  33.21732537 -117.35209737 20
115  33.21733188 -117.35212094
120 Linear Feature 54
111  33.21732129 -117.35217079 20
115  33.21730566 -117.35219143
120 Linear Feature 53
112  33.21756182 -117.35257144  33.21757071 -117.35251358 20
112  33.21753268 -117.35242980  33.21751170 -117.35239277 20
115  33.21731346 -117.35218113
120 Linear Feature 52
112  33.21766567 -117.35185218  33.21765440 -117.35192848 20
112  33.21761034 -117.35196712  33.21758320 -117.35198996 20
115  33.21732864 -117.35210914
120 Linear Feature 48
111  33.21721628 -117.35342700 20
115  33.21720780 -117.35349118
120 Linear Feature 48
111  33.21707600 -117.35441799 20
115  33.21706752 -117.35448217
120 Linear Feature 48
111  33.21689114 -117.35560829 20
115  33.21688266 -117.35567247
120 Linear Feature 48
111  33.21687230 -117.35575473 20
115  33.21686381 -117.35581892
120 Linear Feature 48
111  33.21727715 -117.35300349 20
115  33.21726866 -117.35306768
120 Linear Feature 48
111  33.21715610 -117.35385997 20
115  33.21714762 -117.35392415
120 Linear Feature 48
111  33.21701582 -117.35485096 20
115  33.21700734 -117.35491514
120 Linear Feature 48
111  33.21681212 -117.35618770 20
115  33.21680363 -117.35625189
120 Linear Feature 48
111  33.21709507 -117.35428451 20
115  33.21708659 -117.35434869
120 Linear Feature 48
111  33.21695479 -117.35527550 20
115  33.21694631 -117.35533968
120 Linear Feature 48
111  33.21679210 -117.35704995 20
115  33.21684638 -117.35704637
120 Linear Feature 48
111  33.21666484 -117.35704693 20
115  33.21671911 -117.35704335
120 Linear Feature 48
111  33.21675109 -117.35661224 20
115  33.21674260 -117.35667642
120 Linear Feature 48
111  33.21736003 -117.35173124 20
115  33.21741351 -117.35174283
120 Linear Feature 48
111  33.21732842 -117.35359363 20
115  33.21733794 -117.35352966
120 Linear Feature 48
111  33.21718814 -117.35458462 20
115  33.21719766 -117.35452065
120 Linear Feature 48
111  33.21698444 -117.35592137 20
115  33.21699395 -117.35585739
120 Linear Feature 48
111  33.21738843 -117.35316170 20
115  33.21739795 -117.35309772
120 Linear Feature 48
111  33.21726739 -117.35401817 20
115  33.21727691 -117.35395420
120 Linear Feature 48
111  33.21712711 -117.35500916 20
115  33.21713663 -117.35494519
120 Linear Feature 48
111  33.21692341 -117.35634590 20
115  33.21693292 -117.35628193
120 Linear Feature 48
111  33.21714119 -117.35151926 20
115  33.21708789 -117.35150643
120 Linear Feature 48
111  33.21719587 -117.35358025 20
115  33.21718739 -117.35364443
120 Linear Feature 48
111  33.21705559 -117.35457124 20
115  33.21704710 -117.35463542
120 Linear Feature 48
111  33.21685188 -117.35590798 20
115  33.21684340 -117.35597216
120 Linear Feature 48
111  33.21725588 -117.35314831 20
115  33.21724740 -117.35321249
120 Linear Feature 48
111  33.21713484 -117.35400478 20
115  33.21712635 -117.35406897
120 Linear Feature 48
111  33.21699455 -117.35499578 20
115  33.21698607 -117.35505996
120 Linear Feature 48
111  33.21679085 -117.35633252 20
115  33.21678237 -117.35639670
120 Linear Feature 48
111  33.21712697 -117.35167735 20
115  33.21718046 -117.35168895
120 Linear Feature 48
111  33.21734432 -117.35343941 20
115  33.21735384 -117.35337544
120 Linear Feature 48
111  33.21720404 -117.35443041 20
115  33.21721356 -117.35436643
120 Linear Feature 48
111  33.21701918 -117.35562070 20
115  33.21702870 -117.35555673
120 Linear Feature 48
111  33.21700034 -117.35576715 20
115  33.21700985 -117.35570318
120 Linear Feature 48
111  33.21714704 -117.35238655 20
115  33.21715656 -117.35232257
120 Linear Feature 48
111  33.21712562 -117.35252465 20
115  33.21713514 -117.35246067
120 Linear Feature 48
111  33.21707544 -117.35280304 20
115  33.21708496 -117.35273906
120 Linear Feature 48
111  33.21710049 -117.35266002 20
115  33.21711001 -117.35259604
120 Linear Feature 48
111  33.21740519 -117.35301591 20
115  33.21741470 -117.35295193
120 Linear Feature 48
111  33.21728414 -117.35387238 20
115  33.21729366 -117.35380841
120 Linear Feature 48
111  33.21714386 -117.35486337 20
115  33.21715338 -117.35479940
120 Linear Feature 48
111  33.21694016 -117.35620012 20
115  33.21694967 -117.35613614
120 Linear Feature 48
111  33.21722311 -117.35429692 20
115  33.21723263 -117.35423295
120 Linear Feature 48
111  33.21708283 -117.35528791 20
115  33.21709235 -117.35522394
120 Linear Feature 48
111  33.21687912 -117.35662466 20
115  33.21688864 -117.35656068
120 Linear Feature 48
111  33.21737332 -117.35157851 20
115  33.21732003 -117.35156568
120 Linear Feature 48
111  33.21717711 -117.35371185 20
115  33.21716862 -117.35377604
120 Linear Feature 48
111  33.21703682 -117.35470285 20
115  33.21702834 -117.35476703
120 Linear Feature 48
111  33.21683312 -117.35603959 20
115  33.21682464 -117.35610377
120 Linear Feature 48
111  33.21723712 -117.35327992 20
115  33.21722864 -117.35334410
120 Linear Feature 48
111  33.21711608 -117.35413639 20
115  33.21710759 -117.35420057
120 Linear Feature 48
111  33.21697579 -117.35512738 20
115  33.21696731 -117.35519157
120 Linear Feature 48
111  33.21677209 -117.35646413 20
115  33.21676361 -117.35652831
120 Linear Feature 48
111  33.21723662 -117.35170277 20
115  33.21729011 -117.35171436
120 Linear Feature 48
111  33.21730503 -117.35374123 20
115  33.21731454 -117.35367726
120 Linear Feature 48
111  33.21716474 -117.35473223 20
115  33.21717426 -117.35466825
120 Linear Feature 48
111  33.21696104 -117.35606897 20
115  33.21697056 -117.35600499
120 Linear Feature 48
111  33.21736504 -117.35330930 20
115  33.21737456 -117.35324532
120 Linear Feature 48
111  33.21724400 -117.35416577 20
115  33.21725351 -117.35410180
120 Linear Feature 48
111  33.21710371 -117.35515676 20
115  33.21711323 -117.35509279
120 Linear Feature 48
111  33.21690001 -117.35649351 20
115  33.21690953 -117.35642953
120 Linear Feature 48
111  33.21726410 -117.35155057 20
115  33.21721081 -117.35153774
120 Linear Feature 47
111  33.21728978 -117.35347373 20
115  33.21721206 -117.35345907
120 Linear Feature 47
111  33.21714950 -117.35446472 20
115  33.21707178 -117.35445006
120 Linear Feature 47
111  33.21696465 -117.35565502 20
115  33.21688693 -117.35564036
120 Linear Feature 47
111  33.21694580 -117.35580146 20
115  33.21686808 -117.35578681
120 Linear Feature 47
111  33.21735065 -117.35305022 20
115  33.21727293 -117.35303557
120 Linear Feature 47
111  33.21722960 -117.35390670 20
115  33.21715188 -117.35389204
120 Linear Feature 47
111  33.21708932 -117.35489769 20
115  33.21701160 -117.35488303
120 Linear Feature 47
111  33.21688562 -117.35623443 20
115  33.21680790 -117.35621978
120 Linear Feature 47
111  33.21716857 -117.35433123 20
115  33.21709085 -117.35431658
120 Linear Feature 47
111  33.21702829 -117.35532222 20
115  33.21695057 -117.35530757
120 Linear Feature 47
111  33.21681486 -117.35695423 20
115  33.21681922 -117.35704813
120 Linear Feature 47
111  33.21668760 -117.35695121 20
115  33.21669196 -117.35704512
120 Linear Feature 47
111  33.21682459 -117.35665897 20
115  33.21674687 -117.35664431
120 Linear Feature 47
111  33.21740078 -117.35164446 20
115  33.21738676 -117.35173701
120 Linear Feature 47
111  33.21725569 -117.35354521 20
115  33.21733316 -117.35356166
120 Linear Feature 47
111  33.21711540 -117.35453621 20
115  33.21719288 -117.35455265
120 Linear Feature 47
111  33.21691170 -117.35587295 20
115  33.21698917 -117.35588940
120 Linear Feature 47
111  33.21731570 -117.35311328 20
115  33.21739317 -117.35312973
120 Linear Feature 47
111  33.21719466 -117.35396975 20
115  33.21727213 -117.35398620
120 Linear Feature 47
111  33.21705437 -117.35496075 20
115  33.21713184 -117.35497719
120 Linear Feature 47
111  33.21685067 -117.35629749 20
115  33.21692814 -117.35631393
120 Linear Feature 47
111  33.21709904 -117.35160507 20
115  33.21711455 -117.35151287
120 Linear Feature 47
111  33.21726937 -117.35362697 20
115  33.21719165 -117.35361232
120 Linear Feature 47
111  33.21712909 -117.35461797 20
115  33.21705137 -117.35460331
120 Linear Feature 47
111  33.21692539 -117.35595471 20
115  33.21684766 -117.35594006
120 Linear Feature 47
111  33.21732938 -117.35319504 20
115  33.21725166 -117.35318038
120 Linear Feature 47
111  33.21720834 -117.35405151 20
115  33.21713062 -117.35403686
120 Linear Feature 47
111  33.21706806 -117.35504250 20
115  33.21699034 -117.35502785
120 Linear Feature 47
111  33.21686435 -117.35637925 20
115  33.21678663 -117.35636459
120 Linear Feature 47
111  33.21716773 -117.35159058 20
115  33.21715371 -117.35168312
120 Linear Feature 47
111  33.21727159 -117.35339100 20
115  33.21734906 -117.35340744
120 Linear Feature 47
111  33.21713131 -117.35438199 20
115  33.21720878 -117.35439844
120 Linear Feature 47
111  33.21694645 -117.35557229 20
115  33.21702392 -117.35558873
120 Linear Feature 47
111  33.21692760 -117.35571873 20
115  33.21700507 -117.35573518
120 Linear Feature 47
111  33.21707431 -117.35233813 20
115  33.21715178 -117.35235458
120 Linear Feature 47
111  33.21705289 -117.35247623 20
115  33.21713036 -117.35249267
120 Linear Feature 47
111  33.21700271 -117.35275462 20
115  33.21708018 -117.35277107
120 Linear Feature 47
111  33.21702775 -117.35261160 20
115  33.21710522 -117.35262805
120 Linear Feature 47
111  33.21733245 -117.35296749 20
115  33.21740992 -117.35298394
120 Linear Feature 47
111  33.21721141 -117.35382397 20
115  33.21728888 -117.35384041
120 Linear Feature 47
111  33.21707112 -117.35481496 20
115  33.21714859 -117.35483140
120 Linear Feature 47
111  33.21686742 -117.35615170 20
115  33.21694489 -117.35616815
120 Linear Feature 47
111  33.21715038 -117.35424851 20
115  33.21722785 -117.35426495
120 Linear Feature 47
111  33.21701009 -117.35523950 20
115  33.21708756 -117.35525594
120 Linear Feature 47
111  33.21680639 -117.35657624 20
115  33.21688386 -117.35659269
120 Linear Feature 47
111  33.21733117 -117.35166433 20
115  33.21734669 -117.35157212
120 Linear Feature 47
111  33.21725061 -117.35375858 20
115  33.21717289 -117.35374393
120 Linear Feature 47
111  33.21711033 -117.35474957 20
115  33.21703260 -117.35473492
120 Linear Feature 47
111  33.21690662 -117.35608632 20
115  33.21682890 -117.35607166
120 Linear Feature 47
111  33.21731062 -117.35332664 20
115  33.21723290 -117.35331199
120 Linear Feature 47
111  33.21718958 -117.35418312 20
115  33.21711186 -117.35416847
120 Linear Feature 47
111  33.21704930 -117.35517411 20
115  33.21697158 -117.35515946
120 Linear Feature 47
111  33.21684559 -117.35651085 20
115  33.21676787 -117.35649620
120 Linear Feature 47
111  33.21727738 -117.35161599 20
115  33.21726335 -117.35170854
120 Linear Feature 47
111  33.21723229 -117.35369282 20
115  33.21730976 -117.35370926
120 Linear Feature 47
111  33.21709201 -117.35468381 20
115  33.21716948 -117.35470025
120 Linear Feature 47
111  33.21688831 -117.35602055 20
115  33.21696578 -117.35603700
120 Linear Feature 47
111  33.21729231 -117.35326088 20
115  33.21736978 -117.35327733
120 Linear Feature 47
111  33.21717126 -117.35411735 20
115  33.21724873 -117.35413380
120 Linear Feature 47
111  33.21703098 -117.35510835 20
115  33.21710845 -117.35512479
120 Linear Feature 47
111  33.21682728 -117.35644509 20
115  33.21690475 -117.35646154
120 Linear Feature 47
111  33.21722196 -117.35163639 20
115  33.21723747 -117.35154418
120 Linear Feature 46
111  33.21770568 -117.34959401 20
115  33.21765054 -117.34958477
120 Linear Feature 46
111  33.21793218 -117.34801413 20
115  33.21792251 -117.34807967
120 Linear Feature 46
111  33.21791317 -117.34813680 20
115  33.21790351 -117.34820235
120 Linear Feature 46
111  33.21783535 -117.34832530 20
115  33.21778021 -117.34831606
120 Linear Feature 46
111  33.21773051 -117.34830606 20
115  33.21767537 -117.34829683
120 Linear Feature 46
111  33.21776807 -117.34916412 20
115  33.21771293 -117.34915488
120 Linear Feature 45
111  33.21768863 -117.34951152 20
115  33.21767811 -117.34958939
120 Linear Feature 45
111  33.21786371 -117.34803390 20
115  33.21792735 -117.34804690
120 Linear Feature 45
111  33.21784415 -117.34815591 20
115  33.21790834 -117.34816958
120 Linear Feature 45
111  33.21781720 -117.34824280 20
115  33.21780778 -117.34832068
120 Linear Feature 45
111  33.21771401 -117.34822258 20
115  33.21770294 -117.34830145
120 Linear Feature 45
111  33.21775102 -117.34908162 20
115  33.21774050 -117.34915950
120 Linear Feature 44
111  33.21805243 -117.34952201 5
115  33.21807748 -117.34934936
120 Linear Feature 43
112  33.21808645 -117.34943727  33.21802324 -117.34942474 1
116  33.21802966 -117.34933295  33.21803492 -117.34929397
120 Linear Feature 42
112  33.21829819 -117.34931857  33.21828639 -117.34939827 1
116  33.21817765 -117.34945512  33.21810730 -117.34944120
120 Linear Feature 41
112  33.21825100 -117.34963521  33.21826386 -117.34954619 1
112  33.21817730 -117.34945513  33.21811232 -117.34944169 1
112  33.21808655 -117.34943728  33.21802193 -117.34942494 1
116  33.21800370 -117.34951286  33.21800148 -117.34953431
120 Linear Feature 40
112  33.21765543 -117.35217936  33.21762958 -117.35220181 1
116  33.21763114 -117.35209171  33.21763462 -117.35206980
120 Linear Feature 39
112  33.21792444 -117.35184910  33.21790877 -117.35195240 1
112  33.21778954 -117.35206175  33.21774883 -117.35209704 1
112  33.21765543 -117.35217938  33.21763132 -117.35220153 1
116  33.21760419 -117.35227806  33.21759984 -117.35230991
120 Linear Feature 38
111  33.21765487 -117.35225309 5
115  33.21767742 -117.35208338
120 Linear Feature 37
111  33.21755793 -117.35289772 5
115  33.21757945 -117.35275090
120 Linear Feature 36
111  33.21732335 -117.35451823 5
115  33.21734671 -117.35435466
120 Linear Feature 35
112  33.21759247 -117.35282546  33.21754078 -117.35281439 1
116  33.21753636 -117.35274802  33.21753892 -117.35272980
120 Linear Feature 34
112  33.21779872 -117.35269935  33.21779148 -117.35275421 1
116  33.21767334 -117.35284279  33.21759356 -117.35282535
120 Linear Feature 33
112  33.21775099 -117.35302371  33.21775788 -117.35296953 1
112  33.21767385 -117.35284290  33.21759459 -117.35282540
111  33.21767385 -117.35284290
112  33.21767385 -117.35284290  33.21759752 -117.35282598 1
112  33.21759266 -117.35282550  33.21755852 -117.35281792
111  33.21759266 -117.35282550
112  33.21759266 -117.35282550  33.21754389 -117.35281443 1
116  33.21751738 -117.35287947  33.21751430 -117.35290004
120 Linear Feature 32
112  33.21736215 -117.35444464  33.21731029 -117.35443527 1
116  33.21730412 -117.35435702  33.21730669 -117.35433980
120 Linear Feature 31
112  33.21743511 -117.35445801  33.21749869 -117.35447057 1
116  33.21755847 -117.35432930  33.21756975 -117.35425415
120 Linear Feature 30
112  33.21751375 -117.35463343  33.21752750 -117.35454619 1
112  33.21743591 -117.35445818  33.21738295 -117.35444818 1
112  33.21736212 -117.35444464  33.21729982 -117.35443359 1
116  33.21728260 -117.35450572  33.21728203 -117.35450973
120 Linear Feature 29
111  33.21696029 -117.35699028 5
115  33.21699588 -117.35674376
120 Linear Feature 28
111  33.21699562 -117.35674269 1
112  33.21704009 -117.35678605  33.21707783 -117.35679524 1
111  33.21709323 -117.35677536 1
115  33.21722797 -117.35586200
120 Linear Feature 27
111  33.21707856 -117.35687476 1
112  33.21720144 -117.35675947  33.21722106 -117.35662473 1
115  33.21733071 -117.35588546
120 Linear Feature 26
112  33.21696009 -117.35699145  33.21696037 -117.35698499 1
112  33.21706461 -117.35697273  33.21713795 -117.35697595
111  33.21706461 -117.35697273
112  33.21706461 -117.35697273  33.21709751 -117.35697947 1
115  33.21726660 -117.35701531
120 Linear Feature 25
111  33.21715281 -117.35565627 5
115  33.21718051 -117.35546541
120 Linear Feature 23
112  33.21716751 -117.35556476  33.21715001 -117.35556148 1
116  33.21713929 -117.35549961  33.21714373 -117.35546640
120 Linear Feature 22
112  33.21739189 -117.35545864  33.21737913 -117.35554658 1
116  33.21726878 -117.35558497  33.21723588 -117.35557984
120 Linear Feature 21
112  33.21726903 -117.35558500  33.21723541 -117.35558241 1
112  33.21716750 -117.35556476  33.21714599 -117.35556054 1
116  33.21712255 -117.35561595  33.21711914 -117.35563526
120 Linear Feature 20
112  33.21800849 -117.34763254  33.21799490 -117.34786155 1
112  33.21806106 -117.34794055  33.21806291 -117.34794596
111  33.21806106 -117.34794055
112  33.21806106 -117.34794055  33.21809665 -117.34799127 1
112  33.21815917 -117.34812515  33.21817694 -117.34818305
111  33.21815917 -117.34812515
112  33.21815917 -117.34812515  33.21817168 -117.34816023 1
115  33.21815946 -117.34823707
120 Linear Feature 18
111  33.21832652 -117.34734347 5
115  33.21824727 -117.34726629
120 Linear Feature 15
111  33.21707856 -117.35687476 1
112  33.21698054 -117.35684965  33.21695269 -117.35683520 1
112  33.21695516 -117.35678182  33.21695589 -117.35676343 1
111  33.21808981 -117.34891639 1
112  33.21820005 -117.34814305  33.21821055 -117.34803084 1
112  33.21820991 -117.34749816  33.21823458 -117.34739497 1
115  33.21828997 -117.34730799
120 Linear Feature 56
112  33.21716232 -117.35209391  33.21715817 -117.35212035 20
112  33.21725503 -117.35226325  33.21735502 -117.35228837 20
116  33.21739014 -117.35216231  33.21739324 -117.35214059
120 Linear Feature 56
112  33.21739014 -117.35216232  33.21739324 -117.35214112 20
112  33.21730968 -117.35199615  33.21720958 -117.35197106 20
116  33.21716232 -117.35209384  33.21715789 -117.35211952
120 Linear Feature 58
111  33.21712132 -117.35562346 20
