I
1050 Generated by WorldEditor 1.6.0r1

1    398 1 0 EGHC Lands End
112  50.10165727 -005.66814791  50.10160844 -005.66809844 20
112  50.10153081 -005.66820474  50.10151455 -005.66826530 20
112  50.10157091 -005.66838869  50.10162219 -005.66843043 20
114  50.10169052 -005.66833281  50.10170858 -005.66827890 20
120 Linear Feature 17
112  50.10150907 -005.66844848  50.10145891 -005.66839831 20
112  50.10138194 -005.66850357  50.10136591 -005.66856065
111  50.10138194 -005.66850357
112  50.10138194 -005.66850357  50.10136753 -005.66855490 20
112  50.10140621 -005.66867703  50.10144385 -005.66872234
111  50.10140621 -005.66867703
112  50.10140621 -005.66867703  50.10141042 -005.66868211 20
112  50.10142026 -005.66869099  50.10142543 -005.66869520
111  50.10142026 -005.66869099
112  50.10142026 -005.66869099  50.10147154 -005.66873273 20
114  50.10154188 -005.66863303  50.10155993 -005.66857912 20
120 Linear Feature 17
112  50.10181028 -005.66784286  50.10176163 -005.66779270 20
112  50.10168057 -005.66789914  50.10166126 -005.66796168 20
112  50.10172221 -005.66808761  50.10177459 -005.66812935 20
114  50.10184393 -005.66803101  50.10186237 -005.66797710 20
120 Linear Feature 17
112  50.10210960 -005.66815144  50.10207256 -005.66811361 20
112  50.10201585 -005.66819181  50.10200344 -005.66823663 20
112  50.10204732 -005.66833347  50.10208567 -005.66836404 20
114  50.10213527 -005.66829050  50.10214877 -005.66825103 20
120 Linear Feature 17
112  50.10251595 -005.66851322  50.10247929 -005.66847607 20
112  50.10242215 -005.66855519  50.10240899 -005.66859750 20
112  50.10245179 -005.66869081  50.10248976 -005.66872082 20
114  50.10254006 -005.66864910  50.10255343 -005.66861034 20
120 Linear Feature 17
112  50.10231243 -005.66833680  50.10227577 -005.66829966 20
112  50.10221895 -005.66837678  50.10220579 -005.66841908 20
112  50.10224923 -005.66851690  50.10228720 -005.66854691 20
114  50.10233718 -005.66847369  50.10235055 -005.66843492 20
120 Linear Feature 16
111  50.10244794 -005.66857183 1
112  50.10243382 -005.66857077  50.10242472 -005.66857271 1
111  50.10242149 -005.66857586 1
111  50.10233337 -005.66865825 1
112  50.10231450 -005.66869443  50.10230754 -005.66871855 1
115  50.10230801 -005.66874076
120 Linear Feature 15
111  50.10234372 -005.66888949 1
112  50.10234065 -005.66886384  50.10233867 -005.66885458 1
111  50.10233158 -005.66883585 1
112  50.10230801 -005.66874076  50.10230176 -005.66869889
111  50.10230801 -005.66874076
112  50.10230801 -005.66874076  50.10230733 -005.66873621 1
112  50.10230640 -005.66872760  50.10230602 -005.66872340
111  50.10230640 -005.66872760
112  50.10230640 -005.66872760  50.10230250 -005.66868476 1
111  50.10231108 -005.66863911 1
111  50.10233255 -005.66852067 1
112  50.10233044 -005.66848912  50.10232595 -005.66847086 1
115  50.10231117 -005.66845396
120 Linear Feature 14
111  50.10170519 -005.66837957 1
112  50.10177162 -005.66842328  50.10181236 -005.66843828 1
115  50.10183758 -005.66843130
120 Linear Feature 13
111  50.10172586 -005.66856832 1
112  50.10173566 -005.66846507  50.10173031 -005.66840881 1
111  50.10170519 -005.66837957 1
111  50.10156421 -005.66821119 1
115  50.10152637 -005.66816599
120 Linear Feature 12
111  50.10155694 -005.66868080 1
112  50.10161892 -005.66870127  50.10165568 -005.66869808 1
115  50.10167963 -005.66866063
120 Linear Feature 11
111  50.10157530 -005.66887100 1
112  50.10158831 -005.66876541  50.10158296 -005.66871082 1
111  50.10155694 -005.66868080 1
111  50.10141607 -005.66851348 1
115  50.10138618 -005.66847798
120 Linear Feature 10
111  50.10177023 -005.66848253 1
112  50.10181713 -005.66844180  50.10184366 -005.66842526
111  50.10181713 -005.66844180
112  50.10181713 -005.66844180  50.10182365 -005.66843774 1
112  50.10183758 -005.66843130  50.10184463 -005.66842857
111  50.10183758 -005.66843130
112  50.10183758 -005.66843130  50.10184551 -005.66842822 1
112  50.10186169 -005.66842672  50.10186973 -005.66842705
111  50.10186169 -005.66842672
112  50.10186169 -005.66842672  50.10190596 -005.66842852 1
111  50.10193027 -005.66845421 1
111  50.10214111 -005.66865252 1
111  50.10230363 -005.66880354 1
112  50.10232208 -005.66882299  50.10232672 -005.66882878 1
115  50.10233158 -005.66883585
120 Linear Feature 9
111  50.10187195 -005.66828056 1
112  50.10188054 -005.66816869  50.10187637 -005.66809967 1
115  50.10184988 -005.66806615
120 Linear Feature 8
111  50.10251914 -005.66861791 1
111  50.10251506 -005.66862954 1
115  50.10251094 -005.66864131
120 Linear Feature 7
111  50.10167393 -005.66786062 1
111  50.10170966 -005.66790235 1
111  50.10184988 -005.66806615 1
112  50.10187455 -005.66808428  50.10188717 -005.66809149
111  50.10187455 -005.66808428
112  50.10187455 -005.66808428  50.10189826 -005.66809550 1
112  50.10193504 -005.66811451  50.10194558 -005.66812187
111  50.10193504 -005.66811451
112  50.10193504 -005.66811451  50.10194907 -005.66812215 1
111  50.10199868 -005.66817010 1
111  50.10210973 -005.66827148 1
111  50.10221811 -005.66837043 1
111  50.10231117 -005.66845396 1
111  50.10244794 -005.66857183 1
115  50.10251506 -005.66862954
120 Linear Feature 6
111  50.10063618 -005.66926615 1
111  50.10114497 -005.66957594 1
112  50.10122936 -005.66953662  50.10126919 -005.66949244 1
111  50.10128673 -005.66944535 1
111  50.10138424 -005.66925574 1
111  50.10151233 -005.66900215 1
111  50.10157530 -005.66887100 1
111  50.10167963 -005.66866063 1
111  50.10172586 -005.66856832 1
111  50.10177023 -005.66848253 1
111  50.10187195 -005.66828056 1
112  50.10193237 -005.66818941  50.10197144 -005.66814867 1
115  50.10199868 -005.66817010
120 Linear Feature 5
111  50.09997755 -005.66885197 1
111  50.09980604 -005.66874689 1
112  50.09978291 -005.66872924  50.09977437 -005.66872229 1
111  50.09976353 -005.66870016 1
111  50.09969071 -005.66855346 1
112  50.09967811 -005.66852973  50.09967349 -005.66852133 1
111  50.09965685 -005.66851276 1
111  50.09954470 -005.66843752 1
112  50.09947602 -005.66847186  50.09945870 -005.66853908 1
112  50.09950913 -005.66858169  50.09952184 -005.66858889 1
115  50.09957265 -005.66860989
120 Linear Feature 4
111  50.10392476 -005.67054064 1
112  50.10392201 -005.67043915  50.10391228 -005.67037976 1
111  50.10388527 -005.67035643 1
112  50.10393440 -005.67036475  50.10396350 -005.67036169 1
115  50.10399370 -005.67034834
120 Linear Feature 3
111  50.10384654 -005.67080122 1
111  50.10392476 -005.67054064 1
111  50.10397066 -005.67038776 1
112  50.10398449 -005.67035985  50.10399025 -005.67035059
111  50.10398449 -005.67035985
112  50.10398449 -005.67035985  50.10398694 -005.67035591 1
112  50.10399370 -005.67034834  50.10399694 -005.67034489
111  50.10399370 -005.67034834
112  50.10399370 -005.67034834  50.10399808 -005.67034367 1
111  50.10400196 -005.67034025 1
111  50.10409805 -005.67023553 1
112  50.10411378 -005.67021471  50.10411779 -005.67020881 1
111  50.10412564 -005.67018701 1
111  50.10417771 -005.67001577 1
112  50.10415387 -005.66991492  50.10411024 -005.66988941 1
111  50.10408917 -005.66995086 1
115  50.10406885 -005.67003846
120 Linear Feature 2
111  50.10541047 -005.67225617 1
111  50.10562029 -005.67238635 1
112  50.10564052 -005.67240354  50.10564773 -005.67241307 1
111  50.10565474 -005.67242766 1
111  50.10572618 -005.67256876 1
112  50.10574545 -005.67260087  50.10575124 -005.67260886 1
111  50.10576430 -005.67261692 1
111  50.10588136 -005.67268835 1
112  50.10594454 -005.67263915  50.10595404 -005.67256507 1
111  50.10591470 -005.67254443 1
115  50.10584706 -005.67251483
120 Linear Feature 1
111  50.10171500 -005.67779285 1
111  50.10163101 -005.67806608 1
112  50.10161815 -005.67809709  50.10161334 -005.67810559 1
111  50.10159820 -005.67812140 1
111  50.10151235 -005.67821142 1
112  50.10148899 -005.67823783  50.10148097 -005.67824860 1
111  50.10146962 -005.67828224 1
111  50.10142079 -005.67844738 1
112  50.10144690 -005.67854932  50.10149502 -005.67857392 1
111  50.10151235 -005.67850155 1
115  50.10153506 -005.67840768
21  50.10200837 -005.67770591 2 66.9700 3.50 New PAPI-4L 07
21  50.10315703 -005.67232903 2 246.2100 4.50 New PAPI-4L 25
21  50.10416003 -005.67096403 2 159.8100 3.50 New PAPI-4L 17
21  50.10033103 -005.66954535 3 336.9500 3.50 New PAPI-4L 34
14  50.10247104 -005.66808096   9.84 0 Tower
1300  50.10251506 -005.66862954 -28.92 gate props GATE 1
1301 B airline 
1300  50.10210973 -005.66827148 -30.31 gate props GATE 3
1301 B airline 
1300  50.10231117 -005.66845396 -29.96 gate props GATE 2
1301 B airline 
1300  50.10160808 -005.66778553 -35.31 hangar props HANGAR 1
1301 B none 
1300  50.10146205 -005.66809682 -36.84 hangar props HANGAR 2
1301 B none 
1300  50.10141607 -005.66851348 142.84 gate props GATE 6
1301 B airline 
1300  50.10156421 -005.66821119 142.69 gate props GATE 5
1301 B airline 
1300  50.10170966 -005.66790235 143.17 gate props GATE 4
1301 B airline 
1300  50.10193386 -005.66913042  10.57 tie_down props GA 1
1301 B general_aviation 
1300  50.10206738 -005.66931929  13.92 tie_down props GA 2
1301 B general_aviation 
18  50.10227112 -005.66815964 1 New Airport Beacon 3
19  50.10109487 -005.67252096 0 WS
54 12025 Lands End Tower
99
