I
1050 Generated by WorldEditor 2.2.0r2

1   2227 0 0 S83 Shoshone County
112  47.54745708 -116.18552613  47.54749508 -116.18571679
112  47.54769579 -116.18559762  47.54776932 -116.18547449
111  47.54769579 -116.18559762
112  47.54769579 -116.18559762  47.54772218 -116.18555342
112  47.54774515 -116.18541530  47.54774926 -116.18533858
111  47.54774515 -116.18541530
111  47.54774925 -116.18490668
111  47.54778400 -116.18490867
111  47.54781497 -116.18490965
111  47.54785814 -116.18491102
111  47.54780724 -116.18813972
111  47.54781799 -116.18814024
111  47.54787078 -116.18491153
111  47.54801569 -116.18491731
111  47.54801376 -116.18508466
111  47.54801265 -116.18518026
111  47.54801057 -116.18535945
111  47.54800600 -116.18575378
111  47.54799902 -116.18635691
111  47.54799536 -116.18667210
111  47.54799325 -116.18685479
111  47.54799262 -116.18690922
111  47.54799038 -116.18710252
111  47.54799013 -116.18712361
111  47.54798732 -116.18736672
111  47.54798734 -116.18742520
113  47.54798459 -116.18760178
110 1 0.00 0.0000 New Taxiway 23
111  47.54751906 -116.18160058
111  47.54766672 -116.18160571
111  47.54765872 -116.18211451
112  47.54765872 -116.18211451  47.54756100 -116.18213015
112  47.54750761 -116.18230182  47.54749122 -116.18238077
113  47.54750761 -116.18230182
110 1 0.00 0.0000 New Taxiway 23
111  47.54757041 -116.17833717
111  47.54771592 -116.17834123
111  47.54771078 -116.17884055
112  47.54771078 -116.17884055  47.54760522 -116.17885725
112  47.54755896 -116.17903313  47.54754256 -116.17911208
113  47.54755896 -116.17903313
110 1 0.00 0.0000 New Taxiway 22
111  47.54730572 -116.19507657
112  47.54744868 -116.19526092  47.54756779 -116.19528435
111  47.54744868 -116.19526092
111  47.54744422 -116.19577396
113  47.54729524 -116.19576913
110 1 0.00 0.0000 New Taxiway 22
111  47.54724207 -116.19915050
112  47.54734946 -116.19933416  47.54742977 -116.19936772
111  47.54734946 -116.19933416
111  47.54738503 -116.19933485
111  47.54738057 -116.19984789
113  47.54723159 -116.19984306
130 Airport Boundary 21
111  47.54675785 -116.20056789
111  47.54673670 -116.19995167
111  47.54694327 -116.18928449
111  47.54661017 -116.18916642
111  47.54650696 -116.18501600
111  47.54664630 -116.18051734
111  47.54686628 -116.17854518
111  47.54741596 -116.17584317
111  47.54784710 -116.17595654
111  47.54809258 -116.17624112
111  47.54828846 -116.17675489
111  47.54828737 -116.17704573
111  47.54786848 -116.18028718
111  47.54793032 -116.18096787
111  47.54829655 -116.18289511
111  47.54842752 -116.18379750
111  47.54845378 -116.18450755
111  47.54839444 -116.18826288
111  47.54851988 -116.18826182
111  47.54859223 -116.18935798
111  47.54852668 -116.19031915
111  47.54846654 -116.19347191
111  47.54838008 -116.19370333
111  47.54834694 -116.19397980
111  47.54832028 -116.19459088
111  47.54811364 -116.19628135
111  47.54803589 -116.19664968
111  47.54800302 -116.19694385
111  47.54742997 -116.19694049
111  47.54740776 -116.19875025
111  47.54776226 -116.19874500
111  47.54775225 -116.19970705
113  47.54751564 -116.20057988
120 Linear Feature 59
111  47.54815017 -116.18794373 1
115  47.54814968 -116.18801443
120 Linear Feature 58
111  47.54818853 -116.18794487 1
111  47.54815017 -116.18794373 1
115  47.54811679 -116.18794275
120 Linear Feature 57
111  47.54828292 -116.18801103 1
115  47.54828406 -116.18793230
120 Linear Feature 56
111  47.54832010 -116.18801323 1
111  47.54828292 -116.18801103 1
115  47.54824831 -116.18800899
120 Linear Feature 55
111  47.54769579 -116.18559762 4
115  47.54769174 -116.18589109
120 Linear Feature 54
111  47.54764888 -116.18854386 4
115  47.54764524 -116.18883186
120 Linear Feature 53
111  47.54788635 -116.18999097 1
115  47.54788722 -116.18991730
120 Linear Feature 53
111  47.54802156 -116.18999560 1
115  47.54802243 -116.18992194
120 Linear Feature 52
111  47.54792020 -116.18999230 1
111  47.54788635 -116.18999097 1
115  47.54785004 -116.18998976
120 Linear Feature 52
111  47.54806161 -116.18999694 1
111  47.54802156 -116.18999560 1
115  47.54798525 -116.18999439
120 Linear Feature 51
111  47.54815845 -116.19000095 1
115  47.54815909 -116.18992389
120 Linear Feature 50
111  47.54819845 -116.19000303 1
111  47.54815845 -116.19000095 1
115  47.54812387 -116.18999914
120 Linear Feature 49
111  47.54777099 -116.18583204 1
116  47.54771760 -116.18574887  47.54767746 -116.18573556
120 Linear Feature 48
111  47.54743092 -116.18574116 1
112  47.54737257 -116.18564747  47.54737115 -116.18557472
111  47.54737257 -116.18564747 1
115  47.54738289 -116.18482759
120 Linear Feature 47
111  47.54735663 -116.18664485 1
111  47.54737007 -116.18582309 1
112  47.54743092 -116.18574116  47.54748216 -116.18572724
111  47.54743092 -116.18574116 1
111  47.54771760 -116.18574887
112  47.54771760 -116.18574887  47.54776813 -116.18572884 1
115  47.54777386 -116.18565266
120 Linear Feature 46
111  47.54781497 -116.18490965 9
111  47.54779140 -116.18659287 9
115  47.54772933 -116.19026597
120 Linear Feature 45
111  47.54738503 -116.18868277 1
112  47.54732583 -116.18860508  47.54731160 -116.18853655
111  47.54732583 -116.18860508 1
115  47.54733889 -116.18776939
120 Linear Feature 44
111  47.54772394 -116.18877106 1
116  47.54767563 -116.18869317  47.54763549 -116.18866787
120 Linear Feature 43
111  47.54731080 -116.18957919 1
111  47.54732439 -116.18876552
112  47.54732439 -116.18876552  47.54733208 -116.18869846 1
111  47.54738503 -116.18868277 1
111  47.54767563 -116.18869317
112  47.54767563 -116.18869317  47.54770967 -116.18867458 1
115  47.54772636 -116.18861981
120 Linear Feature 42
111  47.54769645 -116.19026448 1
111  47.54772394 -116.18877106 1
111  47.54772636 -116.18861981 1
111  47.54777099 -116.18583204 1
111  47.54777386 -116.18565266 1
115  47.54778400 -116.18490867
14  47.54799089 -116.18939619  82.02 0 New Tower Viewpoint 8
1300  47.54815017 -116.18794373  89.65 tie_down turboprops|props GA 05
1301 A general_aviation 
1300  47.54828292 -116.18801103 -91.38 tie_down turboprops|props GA 04
1301 A general_aviation 
1300  47.54788635 -116.18999097 -91.38 tie_down turboprops|props GA 03
1301 A general_aviation 
1300  47.54802156 -116.18999560 -91.38 tie_down turboprops|props GA 02
1301 A general_aviation 
1300  47.54815845 -116.19000095 -91.38 tie_down turboprops|props GA 01
1301 A general_aviation 
1300  47.54795257 -116.18980209 -180.83 hangar turboprops|props Hangar 01
1301 A none 
1300  47.54803132 -116.18843923 -91.06 hangar turboprops|props Hangar 02 - 02
1301 A none 
1300  47.54816359 -116.18844400 -91.06 hangar turboprops|props Hangar 02 - 01
1301 A none 
1300  47.54797935 -116.18808081 -180.83 hangar turboprops|props Hangar 03
1301 A none 
1300  47.54825097 -116.18758438 -90.00 hangar turboprops|props Hangar 04
1301 A none 
1300  47.54799185 -116.18751456 -180.83 hangar turboprops|props Hangar 05
1301 A none 
1300  47.54799531 -116.18724511 -180.83 hangar turboprops|props Hangar 06
1301 A none 
1300  47.54800022 -116.18700484 -180.83 hangar turboprops|props Hangar 07
1301 A none 
1300  47.54800041 -116.18676492 -180.83 hangar turboprops|props Hangar 08
1301 A none 
1300  47.54800843 -116.18622603 -180.83 hangar turboprops|props Hangar 09
1301 A none 
1300  47.54801376 -116.18591675 -180.83 hangar turboprops|props Hangar 10
1301 A none 
1300  47.54801859 -116.18527057 -180.83 hangar turboprops|props Hangar 11
1301 A none 
1300  47.54802155 -116.18500229 -180.83 hangar turboprops|props Hangar 12
1301 A none 
1300  47.54825343 -116.18461129 -180.83 hangar turboprops|props Hangar 13
1301 A none 
18  47.54821370 -116.18938240 1 New Airport Beacon 9
19  47.54682045 -116.18868125 1 New Windsock 7
51 12280 CTAF
99
