I
1050 Generated by WorldEditor 1.7.0r3

1   2033 0 0 KICR Winner Regl
111  43.38846659 -099.84244539
111  43.38841924 -099.84251111
111  43.38844047 -099.84254503
111  43.38839590 -099.84260984
111  43.38837098 -099.84267214
111  43.38834443 -099.84265340
111  43.38787079 -099.84394967
111  43.38788800 -099.84396549
111  43.38787849 -099.84398212
111  43.38789394 -099.84399875
111  43.38788205 -099.84402601
111  43.38793585 -099.84406406
113  43.38791946 -099.84410850
110 1 0.00 0.0000 New Taxiway 5
111  43.38811257 -099.84221858
111  43.38787903 -099.84253523
111  43.38772146 -099.84232124
111  43.38786297 -099.84213141
111  43.38774064 -099.84196018
113  43.38783053 -099.84183346
130 Airport Boundary 19
111  43.39476121 -099.84703506
111  43.39343556 -099.84876889
111  43.38743294 -099.84844657
111  43.38730027 -099.84623689
111  43.38830358 -099.84528317
111  43.38685642 -099.84519069
111  43.38664543 -099.84343423
111  43.38704837 -099.84160542
111  43.38783588 -099.84017566
111  43.38442108 -099.83623049
111  43.38544170 -099.83433216
111  43.39135082 -099.84148001
111  43.39453667 -099.83915315
111  43.39502861 -099.84079410
113  43.39280322 -099.84323687
120 Linear Feature 8
111  43.38513712 -099.83603702 54
115  43.38499301 -099.83584160
120 Linear Feature 15
111  43.39373805 -099.84741979 53
116  43.39376825 -099.84707980  43.39368645 -099.84688016
120 Linear Feature 14
111  43.38529411 -099.83581612 53
116  43.38553646 -099.83576518  43.38565844 -099.83586058
120 Linear Feature 13
111  43.38763509 -099.84409750 53
116  43.38774843 -099.84399174  43.38778982 -099.84389166
120 Linear Feature 13
111  43.38791946 -099.84410850 53
116  43.38787079 -099.84394967  43.38787966 -099.84383977
120 Linear Feature 12
111  43.38862256 -099.84185681 53
116  43.38842774 -099.84185889  43.38834225 -099.84175564
120 Linear Feature 11
111  43.38825984 -099.84260010 53
116  43.38825625 -099.84241477  43.38822415 -099.84233664
120 Linear Feature 10
111  43.38834443 -099.84265340 53
111  43.38847039 -099.84231107 53
115  43.38858789 -099.84207652
120 Linear Feature 9
111  43.38916221 -099.84110374 53
116  43.38921463 -099.84081197  43.38916887 -099.84064621
120 Linear Feature 9
111  43.38922821 -099.84119781 53
116  43.38944161 -099.84112240  43.38956535 -099.84117802
120 Linear Feature 7
111  43.38906901 -099.84141628 54
115  43.38900229 -099.84132691
120 Linear Feature 6
111  43.39372392 -099.84783641 54
115  43.39357915 -099.84764056
120 Linear Feature 18
112  43.38952934 -099.84104607  43.38936237 -099.84095345 51
111  43.38924843 -099.84107321 51
116  43.38926603 -099.84068991  43.38918340 -099.84046835
120 Linear Feature 17
111  43.38825984 -099.84260010 52
116  43.38862256 -099.84185681  43.38879379 -099.84169504
120 Linear Feature 16
111  43.38924843 -099.84107321 51
112  43.38858736 -099.84199080  43.38853766 -099.84205919 51
112  43.38840696 -099.84234732  43.38835016 -099.84249190 51
115  43.38777750 -099.84406939
14  43.38780118 -099.84476954   9.84 0 New Tower Viewpoint 2
1300  43.38721692 -099.84447760  23.10 tie_down turboprops|props GA 10
1301 A general_aviation 
1300  43.38723055 -099.84425018 -59.63 tie_down turboprops|props GA 09
1301 A general_aviation 
1300  43.38738083 -099.84425300 -59.63 tie_down turboprops|props GA 08
1301 A general_aviation 
1300  43.38752804 -099.84424737 -59.63 tie_down turboprops|props GA 07
1301 A general_aviation 
1300  43.38781541 -099.84157064 350.78 tie_down turboprops|props GA 06
1301 A general_aviation 
1300  43.38790347 -099.84133813 -98.78 tie_down turboprops|props GA 05
1301 A general_aviation 
1300  43.38800652 -099.84149512 -98.78 tie_down turboprops|props GA 04
1301 A general_aviation 
1300  43.38810466 -099.84162510 -98.78 tie_down turboprops|props GA 03
1301 A general_aviation 
1300  43.38820893 -099.84176352 -98.78 tie_down turboprops|props GA 02
1301 A general_aviation 
1300  43.38832301 -099.84187662 -98.78 tie_down turboprops|props GA 01
1301 A general_aviation 
18  43.38902756 -099.84331107 1 New Airport Beacon 3
51 11280 CTAF/UNICOM
99
