I
1050 Generated by WorldEditor 2.1.0r1

1   1237 0 0 KVIQ Neillsville Muni
112  44.55569079 -090.51454983  44.55572598 -090.51470263
111  44.55569079 -090.51454983
111  44.55579974 -090.51492464
112  44.55579974 -090.51492464  44.55583635 -090.51502236
112  44.55594816 -090.51502747  44.55599824 -090.51501817
111  44.55594816 -090.51502747
111  44.55596836 -090.51501733
111  44.55602314 -090.51498983
111  44.55607193 -090.51515652
111  44.55610061 -090.51515150
111  44.55616568 -090.51538615
111  44.55613942 -090.51539925 5
111  44.55598896 -090.51548240
111  44.55597989 -090.51545623
111  44.55592758 -090.51548281
111  44.55590481 -090.51549439
111  44.55590043 -090.51547854
111  44.55578520 -090.51553805
111  44.55579028 -090.51555531
111  44.55577343 -090.51556372
111  44.55578288 -090.51559725
111  44.55560449 -090.51569548
111  44.55538609 -090.51570450
112  44.55538609 -090.51570450  44.55536110 -090.51571772
111  44.55535023 -090.51577450
111  44.55535021 -090.51582133
111  44.55543281 -090.51582421
111  44.55543187 -090.51588427
111  44.55535116 -090.51588426
111  44.55535004 -090.51618704
112  44.55535004 -090.51618704  44.55536154 -090.51623194
111  44.55538997 -090.51624977
111  44.55541337 -090.51625223
111  44.55541326 -090.51630888
111  44.55538751 -090.51630687
112  44.55538751 -090.51630687  44.55536764 -090.51631342
111  44.55535003 -090.51635344
111  44.55534862 -090.51646779
111  44.55534827 -090.51652288
111  44.55534712 -090.51669827
111  44.55534651 -090.51674668
111  44.55534491 -090.51711314
111  44.55529254 -090.51711138
111  44.55529356 -090.51562343
112  44.55529356 -090.51562343  44.55528511 -090.51550344
111  44.55519624 -090.51554221
111  44.55503639 -090.51562932
112  44.55503639 -090.51562932  44.55498805 -090.51568739
111  44.55498441 -090.51574554
111  44.55498426 -090.51603504
111  44.55506023 -090.51603733
111  44.55506078 -090.51608303
111  44.55498428 -090.51608199
111  44.55498454 -090.51619166
111  44.55498490 -090.51634900
111  44.55498520 -090.51647608
111  44.55498563 -090.51656269
111  44.55498529 -090.51666491
111  44.55498477 -090.51681908
111  44.55498456 -090.51687843
111  44.55498398 -090.51705185
111  44.55498367 -090.51714266
111  44.55493278 -090.51714411
111  44.55493011 -090.51649449
112  44.55493011 -090.51649449  44.55492320 -090.51647092
111  44.55490339 -090.51646366
111  44.55484789 -090.51646396
111  44.55484790 -090.51638282
111  44.55490540 -090.51638232
111  44.55493065 -090.51634958
111  44.55492958 -090.51618083
113  44.55493008 -090.51613599
130 Airport Boundary 7
111  44.55288705 -090.51493074
111  44.55357749 -090.51482876
111  44.55355326 -090.51455680
111  44.55638769 -090.51292505
111  44.55635135 -090.50209738
111  44.55901620 -090.50211420
111  44.55907677 -090.51013755
111  44.56000946 -090.51012055
111  44.56002157 -090.52230860
111  44.55647248 -090.52230854
111  44.55646037 -090.51727713
113  44.55294762 -090.51734525
120 Linear Feature 1
111  44.55569155 -090.51515628 1
115  44.55561579 -090.51522170
120 Linear Feature 15
111  44.55767881 -090.51317172 54
115  44.55764589 -090.51306735
120 Linear Feature 14
111  44.55547646 -090.51531811 1
115  44.55547344 -090.51530790
120 Linear Feature 13
111  44.55550070 -090.51530440 1
111  44.55547646 -090.51531811 1
115  44.55545273 -090.51533152
120 Linear Feature 11
111  44.55547881 -090.51561090 1
111  44.55545274 -090.51561157 1
115  44.55542692 -090.51561223
120 Linear Feature 12
111  44.55545321 -090.51566763 1
115  44.55545274 -090.51561157
120 Linear Feature 3
111  44.55602822 -090.51522050 1
111  44.55601597 -090.51517974 1
115  44.55600329 -090.51513753
120 Linear Feature 4
111  44.55605849 -090.51515483 1
115  44.55601597 -090.51517974
120 Linear Feature 1
112  44.55553712 -090.51526933  44.55558755 -090.51543873 1
116  44.55570450 -090.51513647  44.55562481 -090.51495433
120 Linear Feature 9
111  44.55560999 -090.51557054 1
111  44.55558285 -090.51557924 1
115  44.55555479 -090.51558823
120 Linear Feature 10
111  44.55559262 -090.51563149 1
115  44.55558285 -090.51557924
120 Linear Feature 5
111  44.55600356 -090.51501586 1
111  44.55597425 -090.51503478 1
115  44.55594703 -090.51505236
120 Linear Feature 6
111  44.55597425 -090.51503478 1
115  44.55596836 -090.51501733
120 Linear Feature 8
111  44.55573738 -090.51551394 1
111  44.55571018 -090.51552975 1
115  44.55568459 -090.51554461
120 Linear Feature 7
111  44.55572763 -090.51558708 1
115  44.55571018 -090.51552975
120 Linear Feature 8
111  44.55824234 -090.51397688 1
111  44.55818892 -090.51320956 1
116  44.55793987 -090.51296372  44.55771835 -090.51299114
120 Linear Feature 7
111  44.55580911 -090.51511641 1
111  44.55563203 -090.51449917 1
112  44.55570933 -090.51423691  44.55581747 -090.51414237
111  44.55570933 -090.51423691 1
111  44.55735687 -090.51329438 1
111  44.55793987 -090.51296372 1
111  44.55797698 -090.51294445
112  44.55797698 -090.51294445  44.55811634 -090.51286748 1
112  44.55814452 -090.51256797  44.55812981 -090.51238078
111  44.55814452 -090.51256797 1
115  44.55809308 -090.51185910
21  44.55761982 -090.50867394 2 275.6800 4.00 New Light Fixture 8
21  44.55869156 -090.51660696 2 95.6800 3.00 New Light Fixture 7
14  44.55597852 -090.51555076  82.02 0 New Tower Viewpoint 1
1300  44.55618116 -090.51521682 -157.08 hangar props Hangar 14
1301 A none 
1300  44.55586166 -090.51556406 111.10 hangar turboprops|props Hangar 13
1301 A none 
1300  44.55545348 -090.51583639 179.96 hangar props Hangar 12
1301 A none 
1300  44.55544462 -090.51625857 179.00 hangar props Hangar 11
1301 A none 
1300  44.55545646 -090.51648383 179.21 hangar props Hangar 10
1301 A none 
1300  44.55545293 -090.51671175 178.93 hangar props Hangar 9
1301 A none 
1300  44.55509661 -090.51696211 -180.32 hangar props Hangar 7
1301 A none 
1300  44.55507739 -090.51674365 179.84 hangar props Hangar 6
1301 A none 
1300  44.55508057 -090.51651094 -179.71 hangar props Hangar 5
1301 A none 
1300  44.55507538 -090.51626813 -180.50 hangar props Hangar 4
1301 A none 
1300  44.55507529 -090.51605748 179.61 hangar props Hangar 3
1301 A none 
1300  44.55481800 -090.51639932 359.86 hangar props Hangar 2
1301 A none 
1300  44.55479866 -090.51613506   0.00 hangar props Hangar 1
1301 A none 
1300  44.55547646 -090.51531811 291.14 tie_down turboprops|props Tie-Down 6
1301 A general_aviation 
1300  44.55545274 -090.51561157  90.64 tie_down props Tie-Down 5
1301 A general_aviation 
1300  44.55558285 -090.51557924 102.90 tie_down turboprops|props Tie-Down 4
1301 A general_aviation 
1300  44.55571018 -090.51552975 113.07 tie_down props Tie-Down 3
1301 A general_aviation 
1300  44.55597425 -090.51503478 293.83 tie_down turboprops|props Tie-Down 2
1301 A general_aviation 
1300  44.55601597 -090.51517974 -157.58 tie_down props Tie-Down 1
1301 A general_aviation 
18  44.55577893 -090.51626182 1 New Airport Beacon 9
19  44.55727771 -090.51469438 1 New Windsock 11
51 12280 CTAF
99
