I
1050 Generated by WorldEditor 2.2.0r2

1   1171 1 0 NZQN Queenstown
111 -45.02163663  168.74100099
111 -45.02166812  168.74101864
111 -45.02165600  168.74106550
111 -45.02155106  168.74100480
111 -45.02156170  168.74096511
113 -45.02159874  168.74098430
110 2 0.00 0.0000 New Taxiway 18
111 -45.02203200  168.74096172
111 -45.02206552  168.74097941
111 -45.02201990  168.74116309
111 -45.02205394  168.74118163
111 -45.02204181  168.74122849
111 -45.02193688  168.74116779
111 -45.02194751  168.74112810
113 -45.02198455  168.74114729
110 3 0.00 0.0000 New Taxiway 5
111 -45.02563603  168.73840910
111 -45.02557344  168.73950874
111 -45.02561511  168.73989520
111 -45.02556881  168.74009826
111 -45.02547046  168.74023647
111 -45.02541812  168.74034539
111 -45.02531014  168.74086884
111 -45.02511341  168.74077358
111 -45.02515093  168.74059983
111 -45.02508065  168.74056911
111 -45.02509926  168.74048718
111 -45.02514206  168.74050520
111 -45.02516423  168.74040938
111 -45.02504494  168.74035570
111 -45.02502243  168.74045162
111 -45.02506015  168.74046978
111 -45.02504331  168.74055280
111 -45.02488106  168.74048190
111 -45.02486558  168.74041987
111 -45.02488109  168.74033773
111 -45.02484487  168.74032119
111 -45.02481672  168.74045378
111 -45.02459236  168.74035574
111 -45.02459807  168.74032978
111 -45.02457162  168.74031486
111 -45.02457844  168.74028575
111 -45.02445653  168.74022919
111 -45.02446374  168.74019242
111 -45.02431989  168.74013063
111 -45.02423817  168.74051159
111 -45.02421908  168.74050368
111 -45.02420736  168.74056087
111 -45.02427204  168.74059152
111 -45.02425067  168.74067526
111 -45.02404634  168.74058068
111 -45.02422792  168.73986437
111 -45.02461448  168.73948244
112 -45.02461448  168.73948244 -45.02465359  168.73953130
112 -45.02472250  168.73967416 -45.02479946  168.73973030
111 -45.02472250  168.73967416
112 -45.02472250  168.73967416 -45.02488730  168.73977869
111 -45.02495260  168.73959586
112 -45.02495260  168.73959586 -45.02503351  168.73938927
111 -45.02492151  168.73927399
111 -45.02478373  168.73910295
112 -45.02474888  168.73907963 -45.02473524  168.73906584
111 -45.02474888  168.73907963
111 -45.02464625  168.73896324
112 -45.02464625  168.73896324 -45.02458374  168.73889757
112 -45.02490819  168.73886816 -45.02510614  168.73899546
111 -45.02490819  168.73886816
111 -45.02507709  168.73900154
111 -45.02514134  168.73905525
111 -45.02517181  168.73898776
111 -45.02510970  168.73893493
111 -45.02530005  168.73854616
113 -45.02537554  168.73838297
110 2 0.00 0.0000 New Taxiway 4
111 -45.02508087  168.73834276
111 -45.02512199  168.73825465
111 -45.02517584  168.73813929
111 -45.02539632  168.73833804
111 -45.02537554  168.73838297
113 -45.02530005  168.73854616
110 2 0.00 0.0000 New Taxiway 3
111 -45.02423817  168.74051159
111 -45.02431989  168.74013063
111 -45.02446374  168.74019242
111 -45.02445653  168.74022919
111 -45.02457844  168.74028575
111 -45.02457162  168.74031486
111 -45.02459807  168.74032978
111 -45.02459236  168.74035574
111 -45.02481672  168.74045378
111 -45.02484487  168.74032119
111 -45.02488109  168.74033773
111 -45.02486558  168.74041987
111 -45.02488106  168.74048190
111 -45.02504331  168.74055280
111 -45.02506015  168.74046978
111 -45.02502243  168.74045162
111 -45.02504494  168.74035570
111 -45.02516423  168.74040938
111 -45.02514206  168.74050520
111 -45.02509926  168.74048718
111 -45.02508065  168.74056911
111 -45.02515093  168.74059983
111 -45.02511341  168.74077358
111 -45.02507234  168.74096375
111 -45.02472995  168.74079774
111 -45.02477920  168.74061633
111 -45.02474906  168.74060111
111 -45.02472282  168.74070415
111 -45.02462431  168.74065469
111 -45.02464803  168.74055010
111 -45.02462333  168.74053763
111 -45.02458853  168.74069529
111 -45.02452462  168.74066356
111 -45.02452022  168.74068356
111 -45.02448832  168.74067033
111 -45.02448332  168.74069165
111 -45.02427204  168.74059152
111 -45.02420736  168.74056087
113 -45.02421908  168.74050368
110 2 0.00 0.0000 New Taxiway 2
111 -45.02510970  168.73893493
111 -45.02517181  168.73898776
111 -45.02514134  168.73905525
113 -45.02507709  168.73900154
110 2 0.00 0.0000 New Taxiway 1
111 -45.02108013  168.73771107
111 -45.02135846  168.73781130
111 -45.02131473  168.73801880
111 -45.02130178  168.73808025
111 -45.02127782  168.73819392
111 -45.02126309  168.73826384
111 -45.02125551  168.73829978
111 -45.02123845  168.73838075
111 -45.02137138  168.73844247
111 -45.02137980  168.73840734
111 -45.02145497  168.73844247
111 -45.02112601  168.73869308
111 -45.02120318  168.73890523
111 -45.02118816  168.73896061
111 -45.02119997  168.73899620
111 -45.02118318  168.73900847
111 -45.02152838  168.73997774
111 -45.02156321  168.73995499
111 -45.02161009  168.74007746
111 -45.02163823  168.74005733
111 -45.02170789  168.74025065
111 -45.02168082  168.74031775
111 -45.02160121  168.74018456
111 -45.02152416  168.74051263
111 -45.02156631  168.74048547
111 -45.02158187  168.74053039
111 -45.02145199  168.74061707
111 -45.02147017  168.74066753
111 -45.02143871  168.74068801
111 -45.02138431  168.74054421
111 -45.02141649  168.74052196
111 -45.02143554  168.74057171
111 -45.02149090  168.74053349
111 -45.02157901  168.74014741
111 -45.02143336  168.73990375
111 -45.02131548  168.73957791
111 -45.02131061  168.73949526
111 -45.02108454  168.73964818
111 -45.02109815  168.73968657
111 -45.02107608  168.73970060
111 -45.02103331  168.73957550
111 -45.02105511  168.73956204
111 -45.02106759  168.73960143
111 -45.02130130  168.73944578
111 -45.02125165  168.73930932
111 -45.02113708  168.73907083
111 -45.02099265  168.73864884
111 -45.02101884  168.73845898
112 -45.02097628  168.73840573 -45.02096853  168.73835180
111 -45.02097628  168.73840573
113 -45.02106395  168.73781929
110 1 0.00 0.0000 New Taxiway 16
111 -45.02148768  168.74301161
112 -45.02148768  168.74301161 -45.02142706  168.74302501
111 -45.02140897  168.74309428
111 -45.02133224  168.74342902
111 -45.02130311  168.74355607
112 -45.02112284  168.74367247 -45.02098550  168.74361217
111 -45.02112284  168.74367247
111 -45.01986100  168.74304373
112 -45.01986100  168.74304373 -45.01977481  168.74303569
111 -45.01975573  168.74312258
111 -45.01758764  168.75681215
112 -45.01758764  168.75681215 -45.01754376  168.75704420
112 -45.01736995  168.75715447 -45.01729055  168.75718141
111 -45.01736995  168.75715447
112 -45.01736995  168.75715447 -45.01729883  168.75717860
111 -45.01723973  168.75715749
111 -45.01696600  168.75705333
112 -45.01684860  168.75711129 -45.01679367  168.75720106
111 -45.01684860  168.75711129
111 -45.01689735  168.75678404
112 -45.01689735  168.75678404 -45.01691156  168.75693678
111 -45.01697707  168.75695759
111 -45.01723664  168.75705210
112 -45.01735173  168.75704858 -45.01741268  168.75702861
111 -45.01735173  168.75704858
112 -45.01735173  168.75704858 -45.01741197  168.75702884
112 -45.01750665  168.75683158 -45.01753445  168.75668963
111 -45.01750665  168.75683158
111 -45.01894218  168.74776282
112 -45.01894218  168.74776282 -45.01895204  168.74771165
112 -45.01888734  168.74771328 -45.01885555  168.74774507
111 -45.01888734  168.74771328
111 -45.01885307  168.74774233
111 -45.01823228  168.74826870
111 -45.01833236  168.74763355
112 -45.01833236  168.74763355 -45.01841306  168.74789724
111 -45.01859333  168.74784699
111 -45.01881867  168.74766463
111 -45.01894422  168.74756302
112 -45.01898906  168.74748936 -45.01899837  168.74744651
111 -45.01898906  168.74748936
111 -45.01969059  168.74309932
112 -45.01963616  168.74293171 -45.01956986  168.74287007
111 -45.01963616  168.74293171
111 -45.01961447  168.74292090
111 -45.01915660  168.74269276
112 -45.01911020  168.74270376 -45.01908774  168.74272584
111 -45.01911020  168.74270376
111 -45.01913748  168.74253599
112 -45.01913748  168.74253599 -45.01914852  168.74258014
111 -45.01918217  168.74260030
111 -45.01963783  168.74282273
111 -45.01965604  168.74283162
112 -45.01965604  168.74283162 -45.01971839  168.74285730
111 -45.01973999  168.74277481
111 -45.01975215  168.74270533
111 -45.01983759  168.74221718
111 -45.01999237  168.74229409
112 -45.01999237  168.74229409 -45.01989292  168.74228963
111 -45.01987020  168.74239225
111 -45.01981205  168.74272778
111 -45.01980051  168.74279440
112 -45.01984293  168.74292285 -45.01990055  168.74295746
111 -45.01984293  168.74292285
111 -45.02113281  168.74355249
112 -45.02113281  168.74355249 -45.02120626  168.74358993
111 -45.02122684  168.74351786
111 -45.02125585  168.74339067
111 -45.02132720  168.74307793
112 -45.02126238  168.74290224 -45.02118850  168.74283256
113 -45.02126238  168.74290224
110 1 0.00 0.0000 New Taxiway 15
111 -45.01698394  168.75364784
111 -45.01681324  168.75358944
111 -45.01690893  168.75302464
113 -45.01712442  168.75278154
110 2 0.00 0.0000 New Taxiway 13
111 -45.02396575  168.74234057
111 -45.02426444  168.74249301
111 -45.02423792  168.74260713
111 -45.02430566  168.74264161
111 -45.02427945  168.74275303
111 -45.02425285  168.74286615
111 -45.02421671  168.74301980
111 -45.02384709  168.74284420
111 -45.02388116  168.74269962
113 -45.02392434  168.74251633
111 -45.02395187  168.74280136
111 -45.02414168  168.74288981
111 -45.02419282  168.74267111
113 -45.02400415  168.74257946
110 2 0.00 0.0000 New Taxiway 12
111 -45.02478373  168.73910295
111 -45.02492151  168.73927399
111 -45.02486588  168.73937089
111 -45.02485932  168.73938230
111 -45.02484038  168.73938677
111 -45.02477566  168.73949956
111 -45.02464385  168.73934992
111 -45.02465862  168.73932384
111 -45.02462730  168.73928890
111 -45.02465229  168.73924412
113 -45.02468383  168.73927933
110 2 0.00 0.0000 New Taxiway 4
111 -45.01953302  168.74091265
111 -45.01949701  168.74089645
111 -45.01953629  168.74065565
111 -45.02030269  168.74019259
113 -45.02032561  168.74043339
110 1 0.00 0.0000 New Taxiway 2
111 -45.01951214  168.74010533
112 -45.01951214  168.74010533 -45.01956670  168.74023075
111 -45.01967341  168.74021356
111 -45.02028476  168.73985312 3 102
111 -45.02031176  168.73967975 3 102
111 -45.02063198  168.73762379
111 -45.02064936  168.73751216
111 -45.02077517  168.73670443
111 -45.02107762  168.73679890
111 -45.02106584  168.73686836
111 -45.02108352  168.73687392
111 -45.02103834  168.73718789
111 -45.02108941  168.73720734
111 -45.02103026  168.73762015
111 -45.02102830  168.73763380
111 -45.02108919  168.73765048
111 -45.02108013  168.73771107
111 -45.02106395  168.73781929
111 -45.02097628  168.73840573
112 -45.02097628  168.73840573 -45.02098404  168.73845965
111 -45.02101884  168.73845898
111 -45.02099265  168.73864884
111 -45.02113708  168.73907083
111 -45.02125165  168.73930932
111 -45.02130130  168.73944578
111 -45.02106759  168.73960143
111 -45.02105511  168.73956204
111 -45.02103331  168.73957550
111 -45.02107608  168.73970060
111 -45.02109815  168.73968657
111 -45.02108454  168.73964818
111 -45.02131061  168.73949526
111 -45.02131548  168.73957791
111 -45.02143336  168.73990375
111 -45.02157901  168.74014741
111 -45.02149090  168.74053349
111 -45.02143554  168.74057171
111 -45.02141649  168.74052196
111 -45.02138431  168.74054421
111 -45.02143871  168.74068801
111 -45.02147017  168.74066753
111 -45.02145199  168.74061707
111 -45.02158187  168.74053039
111 -45.02156631  168.74048547
111 -45.02152416  168.74051263
111 -45.02160121  168.74018456
111 -45.02168082  168.74031775
111 -45.02258762  168.74074630
111 -45.02260535  168.74067683
111 -45.02258216  168.74066332
111 -45.02261752  168.74050772
111 -45.02267447  168.74053273
111 -45.02280587  168.73993857
111 -45.02282792  168.73983886
111 -45.02292285  168.73985276
111 -45.02292543  168.74010792
111 -45.02319385  168.73992963
111 -45.02324987  168.74008944
111 -45.02321057  168.74011963
111 -45.02324458  168.74021444
111 -45.02321931  168.74023323
111 -45.02316602  168.74009635
111 -45.02293689  168.74026075
111 -45.02292707  168.74038115
111 -45.02299254  168.74058492
111 -45.02315008  168.74047828
111 -45.02318090  168.74056541
112 -45.02318090  168.74056541 -45.02328792  168.74045168
112 -45.02349173  168.74040681 -45.02357827  168.74039800
111 -45.02349173  168.74040681
112 -45.02349173  168.74040681 -45.02356833  168.74039902
111 -45.02362084  168.74041259
112 -45.02362084  168.74041259 -45.02365965  168.74041817
111 -45.02366208  168.74036813
111 -45.02371789  168.73993494
112 -45.02371789  168.73993494 -45.02373494  168.73979183
112 -45.02363588  168.73976289 -45.02358473  168.73980470
111 -45.02363588  168.73976289
111 -45.02348002  168.73989492
111 -45.02347374  168.73991905
111 -45.02345904  168.73993038
111 -45.02339277  168.73975217
111 -45.02435771  168.73894007
112 -45.02456982  168.73864275 -45.02465396  168.73847078
111 -45.02456982  168.73864275
111 -45.02484397  168.73800413
111 -45.02512199  168.73825465
111 -45.02508087  168.73834276
111 -45.02530005  168.73854616
111 -45.02510970  168.73893493
111 -45.02507709  168.73900154
111 -45.02490819  168.73886816
112 -45.02490819  168.73886816 -45.02471023  168.73874086
112 -45.02464625  168.73896324 -45.02470876  168.73902890
111 -45.02464625  168.73896324
111 -45.02474888  168.73907963
112 -45.02474888  168.73907963 -45.02476252  168.73909343
111 -45.02478373  168.73910295
111 -45.02472481  168.73920715
111 -45.02458733  168.73904969
112 -45.02449895  168.73901727 -45.02445796  168.73904166
111 -45.02449895  168.73901727
112 -45.02444330  168.73918167 -45.02444409  168.73930451
111 -45.02444330  168.73918167
111 -45.02475457  168.73955649
112 -45.02475457  168.73955649 -45.02483415  168.73963652
112 -45.02486588  168.73937089 -45.02478761  168.73925922
111 -45.02486588  168.73937089
111 -45.02492151  168.73927399
112 -45.02495260  168.73959586 -45.02487170  168.73980245
111 -45.02495260  168.73959586
112 -45.02472250  168.73967416 -45.02455769  168.73956964
111 -45.02472250  168.73967416
112 -45.02472250  168.73967416 -45.02464554  168.73961803
112 -45.02461448  168.73948244 -45.02457537  168.73943357
111 -45.02461448  168.73948244
111 -45.02437094  168.73921290
112 -45.02432577  168.73919901 -45.02430165  168.73921064
111 -45.02432577  168.73919901
111 -45.02392138  168.73952948
112 -45.02384542  168.73969014 -45.02382474  168.73981365
111 -45.02384542  168.73969014
111 -45.02374847  168.74031814
112 -45.02379430  168.74046402 -45.02385776  168.74049752
111 -45.02379430  168.74046402
111 -45.02386653  168.74049746
111 -45.02404634  168.74058068
111 -45.02425067  168.74067526
111 -45.02431564  168.74070534
111 -45.02429600  168.74079333
112 -45.02411270  168.74096468 -45.02405928  168.74120106
111 -45.02411270  168.74096468
111 -45.02406723  168.74120029
111 -45.02385787  168.74228523
111 -45.02384646  168.74234434
112 -45.02387115  168.74253863 -45.02391785  168.74257120
111 -45.02387115  168.74253863
112 -45.02392434  168.74251633 -45.02394828  168.74247686
111 -45.02392434  168.74251633
111 -45.02388116  168.74269962
112 -45.02388116  168.74269962 -45.02387129  168.74265216
112 -45.02381631  168.74270216 -45.02381368  168.74277847
111 -45.02381631  168.74270216
112 -45.02408636  168.74320000 -45.02435232  168.74332757
111 -45.02408636  168.74320000
112 -45.02408636  168.74320000 -45.02427484  168.74326298
112 -45.02425285  168.74286615 -45.02416192  168.74273885
111 -45.02425285  168.74286615
111 -45.02427945  168.74275303
111 -45.02442678  168.74282257
111 -45.02434004  168.74317685
112 -45.02406901  168.74329193 -45.02384147  168.74321024
111 -45.02406901  168.74329193
112 -45.02406901  168.74329193 -45.02377168  168.74316071
111 -45.02375150  168.74278258
112 -45.02364483  168.74254819 -45.02353970  168.74249459
111 -45.02364483  168.74254819
111 -45.02355740  168.74250444
112 -45.02353807  168.74249915 -45.02352622  168.74249705
111 -45.02353807  168.74249915
112 -45.02353807  168.74249915 -45.02350503  168.74249329
112 -45.02340493  168.74259982 -45.02337179  168.74270374
111 -45.02340493  168.74259982
112 -45.02340493  168.74259982 -45.02340267  168.74260691
112 -45.02339865  168.74262253 -45.02339672  168.74263059
111 -45.02339865  168.74262253
111 -45.02334791  168.74292818
112 -45.02344215  168.74315535 -45.02356717  168.74321297
111 -45.02344215  168.74315535
111 -45.02341053  168.74329188
111 -45.02331463  168.74324638
112 -45.02327689  168.74325366 -45.02326134  168.74326861
111 -45.02327689  168.74325366
112 -45.02327689  168.74325366 -45.02327276  168.74325763
112 -45.02326644  168.74327094 -45.02326379  168.74327867
111 -45.02326644  168.74327094
111 -45.02318993  168.74360419
112 -45.02321947  168.74372318 -45.02325925  168.74376820
111 -45.02321947  168.74372318
111 -45.02297627  168.74361142
112 -45.02297627  168.74361142 -45.02306152  168.74361946
111 -45.02307071  168.74355439
111 -45.02313184  168.74325391
112 -45.02313184  168.74325391 -45.02314684  168.74317798
111 -45.02310849  168.74314854
111 -45.02308243  168.74313618
111 -45.02163438  168.74244897
112 -45.02154243  168.74254454 -45.02150691  168.74265397
111 -45.02154243  168.74254454
111 -45.02147704  168.74282481
112 -45.02149057  168.74289171 -45.02150951  168.74292410
111 -45.02149057  168.74289171
111 -45.02135039  168.74282614
112 -45.02135039  168.74282614 -45.02138827  168.74281833
111 -45.02139622  168.74278507
111 -45.02146432  168.74249360
112 -45.02146432  168.74249360 -45.02148866  168.74238566
112 -45.02139313  168.74228111 -45.02135696  168.74220760
111 -45.02139313  168.74228111
111 -45.02132714  168.74213774
112 -45.02113171  168.74192792 -45.02099343  168.74185289
111 -45.02113171  168.74192792
111 -45.02101387  168.74187458
112 -45.02100104  168.74186763 -45.02099279  168.74186292
111 -45.02100104  168.74186763
112 -45.02100104  168.74186763 -45.02094961  168.74183828
112 -45.02063829  168.74143671 -45.02052115  168.74116040
111 -45.02063829  168.74143671
111 -45.02041636  168.74086156
112 -45.02004011  168.74095939 -45.01983035  168.74108275
111 -45.02004011  168.74095939
111 -45.01943600  168.74133277
112 -45.01933780  168.74151337 -45.01930825  168.74165326
111 -45.01933780  168.74151337
111 -45.01925728  168.74201627
113 -45.01921210  168.74199960
111 -45.02064375  168.74128206
112 -45.02064375  168.74128206 -45.02074210  168.74152895
112 -45.02100667  168.74175519 -45.02112238  168.74183632
111 -45.02100667  168.74175519
112 -45.02100667  168.74175519 -45.02110438  168.74182370
111 -45.02117843  168.74184658
112 -45.02117843  168.74184658 -45.02124435  168.74186105
112 -45.02122048  168.74172437 -45.02118184  168.74170186
111 -45.02122048  168.74172437
111 -45.02119578  168.74170950
111 -45.02099268  168.74116229
112 -45.02052623  168.74086515 -45.02021295  168.74083790
111 -45.02052623  168.74086515
112 -45.02051452  168.74094332 -45.02053028  168.74098437
113 -45.02051452  168.74094332
111 -45.02321600  168.74280133
112 -45.02326298  168.74276899 -45.02327714  168.74272570
111 -45.02326298  168.74276899
111 -45.02330608  168.74256463
111 -45.02331091  168.74254174
112 -45.02323290  168.74224105 -45.02312370  168.74213174
111 -45.02323290  168.74224105
111 -45.02320773  168.74222583
112 -45.02317418  168.74223468 -45.02316537  168.74225681
111 -45.02317418  168.74223468
111 -45.02308726  168.74259212
111 -45.02139524  168.74179762
111 -45.02140073  168.74186998
112 -45.02147935  168.74199058 -45.02155281  168.74202235
113 -45.02147935  168.74199058
111 -45.02301504  168.74293652
112 -45.02301504  168.74293652 -45.02306297  168.74295794
112 -45.02312697  168.74296406 -45.02315428  168.74296293
111 -45.02312697  168.74296406
112 -45.02312697  168.74296406 -45.02319935  168.74296107
112 -45.02318155  168.74288641 -45.02315719  168.74287357
111 -45.02318155  168.74288641
111 -45.02149519  168.74209581
112 -45.02149519  168.74209581 -45.02147730  168.74208773
112 -45.02148020  168.74214382 -45.02148781  168.74217613
111 -45.02148020  168.74214382
112 -45.02162700  168.74231355 -45.02174461  168.74237720
113 -45.02162700  168.74231355
111 -45.02348274  168.74155991
112 -45.02348274  168.74155991 -45.02349853  168.74146592
112 -45.02336058  168.74147586 -45.02333954  168.74155310
111 -45.02336058  168.74147586
111 -45.02320826  168.74209568
112 -45.02321870  168.74213838 -45.02323678  168.74215229
111 -45.02321870  168.74213838
111 -45.02324350  168.74215356
112 -45.02339854  168.74204543 -45.02343643  168.74189401
111 -45.02339854  168.74204543
113 -45.02346132  168.74168344
111 -45.02363058  168.74055237
112 -45.02361069  168.74049743 -45.02358602  168.74049355
111 -45.02361069  168.74049743
112 -45.02349173  168.74049651 -45.02342355  168.74050340
111 -45.02349173  168.74049651
112 -45.02349173  168.74049651 -45.02343908  168.74050183
112 -45.02331797  168.74054914 -45.02325990  168.74058236
111 -45.02331797  168.74054914
112 -45.02323670  168.74072273 -45.02323223  168.74085066
111 -45.02323670  168.74072273
111 -45.02326228  168.74130166
112 -45.02329135  168.74133680 -45.02331914  168.74134111
111 -45.02329135  168.74133680
111 -45.02345805  168.74135690
112 -45.02351896  168.74130300 -45.02353223  168.74124369
111 -45.02351896  168.74130300
113 -45.02361739  168.74064102
111 -45.02358081  168.74134786
112 -45.02360260  168.74140682 -45.02363193  168.74141088
111 -45.02360260  168.74140682
112 -45.02360260  168.74140682 -45.02364376  168.74140931
112 -45.02371757  168.74139249 -45.02375297  168.74138135
111 -45.02371757  168.74139249
112 -45.02371757  168.74139249 -45.02388852  168.74133871
111 -45.02398914  168.74115791
111 -45.02397019  168.74098773
111 -45.02402418  168.74074519
112 -45.02400050  168.74065943 -45.02395709  168.74063709
111 -45.02400050  168.74065943
111 -45.02384603  168.74058980
111 -45.02375349  168.74054809
112 -45.02369903  168.74059164 -45.02368602  168.74065447
111 -45.02369903  168.74059164
113 -45.02368770  168.74066413
111 -45.02343838  168.74218089
112 -45.02349957  168.74236180 -45.02356303  168.74241004
111 -45.02349957  168.74236180
111 -45.02356154  168.74239211
111 -45.02371324  168.74246632
112 -45.02375984  168.74243898 -45.02377519  168.74239555
111 -45.02375984  168.74243898
111 -45.02395435  168.74143233
112 -45.02395435  168.74143233 -45.02396750  168.74136812
112 -45.02390604  168.74137605 -45.02386263  168.74140955
111 -45.02390604  168.74137605
112 -45.02372753  168.74146678 -45.02363133  168.74149560
111 -45.02372753  168.74146678
112 -45.02372753  168.74146678 -45.02369121  168.74147766
112 -45.02361630  168.74148015 -45.02357970  168.74147648
111 -45.02361630  168.74148015
112 -45.02354321  168.74156435 -45.02352266  168.74165417
111 -45.02354321  168.74156435
113 -45.02351939  168.74170443
130 Airport Boundary
111 -45.01947448  168.73395783
111 -45.01958195  168.73398183
111 -45.01973184  168.73352572
111 -45.01997056  168.73359069
111 -45.02074880  168.73393446
111 -45.02082007  168.73414571
111 -45.02105085  168.73428014
111 -45.02123751  168.73445298
111 -45.02128502  168.73509634
111 -45.02141550  168.73551428
111 -45.02135050  168.73594034
111 -45.02204221  168.73616764
111 -45.02200897  168.73645620
111 -45.02215559  168.73694017
111 -45.02221912  168.73697474
111 -45.02248302  168.73689177
111 -45.02275181  168.73694708
111 -45.02310367  168.73713376
111 -45.02323074  168.73712685
111 -45.02343111  168.73770761
111 -45.02346532  168.73768687
111 -45.02366481  168.73687270
111 -45.02540514  168.73774237
111 -45.02556641  168.73787374
111 -45.02562017  168.73794980
111 -45.02567881  168.73820562
111 -45.02560062  168.73964376
111 -45.02563971  168.73992724
111 -45.02560062  168.74007935
111 -45.02541741  168.74039521
111 -45.02509161  168.74202582
111 -45.02508346  168.74236000
111 -45.02514862  168.74264810
111 -45.02526673  168.74316667
111 -45.02486772  168.74501871
111 -45.02358999  168.74442086
111 -45.02165094  168.74391464
111 -45.02046282  168.74459215
111 -45.01828453  168.75850760
111 -45.01678485  168.75960772
111 -45.01648576  168.75968238
111 -45.01628637  168.75965750
111 -45.01602247  168.75949987
111 -45.01582308  168.75932566
111 -45.01554158  168.75895235
111 -45.01713804  168.74885725
111 -45.01721493  168.74888017
111 -45.01722952  168.74875676
111 -45.01716781  168.74866498
111 -45.01808281  168.74277029
111 -45.01655251  168.74067921
111 -45.01693957  168.73991598
111 -45.01816524  168.74033078
113 -45.01912828  168.73616582
120 Runway Hold 11
111 -45.01735173  168.75704858 4
115 -45.01736995  168.75715447
120 Runway Hold 10
111 -45.01881867  168.74766463 4
115 -45.01885307  168.74774233
120 Runway Hold 9
111 -45.01963783  168.74282273 4
115 -45.01961447  168.74292090
120 Runway Hold 8
111 -45.01837035  168.74151703 4
115 -45.01839974  168.74139698
120 Runway Hold 7
111 -45.01974678  168.74204540 4
115 -45.01971922  168.74216681
120 Runway Hold 6
111 -45.01981205  168.74272778 4
115 -45.01975215  168.74270533
120 Runway Hold 5
111 -45.02133224  168.74342902 4
115 -45.02125585  168.74339067
120 Runway Hold 4
111 -45.02316431  168.74319581 4
115 -45.02327689  168.74325366
120 Runway Hold 3
111 -45.02149830  168.74242685 4
115 -45.02157709  168.74246213
120 Runway Hold 2
111 -45.01997226  168.74072551 4
115 -45.02002556  168.74089920
120 Runway Hold 1
111 -45.02004876  168.74006350 4
115 -45.02010687  168.74024398
120 Linear Feature 38
112 -45.02354293  168.74136516 -45.02354423  168.74143683 1
115 -45.02358455  168.74144825
120 Linear Feature 36
111 -45.02349173  168.74040681 2
115 -45.02349173  168.74049651
120 Linear Feature 35
111 -45.02361739  168.74064102 2
115 -45.02368770  168.74066413
120 Linear Feature 34
111 -45.02386653  168.74049746 2
115 -45.02384603  168.74058980
120 Linear Feature 24
111 -45.02371757  168.74139249 2
115 -45.02372753  168.74146678
120 Linear Feature 37
111 -45.02410852  168.74075950 1
111 -45.02404258  168.74106681
112 -45.02404258  168.74106681 -45.02398181  168.74131193 1
112 -45.02358455  168.74144825 -45.02337243  168.74143951
111 -45.02358455  168.74144825 1
116 -45.02351954  168.74151107 -45.02349969  168.74157489
120 Linear Feature 23
111 -45.02346132  168.74168344 2
115 -45.02351939  168.74170443
120 Linear Feature 22
111 -45.02356154  168.74239211 2
115 -45.02353807  168.74249915
120 Linear Feature 21
111 -45.02330608  168.74256463 2
115 -45.02340493  168.74259982
120 Linear Feature 20
111 -45.02312697  168.74296406 2
115 -45.02308243  168.74313618
120 Linear Feature 17
111 -45.02100104  168.74186763 5
115 -45.02100667  168.74175519
120 Linear Feature 14
111 -45.02085053  168.73886488 1
111 -45.02086679  168.73885452 1
115 -45.02088251  168.73884451
120 Linear Feature 14
111 -45.02077519  168.73862946 1
