A
1000 Generated by WorldEditor

1    128 1 0 PABE Bethel
111  60.78322107 -161.84776549
111  60.78309567 -161.84744927
113  60.78320070 -161.84727445
110 2 0.00 0.0000 New Taxiway 18
111  60.77900142 -161.84907832
111  60.77889804 -161.84880961
111  60.77904764 -161.84856812
113  60.77915102 -161.84883684
110 2 0.00 0.0000 New Taxiway 18
111  60.77964039 -161.85009938
111  60.77950875 -161.85030993
111  60.77939153 -161.85000241
113  60.77952318 -161.84979186
110 2 0.00 0.0000 New Taxiway 18
111  60.77796475 -161.84584272
111  60.77783438 -161.84605577
111  60.77773332 -161.84579631
113  60.77786369 -161.84558326
110 2 0.00 0.0000 New Taxiway 18
111  60.77819712 -161.84650196
111  60.77806676 -161.84671501
111  60.77796570 -161.84645555
113  60.77809606 -161.84624250
110 2 0.00 0.0000 New Taxiway 18
111  60.77837233 -161.84689904
111  60.77824197 -161.84711209
111  60.77814091 -161.84685263
113  60.77827127 -161.84663958
110 2 0.00 0.0000 New Taxiway 18
111  60.77734519 -161.84426912
111  60.77718548 -161.84452984
111  60.77708534 -161.84427246
113  60.77724504 -161.84401175
110 2 0.00 0.0000 New Taxiway 18
111  60.77732574 -161.84500350
111  60.77722632 -161.84516681
111  60.77712395 -161.84490533
113  60.77722337 -161.84474203
110 2 0.00 0.0000 New Taxiway 18
111  60.78366448 -161.83979193
111  60.78306407 -161.84032389
111  60.78297953 -161.83992342
113  60.78357994 -161.83939146
110 2 0.00 0.0000 New Taxiway 6
111  60.77542931 -161.84601212
111  60.77531139 -161.84545208
111  60.77582870 -161.84499513
111  60.77594662 -161.84555517
111  60.77575855 -161.84572129
113  60.77551879 -161.84593308
110 2 0.00 0.0000 New Taxiway 6
111  60.77519252 -161.84648978
111  60.77490387 -161.84674508
111  60.77469372 -161.84574839
113  60.77498237 -161.84549308
110 1 0.00 0.0000 New Taxiway 6
111  60.78127098 -161.83202243
112  60.78127098 -161.83202243  60.78144059 -161.83282531 3 102
112  60.78124625 -161.83360030  60.78135324 -161.83410308
111  60.78124625 -161.83360030 3 102
111  60.78137995 -161.83423409
112  60.78137995 -161.83423409  60.78142156 -161.83442587 3 102
111  60.78150051 -161.83440643
111  60.78203504 -161.83485086 3 102
112  60.78178362 -161.83614764  60.78189414 -161.83666972 3 102
111  60.78217812 -161.83647700 3 102
111  60.78547745 -161.83355713 3 102
112  60.78552818 -161.83327135  60.78547797 -161.83309893
111  60.78552818 -161.83327135 3 102
111  60.78523575 -161.83229451
112  60.78523575 -161.83229451  60.78518132 -161.83212301 3 102
111  60.78510772 -161.83213218
111  60.78535461 -161.83191385 3 102
112  60.78537001 -161.83208990  60.78540271 -161.83219926
111  60.78537001 -161.83208990 3 102
111  60.78557987 -161.83279093 3 102
111  60.78569692 -161.83318192
112  60.78569692 -161.83318192  60.78573754 -161.83332332 3 102
111  60.78578778 -161.83328249 3 102
112  60.78769184 -161.83159742  60.78776512 -161.83153445 3 102
112  60.78788666 -161.83074652  60.78778018 -161.83024011
111  60.78788666 -161.83074652 3 102
111  60.78779067 -161.83029144
112  60.78779067 -161.83029144  60.78770470 -161.82988311 3 102
111  60.78751852 -161.82999973
111  60.78793944 -161.82962730 3 102
111  60.78813012 -161.83053107 3 102
111  60.78833290 -161.83149236
112  60.78833290 -161.83149236  60.78837588 -161.83169452 3
112  60.78851704 -161.83171513  60.78855614 -161.83167918
111  60.78851704 -161.83171513 3
111  60.79016073 -161.83026048
111  60.79020059 -161.83044914
111  60.79024019 -161.83063659
111  60.79057376 -161.83221539
111  60.78531524 -161.83686911
111  60.78483418 -161.83458868 3 102
111  60.78225911 -161.83686759 3 102
112  60.78208612 -161.83758160  60.78217101 -161.83798665
111  60.78208612 -161.83758160 3 102
111  60.78222243 -161.83822775
112  60.78222243 -161.83822775  60.78228583 -161.83852714 3 102
111  60.78250951 -161.83836625 3
111  60.78399021 -161.83705586
111  60.78420820 -161.83808925
112  60.78420820 -161.83808925  60.78425206 -161.83829716
112  60.78407278 -161.83853280  60.78409517 -161.83863556
111  60.78407278 -161.83853280
111  60.78427161 -161.83947530
111  60.78194049 -161.84153831
111  60.78318381 -161.84473779
111  60.78297649 -161.84507587 1
111  60.78280153 -161.84536118
111  60.78359260 -161.84739687
111  60.78285379 -161.84860169 3 102
111  60.78208260 -161.84661717 3 102
112  60.78195397 -161.84658186  60.78189028 -161.84668499
111  60.78195397 -161.84658186 3 102
111  60.78156627 -161.84721410 3 102
111  60.78138164 -161.84751519
111  60.78122068 -161.84777766 3 102
111  60.78104337 -161.84806682 3 102
111  60.78052904 -161.84890556
111  60.77941820 -161.85071706
111  60.77818617 -161.84754664
111  60.77847886 -161.84706933
111  60.77782825 -161.84539511
111  60.77720842 -161.84380008
111  60.77792626 -161.84262947 3 102
111  60.77848507 -161.84171820 3 102
111  60.77862380 -161.84149196
112  60.77862380 -161.84149196  60.77870050 -161.84136566 3 102
111  60.77865777 -161.84118242
111  60.77886990 -161.84172832 3 102
112  60.77869748 -161.84166889  60.77861180 -161.84180799
111  60.77869748 -161.84166889 3 102
111  60.77855573 -161.84190004 3 102
111  60.77815758 -161.84254933
112  60.77815758 -161.84254933  60.77809059 -161.84265855 3 102
112  60.77814451 -161.84284121  60.77816821 -161.84290282
111  60.77814451 -161.84284121 3 102
111  60.78023233 -161.84821383 3 102
112  60.78049891 -161.84841541  60.78061239 -161.84823150
111  60.78049891 -161.84841541 3 102
111  60.78091509 -161.84773672 3 102
111  60.78096271 -161.84765906
112  60.78096271 -161.84765906  60.78107619 -161.84747328 3 102
111  60.78101974 -161.84726058
111  60.78120334 -161.84705637 3 102
112  60.78135791 -161.84701460  60.78144039 -161.84688110
111  60.78135791 -161.84701460 3 102
111  60.78143799 -161.84688400 3 102
111  60.78182880 -161.84624669
112  60.78182880 -161.84624669  60.78192496 -161.84608891 3 102
111  60.78184408 -161.84586345 3 102
111  60.78028852 -161.84186047 3 102
112  60.78005037 -161.84133754  60.77996179 -161.84119057 3 102
112  60.77975080 -161.84113571  60.77969201 -161.84116372
111  60.77975080 -161.84113571 3 102
111  60.77963992 -161.84118734 3 102
111  60.77915085 -161.84141505
112  60.77915085 -161.84141505  60.77905970 -161.84145893 3 102
111  60.77909555 -161.84163234
111  60.77879336 -161.84085473
111  60.77847646 -161.84071585 3 102
112  60.77809541 -161.84055242  60.77791537 -161.84070621
111  60.77809541 -161.84055242 3 102
111  60.77778223 -161.84082958 3 102
111  60.77553164 -161.84282133 3 102
112  60.77541618 -161.84356652  60.77551710 -161.84404442
111  60.77541618 -161.84356652 3 102
111  60.77566817 -161.84476106
112  60.77566817 -161.84476106  60.77570128 -161.84491650
112  60.77589020 -161.84501646  60.77594591 -161.84527938
111  60.77589020 -161.84501646
111  60.77615388 -161.84626639
111  60.77542719 -161.84690951
111  60.77533792 -161.84648637
111  60.77488134 -161.84689044
111  60.77462681 -161.84568386
111  60.77530360 -161.84508491 3 102
112  60.77539102 -161.84451894  60.77532482 -161.84420475
111  60.77539102 -161.84451894 3 102
111  60.77522717 -161.84374222
112  60.77522717 -161.84374222  60.77513029 -161.84328253 3 102
111  60.77486149 -161.84341441 3 102
111  60.77324235 -161.84484733 3 102
111  60.77265710 -161.84536527
112  60.77265710 -161.84536527  60.77225394 -161.84569986 3 102
112  60.77203412 -161.84477585  60.77193977 -161.84433104
111  60.77203412 -161.84477585 3 102
111  60.77184271 -161.84386853
111  60.77167962 -161.84309538 3 102
111  60.77149675 -161.84222851 3 102
111  60.77122015 -161.84091732 3 102
111  60.77104619 -161.84009270
111  60.77133777 -161.83983465 3 102
112  60.77128075 -161.84016074  60.77132336 -161.84036401
111  60.77128075 -161.84016074 3 102
111  60.77140571 -161.84075309 3 102
111  60.77168231 -161.84206428 3 102
111  60.77181954 -161.84271483
112  60.77181954 -161.84271483  60.77186316 -161.84291913 3 102
111  60.77197499 -161.84283451
111  60.77225328 -161.84350539 3 102
112  60.77216725 -161.84411670  60.77224194 -161.84446782
111  60.77216725 -161.84411670 3 102
111  60.77226348 -161.84457287
112  60.77226348 -161.84457287  60.77232761 -161.84486683 3 102
112  60.77255288 -161.84490308  60.77268458 -161.84481623
111  60.77255288 -161.84490308 3 102
111  60.77316969 -161.84444937 3 102
111  60.77770006 -161.84044004 3 102
111  60.77819802 -161.83999934
112  60.77782364 -161.83903563  60.77773026 -161.83879835
111  60.77741564 -161.83893720
111  60.77837554 -161.83808829
112  60.77823683 -161.83942265  60.77837237 -161.83978748
111  60.77839364 -161.83982622 3 102
111  60.77894277 -161.83934025 3 102
111  60.77921312 -161.83910099
112  60.77921312 -161.83910099  60.77943534 -161.83890487 3 102
112  60.77935461 -161.83829729  60.77932130 -161.83813814 3 102
112  60.77872145 -161.83778280  60.77840445 -161.83806455
111  60.77872145 -161.83778280
111  60.77891292 -161.83669606 3 102
112  60.77895805 -161.83641740  60.77891559 -161.83621860
111  60.77895805 -161.83641740 3 102
111  60.77881724 -161.83574995 3 102
111  60.77854065 -161.83443876 3 102
111  60.77843182 -161.83392290
112  60.77843182 -161.83392290  60.77837999 -161.83367892 3 102
111  60.77827008 -161.83369968
111  60.77864659 -161.83336648 3 102
112  60.77861585 -161.83377094  60.77865831 -161.83396974
111  60.77861585 -161.83377094 3 102
111  60.77872273 -161.83427761 3 102
111  60.77899933 -161.83558880 3 102
111  60.77914174 -161.83626391
112  60.77914174 -161.83626391  60.77917759 -161.83643448 3 102
111  60.77929111 -161.83635874
111  60.77972323 -161.83689626
112  60.77972323 -161.83689626  60.77943461 -161.83715640 3 102
112  60.77953670 -161.83813615  60.77956689 -161.83828168 3 102
112  60.77997427 -161.83842739  60.78022737 -161.83820727
111  60.77997427 -161.83842739 3 102
111  60.78139320 -161.83717164 3 102
112  60.78158223 -161.83632587  60.78146757 -161.83578588 3 102
111  60.78105068 -161.83572122
111  60.78116067 -161.83470726 3 102
112  60.78117972 -161.83441600  60.78114062 -161.83422910
111  60.78117972 -161.83441600 3 102
111  60.78104529 -161.83377815 3 102
111  60.78076892 -161.83246676 3 102
111  60.78062975 -161.83180643
112  60.78062975 -161.83180643  60.78060328 -161.83168104 3 102
111  60.78046904 -161.83175344
113  60.78109704 -161.83119786 3 102
111  60.78189483 -161.83904990 3 102
112  60.78202233 -161.83839080  60.78193131 -161.83794766
111  60.78202233 -161.83839080 3 102
111  60.78189005 -161.83776315
112  60.78189005 -161.83776315  60.78177234 -161.83729003 3 102
111  60.78147151 -161.83756503 3 102
111  60.78005711 -161.83881554
112  60.78005711 -161.83881554  60.77981539 -161.83904113 3 102
112  60.77988897 -161.83980607  60.77994761 -161.84008441 3 102
112  60.78058554 -161.84020860  60.78089491 -161.83993478
113  60.78058554 -161.84020860 3 102
112  60.77970733 -161.83996932  60.77967675 -161.83982453 3 102
112  60.77927722 -161.83950653  60.77904543 -161.83971111
111  60.77927722 -161.83950653 3 102
111  60.77902495 -161.83972979 3 102
111  60.77889606 -161.83984386
112  60.77889606 -161.83984386  60.77859250 -161.84011342 3 102
111  60.77879336 -161.84085473 3 102
112  60.77905166 -161.84091948  60.77920330 -161.84084865
111  60.77905166 -161.84091948 3 102
111  60.77958339 -161.84067190 3 102
111  60.77965748 -161.84063741
114  60.77965748 -161.84063741  60.77983035 -161.84055664 3 102
111  60.78500520 -161.83443734
111  60.78515344 -161.83514008
111  60.78568442 -161.83467017
113  60.78553617 -161.83396743 3 102
130 Airport Boundary 5
111  60.77711196 -161.84492453
111  60.77631739 -161.84594820
111  60.77629176 -161.84652564
111  60.77540322 -161.84728681
111  60.77516929 -161.84676265
111  60.76904505 -161.85229000
111  60.76622712 -161.83826885
111  60.78850696 -161.81853035
111  60.79094669 -161.83026495
111  60.79057495 -161.83221612
111  60.78891530 -161.83365423
111  60.78734395 -161.83511572
111  60.78610341 -161.83619586
111  60.78537770 -161.83683647
111  60.78499209 -161.83741368
111  60.78463544 -161.83823962
111  60.78448037 -161.83915027
111  60.78480601 -161.84116217
111  60.78473882 -161.84322703
112  60.78466128 -161.84461420  60.78465611 -161.84464597
111  60.78460959 -161.84566251
111  60.78286250 -161.84861676
111  60.78208716 -161.85000378
111  60.78141520 -161.85093551
111  60.78030388 -161.85197313
111  60.77994723 -161.85194136
113  60.77941483 -161.85074485
120 Linear Feature 21
111  60.78138820 -161.83921249 22
112  60.78120318 -161.83921249  60.78111066 -161.83902319 22
111  60.78120318 -161.83883389 22
114  60.78138820 -161.83883389  60.78148058 -161.83902319 22
120 Linear Feature 17
112  60.78336888 -161.83892593  60.78338445 -161.83891186 20
116  60.78334320 -161.83880420  60.78332763 -161.83881827
120 Linear Feature 17
111  60.78297330 -161.83962450 1
111  60.78282400 -161.83891674 1
115  60.78277611 -161.83868973
120 Linear Feature 17
111  60.78357805 -161.83939304 1
115  60.78332686 -161.83820231
120 Linear Feature 17
111  60.78263056 -161.83992782 1
111  60.78258108 -161.83969331 1
111  60.78257174 -161.83964899 1
111  60.78256209 -161.83960326 1
115  60.78243337 -161.83899305
120 Linear Feature 16
111  60.78197440 -161.84107448 1
115  60.78170560 -161.84044470
120 Linear Feature 15
111  60.78137250 -161.84280308 1
115  60.78119565 -161.84160622
120 Linear Feature 14
111  60.78167539 -161.84163982 1
115  60.78119565 -161.84160622
120 Linear Feature 13
111  60.78137250 -161.84280308 1
111  60.78172323 -161.84215785 1
115  60.78172733 -161.84195344
120 Linear Feature 12
111  60.78265488 -161.84469225 1
115  60.78284338 -161.84438510
120 Linear Feature 12
111  60.78227807 -161.84511395 1
111  60.78254903 -161.84467208 1
115  60.78265488 -161.84469225
120 Linear Feature 12
111  60.78247964 -161.84588611 1
115  60.78280153 -161.84536118
120 Linear Feature 8
111  60.78118101 -161.84231442 20
111  60.78137250 -161.84280308 20
111  60.78227807 -161.84511395 20
115  60.78237146 -161.84535227
120 Linear Feature 10
111  60.78257174 -161.83964899 22
115  60.78118699 -161.84083746
120 Linear Feature 10
111  60.78258108 -161.83969331 20
111  60.78170560 -161.84044470 20
115  60.78121089 -161.84086929
120 Linear Feature 10
111  60.78256209 -161.83960326 20
115  60.78116446 -161.84080278
120 Linear Feature 8
111  60.78115612 -161.84233067 22
115  60.78235208 -161.84538259
120 Linear Feature 8
111  60.78113246 -161.84235063 20
115  60.78233153 -161.84541049
120 Linear Feature 9
111  60.78113246 -161.84235063 20
115  60.78116446 -161.84080278
120 Linear Feature 9
111  60.78115612 -161.84233067 22
115  60.78118699 -161.84083746
120 Linear Feature 9
111  60.78118101 -161.84231442 20
111  60.78119565 -161.84160622 20
115  60.78121089 -161.84086929
120 Linear Feature 8
111  60.78235208 -161.84538259 22
115  60.78256877 -161.84673832
120 Linear Feature 8
111  60.78233153 -161.84541049 20
115  60.78254629 -161.84675413
120 Linear Feature 8
111  60.78237146 -161.84535227 20
111  60.78244082 -161.84578620 20
115  60.78259055 -161.84672300
120 Linear Feature 7
111  60.77551879 -161.84593308 1
111  60.77551367 -161.84590884 1
111  60.77540206 -161.84537976 1
116  60.77543855 -161.84516634  60.77550530 -161.84510736
120 Linear Feature 3
111  60.77935715 -161.84707553 1
115  60.77931970 -161.84697930
120 Linear Feature 3
111  60.77916653 -161.84658566 1
115  60.77912908 -161.84648943
120 Linear Feature 3
111  60.77882526 -161.84598267 1
115  60.77878782 -161.84588644
120 Linear Feature 3
111  60.78762218 -161.83288084 1
115  60.78756702 -161.83292954
120 Linear Feature 3
111  60.78813095 -161.83269528 1
115  60.78807579 -161.83274397
120 Linear Feature 3
111  60.78534055 -161.83536734 1
115  60.78528539 -161.83541604
120 Linear Feature 3
111  60.77795980 -161.84348130 1
115  60.77792236 -161.84338507
120 Linear Feature 3
111  60.77862068 -161.84518080 1
115  60.77858324 -161.84508457
120 Linear Feature 3
111  60.77845078 -161.84474380 1
115  60.77841334 -161.84464757
120 Linear Feature 3
111  60.77829335 -161.84433860 1
115  60.77825591 -161.84424237
120 Linear Feature 3
111  60.77812086 -161.84389532 1
115  60.77808342 -161.84379909
120 Linear Feature 3
111  60.77980149 -161.84937805 1
115  60.77976399 -161.84928168
120 Linear Feature 3
111  60.77923524 -161.84695983 1
115  60.77919774 -161.84686346
120 Linear Feature 3
111  60.77904462 -161.84646996 1
115  60.77900712 -161.84637359
120 Linear Feature 3
111  60.77870336 -161.84586697 1
115  60.77866586 -161.84577060
120 Linear Feature 3
111  60.78753563 -161.83309136 1
115  60.78748038 -161.83314013
120 Linear Feature 3
111  60.78804440 -161.83290580 1
115  60.78798915 -161.83295456
120 Linear Feature 3
111  60.78525400 -161.83557786 1
115  60.78519875 -161.83562663
120 Linear Feature 3
111  60.77783790 -161.84336560 1
115  60.77780040 -161.84326922
120 Linear Feature 3
111  60.77849878 -161.84506510 1
115  60.77846128 -161.84496873
120 Linear Feature 3
111  60.77832888 -161.84462810 1
115  60.77829138 -161.84453172
120 Linear Feature 3
111  60.77817145 -161.84422290 1
115  60.77813395 -161.84412653
120 Linear Feature 3
111  60.77799896 -161.84377962 1
115  60.77796146 -161.84368324
120 Linear Feature 3
111  60.77926311 -161.84722905 1
115  60.77922567 -161.84713282
120 Linear Feature 3
111  60.77907249 -161.84673918 1
115  60.77903505 -161.84664295
120 Linear Feature 3
111  60.77873123 -161.84613619 1
115  60.77869378 -161.84603996
120 Linear Feature 3
111  60.78941211 -161.83160293 1
115  60.78935695 -161.83165162
120 Linear Feature 3
111  60.78766973 -161.83310711 1
115  60.78761457 -161.83315580
120 Linear Feature 3
111  60.78817850 -161.83292154 1
115  60.78812334 -161.83297024
120 Linear Feature 3
111  60.78538810 -161.83559360 1
115  60.78533294 -161.83564230
120 Linear Feature 3
111  60.77786577 -161.84363482 1
115  60.77782832 -161.84353859
120 Linear Feature 3
111  60.77852665 -161.84533432 1
115  60.77848921 -161.84523809
120 Linear Feature 3
111  60.77835675 -161.84489732 1
115  60.77831930 -161.84480109
120 Linear Feature 3
111  60.77819932 -161.84449212 1
115  60.77816188 -161.84439589
120 Linear Feature 3
111  60.77802683 -161.84404883 1
115  60.77798938 -161.84395260
120 Linear Feature 3
111  60.77970747 -161.84953154 1
115  60.77966997 -161.84943517
120 Linear Feature 3
111  60.77914123 -161.84711332 1
115  60.77910373 -161.84701695
120 Linear Feature 3
111  60.77895061 -161.84662345 1
115  60.77891311 -161.84652708
120 Linear Feature 3
111  60.77860934 -161.84602046 1
115  60.77857184 -161.84592409
120 Linear Feature 3
111  60.78932555 -161.83181340 1
115  60.78927030 -161.83186217
120 Linear Feature 3
111  60.78758317 -161.83331758 1
115  60.78752792 -161.83336635
120 Linear Feature 3
111  60.78809194 -161.83313202 1
115  60.78803669 -161.83318079
120 Linear Feature 3
111  60.78530154 -161.83580408 1
115  60.78524629 -161.83585285
120 Linear Feature 3
111  60.77774388 -161.84351909 1
115  60.77770638 -161.84342271
120 Linear Feature 3
111  60.77840476 -161.84521859 1
115  60.77836726 -161.84512222
120 Linear Feature 3
111  60.77823486 -161.84478159 1
115  60.77819736 -161.84468521
120 Linear Feature 3
111  60.77807743 -161.84437639 1
115  60.77803993 -161.84428002
120 Linear Feature 3
111  60.77790494 -161.84393311 1
115  60.77786744 -161.84383673
120 Linear Feature 3
111  60.77916910 -161.84738254 1
115  60.77913165 -161.84728631
120 Linear Feature 3
111  60.77897848 -161.84689267 1
115  60.77894103 -161.84679644
120 Linear Feature 3
111  60.77863721 -161.84628968 1
115  60.77859977 -161.84619345
120 Linear Feature 3
111  60.78945965 -161.83182915 1
115  60.78940449 -161.83187784
120 Linear Feature 3
111  60.78771727 -161.83333333 1
115  60.78766211 -161.83338202
120 Linear Feature 3
111  60.78822604 -161.83314776 1
115  60.78817088 -161.83319646
120 Linear Feature 3
111  60.78543564 -161.83581982 1
115  60.78538048 -161.83586852
120 Linear Feature 3
111  60.77777175 -161.84378830 1
115  60.77773431 -161.84369208
120 Linear Feature 3
111  60.77843263 -161.84548781 1
115  60.77839519 -161.84539158
120 Linear Feature 3
111  60.77826273 -161.84505081 1
115  60.77822528 -161.84495458
120 Linear Feature 3
111  60.77810530 -161.84464561 1
115  60.77806786 -161.84454938
120 Linear Feature 3
111  60.77793281 -161.84420232 1
115  60.77789537 -161.84410609
120 Linear Feature 3
111  60.77961344 -161.84968506 1
115  60.77957594 -161.84958868
120 Linear Feature 3
111  60.77904719 -161.84726684 1
115  60.77900969 -161.84717047
120 Linear Feature 3
111  60.77885657 -161.84677697 1
115  60.77881907 -161.84668060
120 Linear Feature 3
111  60.77851530 -161.84617398 1
115  60.77847781 -161.84607760
120 Linear Feature 3
111  60.78937310 -161.83203967 1
115  60.78931785 -161.83208843
120 Linear Feature 3
111  60.78763072 -161.83354385 1
115  60.78757547 -161.83359261
120 Linear Feature 3
111  60.78813949 -161.83335828 1
115  60.78808424 -161.83340705
120 Linear Feature 3
111  60.78534909 -161.83603034 1
115  60.78529384 -161.83607911
120 Linear Feature 3
111  60.77764985 -161.84367260 1
115  60.77761235 -161.84357623
120 Linear Feature 3
111  60.77831073 -161.84537211 1
115  60.77827323 -161.84527573
120 Linear Feature 3
111  60.77814082 -161.84493511 1
115  60.77810332 -161.84483873
120 Linear Feature 3
111  60.77798340 -161.84452991 1
115  60.77794590 -161.84443354
120 Linear Feature 3
111  60.77781091 -161.84408662 1
115  60.77777341 -161.84399025
120 Linear Feature 3
111  60.77907508 -161.84753603 1
115  60.77903764 -161.84743980
120 Linear Feature 3
111  60.77888446 -161.84704616 1
115  60.77884702 -161.84694993
120 Linear Feature 3
111  60.77854319 -161.84644317 1
115  60.77850575 -161.84634694
120 Linear Feature 3
111  60.78950719 -161.83205537 1
115  60.78945203 -161.83210406
120 Linear Feature 3
111  60.78776481 -161.83355955 1
115  60.78770965 -161.83360824
120 Linear Feature 3
111  60.78827358 -161.83337398 1
115  60.78821842 -161.83342268
120 Linear Feature 3
111  60.77767773 -161.84394179 1
115  60.77764029 -161.84384557
120 Linear Feature 3
111  60.77833862 -161.84564130 1
115  60.77830117 -161.84554507
120 Linear Feature 3
111  60.77816871 -161.84520430 1
115  60.77813127 -161.84510807
120 Linear Feature 3
111  60.77801128 -161.84479910 1
115  60.77797384 -161.84470287
120 Linear Feature 3
111  60.77783879 -161.84435581 1
115  60.77780135 -161.84425958
120 Linear Feature 3
111  60.77824458 -161.84579481 1
115  60.77820714 -161.84569859
120 Linear Feature 3
111  60.77807468 -161.84535781 1
115  60.77803723 -161.84526158
120 Linear Feature 3
111  60.77791725 -161.84495262 1
115  60.77787981 -161.84485639
120 Linear Feature 3
