I
1000 Generated by WorldEditor

1    383 0 0 KNZJ [X] El Toro MCAS
110 2 0.25 67.0000 xxx
111  33.68456110 -117.73106615
111  33.68480761 -117.73036824
111  33.68506010 -117.73049705
113  33.68481359 -117.73119496
110 2 0.25 67.0000 xxx
111  33.68286360 -117.73109665
111  33.68311011 -117.73039875
111  33.68336260 -117.73052755
113  33.68311609 -117.73122545
110 2 0.25 27.0000 xxx
111  33.65734703 -117.72712910
111  33.65795804 -117.72675508
111  33.65808257 -117.72704870
113  33.65747156 -117.72742272
110 2 0.25 36.0000 xxx
111  33.65989360 -117.72725883
111  33.66044838 -117.72677456
111  33.66060960 -117.72704117
113  33.66005482 -117.72752544
110 2 0.25 37.0000 xxx
111  33.68410713 -117.73143955
111  33.68465479 -117.73094359
111  33.68481987 -117.73120685
113  33.68427221 -117.73170281
110 2 0.25 323.0000 xxx
111  33.68424985 -117.72676047
111  33.68481942 -117.72727627
111  33.68465435 -117.72753953
113  33.68408478 -117.72702373
110 2 0.25 90.0000 xxx
111  33.66542908 -117.72676539
111  33.66542908 -117.72643581
111  33.66564852 -117.72643581
113  33.66564852 -117.72676539
110 2 0.25 90.0000 xxx
111  33.68478025 -117.73055010
111  33.68478025 -117.72794590
111  33.68505455 -117.72794590
113  33.68505455 -117.73055010
110 2 0.25 40.0000 xxx
111  33.67237408 -117.74247760
111  33.68191373 -117.73285855
111  33.68235452 -117.73348980
113  33.67281487 -117.74310885
110 2 0.25 180.0000 xxx
111  33.68428194 -117.73170172
111  33.68200526 -117.73170172
111  33.68200526 -117.73137208
113  33.68428194 -117.73137208
110 2 0.25 180.0000 xxx
111  33.67194831 -117.71801181
111  33.66972649 -117.71801181
111  33.66972649 -117.71755039
113  33.67194831 -117.71755039
110 2 0.25 0.0000 xxx
111  33.65738861 -117.73139503
111  33.66013159 -117.73139503
111  33.66013159 -117.73172457
113  33.65738861 -117.73172457
110 2 0.25 90.0000 xxx
111  33.65662815 -117.73270541
111  33.65662815 -117.72957479
111  33.65745105 -117.72957479
113  33.65745105 -117.73270541
110 2 0.25 180.0000 xxx
111  33.67141916 -117.74573155
111  33.66853904 -117.74573155
111  33.66853904 -117.74500645
113  33.67141916 -117.74500645
110 2 0.25 67.0000 xxx
111  33.66687412 -117.72560150
111  33.66837460 -117.72135417
111  33.66913208 -117.72174050
113  33.66763160 -117.72598783
110 2 0.25 67.0000 xxx
111  33.66334137 -117.72538828
111  33.66602079 -117.71780396
111  33.66829323 -117.71896292
113  33.66561381 -117.72654724
110 2 0.25 140.0000 xxx
111  33.68050696 -117.72697053
111  33.67252223 -117.71891937
111  33.67375644 -117.71715187
113  33.68174117 -117.72520303
110 2 0.25 0.0000 xxx
111  33.65794560 -117.72675632
111  33.67248340 -117.72675632
111  33.67248340 -117.72708588
113  33.65794560 -117.72708588
110 2 0.25 109.0000 xxx
111  33.66411030 -117.73860393
111  33.66235996 -117.73249628
111  33.66663930 -117.73072587
113  33.66838964 -117.73683352
110 4 0.25 53.0000 xxx
111  33.67556745 -117.73617853
111  33.68047022 -117.72836012
111  33.68090835 -117.72875687
113  33.67600558 -117.73657528
110 5 0.25 45.0000 xxx
111  33.67583904 -117.73109440
111  33.67603300 -117.73086133
111  33.67622696 -117.73109440
113  33.67603300 -117.73132747
130 Airport Boundary
111  33.65662766 -117.73270416
111  33.66744995 -117.74496460
111  33.66853714 -117.74573517
111  33.67141724 -117.74573517
111  33.67249680 -117.74518585
111  33.68490324 -117.73120880
111  33.68513952 -117.73055010
111  33.68505859 -117.73049927
111  33.68510440 -117.72633244
111  33.66942360 -117.71227975
113  33.65662766 -117.72957611
99
