I
1050 Generated by WorldEditor 2.2.0r2

1     13 1 0 KFXE Fort Lauderdale Executive
111  26.19911779 -080.18658204
111  26.19953106 -080.18659316
111  26.19952361 -080.18693531
111  26.19951918 -080.18713868
113  26.19911705 -080.18713131
110 2 0.25 0.0000 New Taxiway 18
111  26.20038424 -080.17763989
111  26.20056344 -080.17747242
111  26.20075943 -080.17774909
113  26.20058346 -080.17791038
110 2 0.25 0.0000 New Taxiway 17
111  26.20058247 -080.17792246
111  26.20092402 -080.17796733
111  26.20087998 -080.17843990
111  26.20065351 -080.17840720
111  26.20065094 -080.17847604
111  26.20059004 -080.17846915
113  26.20053830 -080.17846330
110 2 0.25 0.0000 New Taxiway 16
111  26.20191080 -080.16732671
111  26.20211990 -080.16733471
111  26.20211459 -080.16767465
111  26.20193615 -080.16766217
113  26.20190235 -080.16765981
110 2 0.25 0.0000 New Taxiway 15
111  26.20172917 -080.16604574
111  26.20207868 -080.16609935
111  26.20199137 -080.16699672
111  26.20174516 -080.16697271
113  26.20165175 -080.16688716
110 2 0.25 0.0000 New Taxiway 14
111  26.20119886 -080.16499936
111  26.20159698 -080.16504398
111  26.20156067 -080.16547186
113  26.20116218 -080.16541346
110 2 0.00 0.0000 New Taxiway 5
111  26.19153576 -080.16664905
111  26.19131808 -080.16684644
111  26.19105698 -080.16649989
113  26.19127579 -080.16628954
110 2 0.00 0.0000 New Taxiway 4
111  26.19112676 -080.16607488
111  26.19090342 -080.16627662
111  26.19066511 -080.16594810
113  26.19089116 -080.16574307
110 2 0.00 0.0000 New Taxiway 8
111  26.19178373 -080.16793961
111  26.19166191 -080.16776600
111  26.19206878 -080.16740466
113  26.19219873 -080.16758477
110 2 0.00 0.0000 New Taxiway 7
111  26.19196828 -080.16726537
111  26.19174880 -080.16747039
111  26.19142217 -080.16702318
113  26.19165189 -080.16681381
110 2 0.00 0.0000 New Taxiway 2
111  26.20077812 -080.18236336
111  26.20087878 -080.18237742
111  26.20087423 -080.18242346
111  26.20086919 -080.18247452
111  26.20085477 -080.18262051
111  26.20085058 -080.18266295
111  26.20083655 -080.18280501
111  26.20083157 -080.18285542
111  26.20081778 -080.18299696
111  26.20081296 -080.18304650
111  26.20079915 -080.18318553
111  26.20079428 -080.18323459
111  26.20078007 -080.18337778
111  26.20077493 -080.18342949
111  26.20076171 -080.18356269
111  26.20066484 -080.18355143
111  26.20066869 -080.18351105
111  26.20067351 -080.18346046
111  26.20068709 -080.18331807
111  26.20069176 -080.18326912
111  26.20070524 -080.18312767
111  26.20070955 -080.18308251
111  26.20072341 -080.18293721
111  26.20072788 -080.18289030
111  26.20074165 -080.18274585
111  26.20074641 -080.18269598
111  26.20075992 -080.18255428
113  26.20076464 -080.18250474
110 2 0.00 0.0000 New Taxiway 1
111  26.20046287 -080.18233359
111  26.20056193 -080.18234381
111  26.20055776 -080.18238609
111  26.20055285 -080.18243597
111  26.20053904 -080.18257607
111  26.20053402 -080.18262696
111  26.20052042 -080.18276504
111  26.20051536 -080.18281633
111  26.20050150 -080.18295698
111  26.20049653 -080.18300741
111  26.20048276 -080.18314712
111  26.20047779 -080.18319758
111  26.20046387 -080.18333883
111  26.20045902 -080.18338800
111  26.20044549 -080.18352536
111  26.20034830 -080.18351446
111  26.20035229 -080.18347332
111  26.20035746 -080.18342005
111  26.20037085 -080.18328201
111  26.20037566 -080.18323247
111  26.20038957 -080.18308913
111  26.20039426 -080.18304080
111  26.20040799 -080.18289928
111  26.20041274 -080.18285026
111  26.20042650 -080.18270851
111  26.20043134 -080.18265864
111  26.20044501 -080.18251768
113  26.20044970 -080.18246935
110 2 0.00 0.0000 New Taxiway 2
111  26.20014900 -080.18228523
111  26.20024773 -080.18229783
111  26.20024289 -080.18234731
111  26.20023823 -080.18239483
111  26.20022448 -080.18253506
111  26.20021951 -080.18258577
111  26.20020561 -080.18272761
111  26.20020073 -080.18277741
111  26.20018721 -080.18291534
111  26.20018228 -080.18296567
111  26.20016822 -080.18310908
111  26.20016326 -080.18315971
111  26.20014957 -080.18329936
111  26.20014449 -080.18335121
111  26.20013186 -080.18348005
111  26.20003842 -080.18346932
111  26.20004159 -080.18343540
111  26.20004634 -080.18338453
111  26.20005949 -080.18324374
111  26.20006403 -080.18319512
111  26.20007730 -080.18305305
111  26.20008192 -080.18300351
111  26.20009514 -080.18286195
111  26.20009993 -080.18281064
111  26.20011307 -080.18267000
111  26.20011767 -080.18262075
111  26.20013085 -080.18247963
113  26.20013570 -080.18242768
110 2 0.00 0.0000 New Taxiway 1
111  26.19982021 -080.18344310
111  26.19972048 -080.18343161
111  26.19972383 -080.18339733
111  26.19972886 -080.18334592
111  26.19974258 -080.18320556
111  26.19974755 -080.18315471
111  26.19976133 -080.18301383
111  26.19976609 -080.18296519
111  26.19977999 -080.18282307
111  26.19978493 -080.18277257
111  26.19979877 -080.18263104
111  26.19980368 -080.18258078
111  26.19981736 -080.18244090
111  26.19982215 -080.18239194
111  26.19983570 -080.18225337
111  26.19993485 -080.18226564
111  26.19993079 -080.18230730
111  26.19992588 -080.18235782
111  26.19991197 -080.18250065
111  26.19990701 -080.18255161
111  26.19989344 -080.18269097
111  26.19988876 -080.18273904
111  26.19987505 -080.18287983
111  26.19987017 -080.18292997
111  26.19985623 -080.18307319
111  26.19985128 -080.18312398
111  26.19983711 -080.18326951
113  26.19983291 -080.18331267
110 2 0.00 0.0000 New Taxiway 81
111  26.20017970 -080.18195154
111  26.20018310 -080.18191622
111  26.20018788 -080.18186670
111  26.20020164 -080.18172402
111  26.20020633 -080.18167534
111  26.20021983 -080.18153539
111  26.20022472 -080.18148462
111  26.20023836 -080.18134319
111  26.20024327 -080.18129228
111  26.20025699 -080.18115000
111  26.20026185 -080.18109960
111  26.20027528 -080.18096038
111  26.20028011 -080.18091025
111  26.20029342 -080.18077221
111  26.20039617 -080.18078053
111  26.20039156 -080.18082704
111  26.20038672 -080.18087594
111  26.20037277 -080.18101685
111  26.20036752 -080.18106992
111  26.20035365 -080.18120999
111  26.20034868 -080.18126026
111  26.20033480 -080.18140046
111  26.20032970 -080.18145200
111  26.20031585 -080.18159184
111  26.20031111 -080.18163974
111  26.20029661 -080.18178627
111  26.20029204 -080.18183243
113  26.20027902 -080.18196391
110 2 0.00 0.0000 New Taxiway 80
111  26.19999011 -080.17909918
111  26.20002027 -080.17871781
111  26.20093566 -080.17882918
113  26.20089287 -080.17920463
110 2 0.00 0.0000 New Taxiway 79
111  26.19954838 -080.18221493
111  26.19964634 -080.18222714
111  26.19964169 -080.18227322
111  26.19963680 -080.18232156
111  26.19962272 -080.18246086
111  26.19961733 -080.18251419
111  26.19960328 -080.18265317
111  26.19959822 -080.18270320
111  26.19958394 -080.18284457
111  26.19957892 -080.18289424
111  26.19956479 -080.18303395
111  26.19955982 -080.18308319
111  26.19954517 -080.18322814
111  26.19954045 -080.18327477
111  26.19952702 -080.18340762
111  26.19943037 -080.18339709
111  26.19943406 -080.18336005
111  26.19943909 -080.18330976
111  26.19945319 -080.18316842
111  26.19945805 -080.18311979
111  26.19947219 -080.18297816
111  26.19947731 -080.18292681
111  26.19949152 -080.18278445
111  26.19949621 -080.18273753
111  26.19951045 -080.18259481
111  26.19951535 -080.18254580
111  26.19952951 -080.18240397
113  26.19953439 -080.18235501
110 2 0.00 0.0000 New Taxiway 78
111  26.20082504 -080.18042070
111  26.20104498 -080.18045125
111  26.20101906 -080.18072973
113  26.20080030 -080.18069943
110 2 0.00 0.0000 New Taxiway 77
111  26.20052157 -080.18040906
111  26.20049579 -080.18065198
111  26.20022651 -080.18062604
113  26.20024817 -080.18037987
110 2 0.00 0.0000 New Taxiway 76
111  26.19972717 -080.18029012
111  26.20004123 -080.18032395
111  26.20003968 -080.18033837
111  26.20000834 -080.18063074
113  26.19969115 -080.18059903
110 2 0.00 0.0000 New Taxiway 3
111  26.20049478 -080.18199866
111  26.20049916 -080.18195411
111  26.20050417 -080.18190320
111  26.20051804 -080.18176211
111  26.20052314 -080.18171023
111  26.20053679 -080.18157147
111  26.20054167 -080.18152190
111  26.20055554 -080.18138086
111  26.20056052 -080.18133019
111  26.20057463 -080.18118672
111  26.20057924 -080.18113985
111  26.20059314 -080.18099854
111  26.20059798 -080.18094929
111  26.20061137 -080.18081319
111  26.20071171 -080.18082290
111  26.20070750 -080.18086683
111  26.20070279 -080.18091603
111  26.20068885 -080.18106170
111  26.20068399 -080.18110916
111  26.20067042 -080.18124931
111  26.20066522 -080.18130295
111  26.20065196 -080.18143999
111  26.20064701 -080.18149106
111  26.20063345 -080.18163106
111  26.20062856 -080.18168155
111  26.20061469 -080.18182486
111  26.20060994 -080.18187385
113  26.20059673 -080.18201037
110 2 0.00 0.0000 New Taxiway 7
111  26.19938192 -080.18373075
111  26.19975103 -080.18374048
111  26.19974232 -080.18404517
113  26.19937661 -080.18403252
110 2 0.00 0.0000 New Taxiway 6
111  26.19933706 -080.18428361
111  26.19971298 -080.18429343
111  26.19970193 -080.18471016
113  26.19932929 -080.18470126
110 2 0.00 0.0000 New Taxiway 4
111  26.19935253 -080.18504322
111  26.19971724 -080.18504853
111  26.19970088 -080.18570483
113  26.19934080 -080.18569366
110 2 0.00 0.0000 New Taxiway 10
111  26.19550239 -080.18077424
111  26.19530660 -080.18077656
111  26.19531493 -080.18036934
113  26.19550771 -080.18036997
110 2 0.00 0.0000 New Taxiway 9
111  26.19543492 -080.18169452
111  26.19528075 -080.18169190
111  26.19529633 -080.18095775
113  26.19544973 -080.18096129
110 2 0.00 0.0000 New Taxiway 8
111  26.19537166 -080.18231243
111  26.19527299 -080.18231265
111  26.19528452 -080.18176422
113  26.19538851 -080.18176598
110 2 0.00 0.0000 New Taxiway 13
111  26.19558712 -080.18002774
111  26.19531939 -080.18001845
111  26.19532956 -080.17954103
113  26.19559793 -080.17955097
110 2 0.00 0.0000 New Taxiway 18
111  26.19478472 -080.17600697
111  26.19478553 -080.17596821
111  26.19478608 -080.17594164
111  26.19478652 -080.17592053
111  26.19478690 -080.17590224
111  26.19478745 -080.17587589
111  26.19478852 -080.17582433
111  26.19478935 -080.17578447
111  26.19479042 -080.17573347
111  26.19479225 -080.17564526
111  26.19479523 -080.17550245
111  26.19479709 -080.17541311
111  26.19480005 -080.17527140
111  26.19480098 -080.17522644
111  26.19480190 -080.17518243
111  26.19480546 -080.17501165
111  26.19494026 -080.17501376
111  26.19493901 -080.17506953
111  26.19493713 -080.17515393
111  26.19493384 -080.17530113
111  26.19493183 -080.17539129
111  26.19492862 -080.17553477
111  26.19492759 -080.17558080
111  26.19492658 -080.17562620
111  26.19492343 -080.17576722
111  26.19492247 -080.17581011
111  26.19492151 -080.17585302
111  26.19491845 -080.17599007
113  26.19491802 -080.17600923
110 2 0.00 0.0000 New Taxiway 15
111  26.19553472 -080.17904581
111  26.19535761 -080.17902470
111  26.19538033 -080.17880316
113  26.19555551 -080.17882511
110 2 0.00 0.0000 New Taxiway 24
111  26.19519478 -080.17502411
111  26.19529505 -080.17502748
111  26.19529389 -080.17507805
111  26.19529252 -080.17513749
111  26.19528954 -080.17526767
111  26.19528815 -080.17532848
111  26.19528505 -080.17546332
111  26.19528370 -080.17552241
111  26.19528073 -080.17565212
111  26.19527925 -080.17571659
111  26.19527624 -080.17584778
111  26.19527484 -080.17590872
111  26.19527184 -080.17603988
111  26.19527047 -080.17609948
111  26.19526742 -080.17623234
111  26.19516740 -080.17623023
111  26.19516822 -080.17619413
111  26.19516959 -080.17613348
111  26.19517265 -080.17599877
111  26.19517404 -080.17593746
111  26.19517707 -080.17580422
111  26.19517776 -080.17577369
111  26.19517840 -080.17574561
111  26.19518139 -080.17561365
111  26.19518276 -080.17555361
111  26.19518576 -080.17542151
111  26.19518712 -080.17536137
111  26.19519015 -080.17522826
113  26.19519152 -080.17516792
110 2 0.00 0.0000 New Taxiway 1
111  26.19513770 -080.17768215
111  26.19504127 -080.17768255
111  26.19504210 -080.17764797
111  26.19504372 -080.17757965
111  26.19504687 -080.17744777
111  26.19504828 -080.17738833
111  26.19505144 -080.17725560
111  26.19505291 -080.17719407
111  26.19505608 -080.17706112
111  26.19505673 -080.17703360
111  26.19505752 -080.17700061
111  26.19506058 -080.17687221
111  26.19506130 -080.17684187
111  26.19506206 -080.17681013
111  26.19506513 -080.17668126
111  26.19506649 -080.17662420
111  26.19507006 -080.17647402
111  26.19516464 -080.17647674
111  26.19516364 -080.17652148
111  26.19516218 -080.17658694
111  26.19515921 -080.17671977
111  26.19515784 -080.17678071
111  26.19515494 -080.17691053
111  26.19515353 -080.17697367
111  26.19515066 -080.17710194
111  26.19515030 -080.17711848
111  26.19514997 -080.17713314
111  26.19514925 -080.17716535
111  26.19514634 -080.17729556
111  26.19514567 -080.17732549
111  26.19514496 -080.17735740
111  26.19514202 -080.17748853
113  26.19514057 -080.17755359
110 2 0.00 0.0000 New Taxiway 2
111  26.19580307 -080.17624627
111  26.19580400 -080.17620596
111  26.19580466 -080.17617712
111  26.19580533 -080.17614806
111  26.19580842 -080.17601337
111  26.19580909 -080.17598442
111  26.19580984 -080.17595177
111  26.19581283 -080.17582201
111  26.19581356 -080.17579016
111  26.19581423 -080.17576110
111  26.19581722 -080.17563073
111  26.19581791 -080.17560071
111  26.19581864 -080.17556914
111  26.19582166 -080.17543805
111  26.19582241 -080.17540549
111  26.19582308 -080.17537613
111  26.19582607 -080.17524628
111  26.19582684 -080.17521279
111  26.19582748 -080.17518456
111  26.19583067 -080.17504589
111  26.19592999 -080.17504871
111  26.19592904 -080.17509075
111  26.19592832 -080.17512276
111  26.19592761 -080.17515456
111  26.19592461 -080.17528744
111  26.19592394 -080.17531734
111  26.19592327 -080.17534704
111  26.19592033 -080.17547719
111  26.19591964 -080.17550798
111  26.19591885 -080.17554289
111  26.19591607 -080.17566641
111  26.19591540 -080.17569624
111  26.19591460 -080.17573134
111  26.19591174 -080.17585855
111  26.19591095 -080.17589328
111  26.19591020 -080.17592692
111  26.19590735 -080.17605316
111  26.19590659 -080.17608707
111  26.19590590 -080.17611739
113  26.19590296 -080.17624784
110 2 0.00 0.0000 New Taxiway 2
111  26.19548565 -080.17623822
111  26.19548649 -080.17619934
111  26.19548713 -080.17616964
111  26.19548777 -080.17613992
111  26.19549064 -080.17600682
111  26.19549128 -080.17597734
111  26.19549190 -080.17594853
111  26.19549478 -080.17581513
111  26.19549543 -080.17578503
111  26.19549604 -080.17575685
111  26.19549894 -080.17562231
111  26.19549961 -080.17559137
111  26.19550022 -080.17556298
111  26.19550309 -080.17542991
111  26.19550373 -080.17540017
111  26.19550438 -080.17537005
111  26.19550722 -080.17523859
111  26.19550789 -080.17520740
111  26.19550854 -080.17517737
111  26.19551166 -080.17503264
111  26.19561253 -080.17503627
111  26.19561158 -080.17508564
111  26.19561094 -080.17511620
111  26.19561032 -080.17514579
111  26.19560737 -080.17527653
111  26.19560665 -080.17530856
111  26.19560597 -080.17533884
111  26.19560300 -080.17547027
111  26.19560233 -080.17550014
111  26.19560166 -080.17552980
111  26.19559869 -080.17566159
111  26.19559797 -080.17569335
111  26.19559728 -080.17572445
111  26.19559435 -080.17585419
111  26.19559368 -080.17588386
111  26.19559299 -080.17591493
111  26.19559007 -080.17604427
111  26.19558935 -080.17607601
111  26.19558867 -080.17610625
113  26.19558565 -080.17624069
110 2 0.00 0.0000 New Taxiway 6
111  26.19538360 -080.17649477
111  26.19548110 -080.17649690
111  26.19548018 -080.17653801
111  26.19547959 -080.17656389
111  26.19547896 -080.17659186
111  26.19547582 -080.17673068
111  26.19547521 -080.17675796
111  26.19547452 -080.17678839
111  26.19547165 -080.17691531
111  26.19547013 -080.17698279
111  26.19546732 -080.17710691
111  26.19546651 -080.17714284
111  26.19546568 -080.17717974
111  26.19546289 -080.17730324
111  26.19546145 -080.17736678
111  26.19545857 -080.17749444
111  26.19545816 -080.17751258
111  26.19545785 -080.17752626
111  26.19545753 -080.17754027
111  26.19545705 -080.17756164
111  26.19545413 -080.17769061
111  26.19535398 -080.17768741
111  26.19535485 -080.17765242
111  26.19535649 -080.17758664
111  26.19535967 -080.17745858
111  26.19536120 -080.17739688
111  26.19536447 -080.17726504
111  26.19536599 -080.17720383
111  26.19536924 -080.17707290
111  26.19537085 -080.17700822
111  26.19537398 -080.17688219
111  26.19537556 -080.17681880
111  26.19537869 -080.17669278
113  26.19538022 -080.17663110
110 2 0.00 0.0000 New Taxiway 16
111  26.19567354 -080.17769607
111  26.19567451 -080.17765477
111  26.19567474 -080.17764516
111  26.19567515 -080.17762796
111  26.19567552 -080.17761227
111  26.19567584 -080.17759860
111  26.19567900 -080.17746503
111  26.19568043 -080.17740499
111  26.19568357 -080.17727219
111  26.19568501 -080.17721120
111  26.19568816 -080.17707809
111  26.19568955 -080.17701967
111  26.19569265 -080.17688848
111  26.19569407 -080.17682846
111  26.19569718 -080.17669713
111  26.19569865 -080.17663504
111  26.19570199 -080.17649416
111  26.19579504 -080.17649246
111  26.19579399 -080.17654232
111  26.19579273 -080.17660283
111  26.19579004 -080.17673119
111  26.19578872 -080.17679448
111  26.19578608 -080.17692108
111  26.19578534 -080.17695605
111  26.19578469 -080.17698748
111  26.19578197 -080.17711725
111  26.19578158 -080.17713627
111  26.19578132 -080.17714838
111  26.19578057 -080.17718473
111  26.19577797 -080.17730887
111  26.19577661 -080.17737394
111  26.19577393 -080.17750195
111  26.19577262 -080.17756489
113  26.19576983 -080.17769834
110 2 0.00 0.0000 New Taxiway 54
111  26.19515122 -080.17375669
111  26.19533635 -080.17376000
111  26.19533142 -080.17397609
113  26.19514532 -080.17397144
110 2 0.00 0.0000 New Taxiway 53
111  26.19485832 -080.17374625
111  26.19503621 -080.17374976
111  26.19503095 -080.17396858
113  26.19485140 -080.17396409
110 2 0.00 0.0000 New Taxiway 52
111  26.19483177 -080.17431616
111  26.19466669 -080.17431720
111  26.19466940 -080.17408253
113  26.19483761 -080.17408349
110 2 0.00 0.0000 New Taxiway 51
111  26.19482358 -080.17464182
111  26.19463586 -080.17463721
111  26.19463912 -080.17441604
113  26.19482921 -080.17441771
110 2 0.00 0.0000 New Taxiway 50
111  26.19477971 -080.17663519
111  26.19459338 -080.17663124
111  26.19459828 -080.17640798
113  26.19478378 -080.17641435
110 2 0.00 0.0000 New Taxiway 49
111  26.19477297 -080.17700169
111  26.19458361 -080.17699291
111  26.19458964 -080.17676588
113  26.19477723 -080.17677007
110 2 0.00 0.0000 New Taxiway 48
111  26.19476680 -080.17733655
111  26.19457771 -080.17733215
111  26.19458210 -080.17710344
113  26.19477099 -080.17710870
110 2 0.00 0.0000 New Taxiway 47
111  26.19456620 -080.17780456
111  26.19456934 -080.17758510
111  26.19476216 -080.17759169
113  26.19475971 -080.17780630
110 2 0.00 0.0000 New Taxiway 46
111  26.19455661 -080.17813969
111  26.19455962 -080.17791057
111  26.19475366 -080.17792162
113  26.19474682 -080.17813813
110 2 0.00 0.0000 New Taxiway 71
111  26.19373476 -080.17181418
111  26.19392042 -080.17181990
111  26.19392000 -080.17204012
113  26.19373141 -080.17203872
110 2 0.00 0.0000 New Taxiway 70
111  26.19342822 -080.17180474
111  26.19361420 -080.17181047
111  26.19361271 -080.17203181
113  26.19342142 -080.17203139
110 2 0.00 0.0000 New Taxiway 69
111  26.19430576 -080.17204282
111  26.19419210 -080.17187583
111  26.19434766 -080.17173406
113  26.19446996 -080.17189994
110 2 0.00 0.0000 New Taxiway 68
111  26.19446996 -080.17189994
111  26.19434766 -080.17173406
111  26.19449987 -080.17159535
113  26.19461871 -080.17177012
110 2 0.00 0.0000 New Taxiway 67
111  26.19471421 -080.17140002
111  26.19482610 -080.17156458
111  26.19468037 -080.17171062
113  26.19456091 -080.17153973
110 2 0.00 0.0000 New Taxiway 66
111  26.19494678 -080.17173280
111  26.19516178 -080.17154087
111  26.19533789 -080.17178505
113  26.19512081 -080.17197896
110 2 0.00 0.0000 New Taxiway 65
111  26.19491042 -080.17241998
111  26.19491418 -080.17209509
111  26.19532605 -080.17210717
113  26.19532312 -080.17243016
110 2 0.00 0.0000 New Taxiway 64
111  26.19469395 -080.17241148
111  26.19488220 -080.17241928
111  26.19487378 -080.17263681
113  26.19468416 -080.17262773
110 2 0.00 0.0000 New Taxiway 63
111  26.19467878 -080.17296712
111  26.19468063 -080.17273370
111  26.19487007 -080.17273294
113  26.19486086 -080.17297098
110 2 0.00 0.0000 New Taxiway 62
111  26.19485143 -080.17332165
111  26.19485620 -080.17309133
111  26.19503513 -080.17309872
113  26.19503172 -080.17332870
110 2 0.00 0.0000 New Taxiway 61
111  26.19584542 -080.17295908
111  26.19567471 -080.17311011
111  26.19552118 -080.17290234
113  26.19569431 -080.17275216
110 2 0.00 0.0000 New Taxiway 60
111  26.19591411 -080.17297794
111  26.19578561 -080.17279061
111  26.19595927 -080.17263809
113  26.19608863 -080.17282051
110 2 0.00 0.0000 New Taxiway 2
111  26.19042920 -080.16721013
111  26.19053882 -080.16711059
111  26.19088897 -080.16759142
111  26.19077866 -080.16769160
111  26.19075040 -080.16765267
111  26.19071480 -080.16760362
111  26.19066440 -080.16753418
111  26.19057776 -080.16741481
111  26.19054239 -080.16736608
113  26.19051994 -080.16733514
110 2 0.00 0.0000 New Taxiway 1
111  26.19115184 -080.16800730
111  26.19104147 -080.16809830
111  26.19101563 -080.16806320
111  26.19098209 -080.16801763
111  26.19092983 -080.16794661
111  26.19089184 -080.16789500
111  26.19084231 -080.16782770
111  26.19080752 -080.16778042
111  26.19077878 -080.16774138
113  26.19089291 -080.16765138
110 2 0.00 0.0000 New Taxiway 2
111  26.19104147 -080.16809830
111  26.19115184 -080.16800730
111  26.19117415 -080.16798891
111  26.19149046 -080.16842484
111  26.19135905 -080.16853741
111  26.19133323 -080.16850172
111  26.19128274 -080.16843190
111  26.19122894 -080.16835751
111  26.19117770 -080.16828667
111  26.19112484 -080.16821358
113  26.19107366 -080.16814281
110 2 0.00 0.0000 New Taxiway 1
111  26.19047875 -080.16688377
111  26.19082338 -080.16657858
111  26.19102626 -080.16686081
113  26.19066941 -080.16716923
110 2 0.00 0.0000 New Taxiway 19
111  26.18955390 -080.17003547
111  26.18980063 -080.16981438
111  26.18990359 -080.16996148
113  26.18964975 -080.17017862
110 2 0.00 0.0000 New Taxiway 18
111  26.18986475 -080.17077486
111  26.18983840 -080.17079834
111  26.18963257 -080.17098177
111  26.18934458 -080.17059751
113  26.18958968 -080.17037472
110 2 0.00 0.0000 New Taxiway 17
111  26.19070746 -080.17059022
111  26.19102260 -080.17028549
111  26.19094224 -080.17016697
111  26.19111788 -080.17001086
111  26.19133323 -080.17030602
113  26.19084012 -080.17075954
110 2 0.00 0.0000 New Taxiway 16
111  26.19187575 -080.16983079
111  26.19166500 -080.17002048
111  26.19135020 -080.16960501
111  26.19156890 -080.16940960
113  26.19158393 -080.16943093
110 2 0.00 0.0000 New Taxiway 15
111  26.19204053 -080.17030523
111  26.19211035 -080.16997859
111  26.19235317 -080.17004146
111  26.19258274 -080.17010154
113  26.19250821 -080.17043614
110 2 0.00 0.0000 New Taxiway 14
111  26.19323824 -080.17030592
111  26.19279292 -080.17041635
111  26.19273108 -080.17008344
111  26.19274057 -080.17008100
111  26.19296155 -080.17002425
113  26.19316792 -080.16997130
110 2 0.00 0.0000 New Taxiway 12
111  26.19191496 -080.16917329
111  26.19212388 -080.16898533
111  26.19239941 -080.16937118
113  26.19218925 -080.16955746
110 2 0.00 0.0000 New Taxiway 11
111  26.19249248 -080.16912821
111  26.19221231 -080.16875578
111  26.19245026 -080.16855417
111  26.19271042 -080.16892587
113  26.19268935 -080.16894543
110 2 0.00 0.0000 New Taxiway 8
111  26.19271137 -080.16844906
111  26.19304861 -080.16815171
111  26.19332655 -080.16852746
113  26.19298214 -080.16882509
110 2 0.00 0.0000 New Taxiway 7
111  26.19405519 -080.16987810
111  26.19372931 -080.17017528
111  26.19350524 -080.16986384
113  26.19383020 -080.16957777
110 2 0.00 0.0000 New Taxiway 3
111  26.19197372 -080.17089332
111  26.19200796 -080.17074768
111  26.19206892 -080.17076911
111  26.19211507 -080.17078532
111  26.19225695 -080.17083517
111  26.19231262 -080.17085473
111  26.19246288 -080.17090753
111  26.19251053 -080.17092427
111  26.19265610 -080.17097542
111  26.19271363 -080.17099563
111  26.19285822 -080.17104644
111  26.19281710 -080.17118298
111  26.19280282 -080.17117808
111  26.19274584 -080.17115846
111  26.19269152 -080.17113975
111  26.19257264 -080.17109894
111  26.19254614 -080.17108984
111  26.19251948 -080.17108069
111  26.19237439 -080.17103087
111  26.19232051 -080.17101238
111  26.19217061 -080.17096091
111  26.19214615 -080.17095251
113  26.19211744 -080.17094266
110 2 0.00 0.0000 New Taxiway 14
111  26.18955848 -080.16857816
111  26.18963061 -080.16851626
111  26.18964599 -080.16853744
111  26.18968230 -080.16858741
111  26.18975448 -080.16868678
111  26.18979350 -080.16874051
111  26.18986402 -080.16883759
111  26.18990120 -080.16888878
111  26.18997107 -080.16898498
111  26.19001252 -080.16904203
111  26.19008139 -080.16913684
111  26.19011860 -080.16918807
111  26.19019172 -080.16928874
111  26.19022981 -080.16934118
111  26.19029928 -080.16943681
111  26.19033729 -080.16948951
111  26.19040997 -080.16958961
111  26.19033809 -080.16965347
111  26.19031874 -080.16962678
111  26.19030809 -080.16961208
111  26.19030032 -080.16960137
111  26.19029227 -080.16959027
111  26.19028369 -080.16957842
111  26.19020689 -080.16947250
111  26.19017382 -080.16942689
111  26.19009948 -080.16932435
