I
1050 Generated by WorldEditor 2.1.0r1

1   1243 1 0 KCHD Chandler Muni
111  33.26841110 -111.81598175
111  33.26840125 -111.81599556
111  33.26830745 -111.81612696
113  33.26822966 -111.81604805
110 2 0.00 0.0000 New Taxiway 25
111  33.26816945 -111.81612806
111  33.26824689 -111.81620656
111  33.26767016 -111.81701450
111  33.26759237 -111.81693558
111  33.26762282 -111.81689297
113  33.26784770 -111.81657828
110 2 0.00 0.0000 New Taxiway 25
111  33.26840190 -111.81636576
111  33.26847935 -111.81644427
111  33.26810740 -111.81696532
111  33.26790261 -111.81725221
111  33.26782482 -111.81717329
111  33.26829900 -111.81650975
111  33.26830745 -111.81649793
113  33.26831697 -111.81648460
110 2 0.00 0.0000 New Taxiway 25
111  33.26863631 -111.81660144
111  33.26871375 -111.81667994
111  33.26813702 -111.81748788
111  33.26805923 -111.81740896
111  33.26819926 -111.81721301
111  33.26820884 -111.81719961
113  33.26821801 -111.81718677
110 2 0.00 0.0000 New Taxiway 25
111  33.26807081 -111.81795500
111  33.26814825 -111.81803350
111  33.26757152 -111.81884143
113  33.26749373 -111.81876252
110 2 0.00 0.0000 New Taxiway 25
111  33.26783726 -111.81771914
111  33.26791470 -111.81779764
111  33.26755236 -111.81830523
111  33.26753628 -111.81832776
111  33.26733797 -111.81860557
111  33.26726018 -111.81852666
111  33.26728953 -111.81848559
111  33.26729820 -111.81847345
113  33.26730676 -111.81846148
110 2 0.00 0.0000 New Taxiway 25
111  33.26760473 -111.81748207
111  33.26768217 -111.81756057
111  33.26710544 -111.81836850
111  33.26702765 -111.81828958
113  33.26717637 -111.81808147
110 2 0.00 0.0000 New Taxiway 25
111  33.26737033 -111.81724793
111  33.26744777 -111.81732643
111  33.26708647 -111.81783257
111  33.26707774 -111.81784480
111  33.26706941 -111.81785647
111  33.26696717 -111.81799969
111  33.26687104 -111.81813436
113  33.26679324 -111.81805545
110 2 0.00 0.0000 New Taxiway 23
111  33.26775595 -111.81907691
111  33.26776527 -111.81906366
111  33.26790567 -111.81886631
111  33.26790952 -111.81887014
111  33.26810964 -111.81906918
111  33.26811403 -111.81907355
111  33.26796088 -111.81928273
111  33.26795843 -111.81928026
113  33.26776013 -111.81908110
110 2 0.00 0.0000 New Taxiway 22
111  33.26744974 -111.81952350
111  33.26749125 -111.81946460
111  33.26750022 -111.81945224
111  33.26744558 -111.81939514
111  33.26746500 -111.81936705
111  33.26748872 -111.81939046
111  33.26749727 -111.81937878
111  33.26751358 -111.81939469
111  33.26753902 -111.81935801
111  33.26754449 -111.81936346
111  33.26755443 -111.81934957
111  33.26756566 -111.81936041
111  33.26759861 -111.81931360
111  33.26758992 -111.81930490
111  33.26759724 -111.81929467
111  33.26760579 -111.81930316
111  33.26761413 -111.81929114
111  33.26761740 -111.81929442
111  33.26781143 -111.81948882
111  33.26781354 -111.81949093
111  33.26764846 -111.81972510
111  33.26764605 -111.81972265
113  33.26745272 -111.81952652
110 2 0.00 0.0000 New Taxiway 21
111  33.26733803 -111.81904564
111  33.26726751 -111.81914710
111  33.26667931 -111.81854950
111  33.26666947 -111.81853949
111  33.26665917 -111.81852903
111  33.26654780 -111.81841588
111  33.26661918 -111.81831524
111  33.26666445 -111.81836123
111  33.26667416 -111.81837110
113  33.26668428 -111.81838139
110 1 0.00 0.0000 New Taxiway 20
111  33.26650095 -111.81848178
111  33.26654780 -111.81841588
111  33.26665917 -111.81852903
111  33.26666947 -111.81853949
111  33.26667931 -111.81854950
111  33.26726751 -111.81914710
113  33.26722502 -111.81921423
110 2 0.00 0.0000 New Taxiway 19
111  33.26723227 -111.81939234
111  33.26722382 -111.81938382
111  33.26722382 -111.81929829
111  33.26718990 -111.81926377
111  33.26646505 -111.81853143
111  33.26642693 -111.81849428
111  33.26642010 -111.81850339
111  33.26635750 -111.81850897
111  33.26635230 -111.81850374
111  33.26639367 -111.81844594
111  33.26641684 -111.81841344
111  33.26646034 -111.81835246
111  33.26646734 -111.81835967
111  33.26646859 -111.81843629
111  33.26646345 -111.81844368
111  33.26650095 -111.81848178
111  33.26722502 -111.81921423
111  33.26725965 -111.81924924
111  33.26732895 -111.81923439
111  33.26733848 -111.81924371
111  33.26729616 -111.81930298
113  33.26727480 -111.81933287
110 1 0.00 0.0000 New Taxiway 18
111  33.26641779 -111.81859818
111  33.26646505 -111.81853143
111  33.26718990 -111.81926377
111  33.26714272 -111.81933044
113  33.26713770 -111.81932548
110 2 0.00 0.0000 New Taxiway 17
111  33.26635041 -111.81869249
111  33.26641779 -111.81859818
111  33.26713770 -111.81932548
113  33.26706916 -111.81942431
110 1 0.00 0.0000 New Taxiway 16
111  33.26630202 -111.81875906
111  33.26635041 -111.81869249
111  33.26706916 -111.81942431
113  33.26702475 -111.81948828
110 2 0.00 0.0000 New Taxiway 15
111  33.26703423 -111.81966979
111  33.26702685 -111.81966205
111  33.26702487 -111.81957311
111  33.26698897 -111.81953547
111  33.26626773 -111.81880869
111  33.26622987 -111.81877204
111  33.26622414 -111.81877983
111  33.26615898 -111.81878582
111  33.26615424 -111.81878106
111  33.26619547 -111.81872336
111  33.26621816 -111.81869163
111  33.26626166 -111.81863065
111  33.26626893 -111.81863843
111  33.26627134 -111.81871228
111  33.26626514 -111.81872169
111  33.26630202 -111.81875906
111  33.26702475 -111.81948828
111  33.26706285 -111.81952577
111  33.26714364 -111.81951650
111  33.26709958 -111.81957829
113  33.26707723 -111.81960957
110 1 0.00 0.0000 New Taxiway 13
111  33.26622041 -111.81887532
111  33.26626773 -111.81880869
111  33.26698897 -111.81953547
111  33.26693883 -111.81960702
111  33.26652788 -111.81918848
111  33.26651888 -111.81917930
111  33.26640551 -111.81906384
113  33.26639500 -111.81905314
110 2 0.00 0.0000 New Taxiway 12
111  33.26614983 -111.81897059
111  33.26622041 -111.81887532
111  33.26639500 -111.81905314
111  33.26640551 -111.81906384
111  33.26651888 -111.81917930
111  33.26652788 -111.81918848
111  33.26693883 -111.81960702
111  33.26687187 -111.81970027
113  33.26638810 -111.81921138
110 1 0.00 0.0000 New Taxiway 11
111  33.26610389 -111.81903413
111  33.26614983 -111.81897059
111  33.26638810 -111.81921138
111  33.26687187 -111.81970027
111  33.26682685 -111.81976452
113  33.26634356 -111.81927626
110 2 0.00 0.0000 New Taxiway 10
111  33.26683772 -111.81994507
111  33.26682848 -111.81993595
111  33.26682645 -111.81986106
111  33.26683125 -111.81985434
111  33.26679046 -111.81981301
111  33.26607173 -111.81908499
111  33.26603303 -111.81904581
111  33.26602516 -111.81905631
111  33.26596260 -111.81906254
111  33.26595708 -111.81905711
111  33.26599869 -111.81899895
111  33.26602110 -111.81896755
111  33.26606447 -111.81890675
111  33.26607452 -111.81898979
111  33.26606887 -111.81899747
111  33.26610389 -111.81903413
111  33.26634356 -111.81927626
111  33.26682685 -111.81976452
111  33.26686248 -111.81979990
111  33.26694518 -111.81979453
111  33.26690079 -111.81985679
113  33.26687863 -111.81988778
110 2 0.00 0.0000 New Taxiway 9
111  33.26712497 -111.81992153
111  33.26714113 -111.81989755
111  33.26715126 -111.81990723
111  33.26719360 -111.81984879
111  33.26717953 -111.81983502
111  33.26719215 -111.81981757
111  33.26720575 -111.81983190
111  33.26727607 -111.81973250
111  33.26726709 -111.81972357
111  33.26728424 -111.81970006
111  33.26729581 -111.81971173
111  33.26743173 -111.81984881
111  33.26744908 -111.81986631
111  33.26746673 -111.81988411
111  33.26750328 -111.81992097
111  33.26750736 -111.81992509
111  33.26734825 -111.82014533
111  33.26734560 -111.82014267
113  33.26713836 -111.81993496
110 2 0.00 0.0000 New Taxiway 8
111  33.26679255 -111.82038055
111  33.26680906 -111.82035785
111  33.26681763 -111.82036620
111  33.26687687 -111.82028126
111  33.26687330 -111.82027787
111  33.26689355 -111.82024952
111  33.26689788 -111.82025371
111  33.26697019 -111.82015078
111  33.26696187 -111.82014226
111  33.26697795 -111.82011996
111  33.26698992 -111.82013210
111  33.26720083 -111.82034596
111  33.26720574 -111.82035093
111  33.26701580 -111.82060590
111  33.26701499 -111.82060512
113  33.26680499 -111.82039311
110 1 0.00 0.0000 New Taxiway 7
111  33.26602334 -111.81915308
111  33.26607173 -111.81908499
111  33.26679046 -111.81981301
113  33.26674280 -111.81988004
110 2 0.00 0.0000 New Taxiway 6
111  33.26595558 -111.81924594
111  33.26602334 -111.81915308
111  33.26674280 -111.81988004
113  33.26667404 -111.81997623
110 1 0.00 0.0000 New Taxiway 5
111  33.26590779 -111.81931233
111  33.26595558 -111.81924594
111  33.26667404 -111.81997623
113  33.26662901 -111.82003932
110 2 0.00 0.0000 New Taxiway 4
111  33.26663931 -111.82022302
111  33.26663257 -111.82021614
111  33.26662731 -111.82013694
111  33.26663216 -111.82013033
111  33.26659043 -111.82008754
111  33.26587113 -111.81935951
111  33.26583681 -111.81932392
111  33.26582943 -111.81933383
111  33.26575758 -111.81933645
111  33.26580137 -111.81927518
111  33.26582431 -111.81924303
111  33.26586657 -111.81918385
111  33.26587106 -111.81918892
111  33.26587613 -111.81926742
111  33.26587083 -111.81927468
111  33.26590779 -111.81931233
111  33.26662901 -111.82003932
111  33.26666861 -111.82007994
111  33.26667344 -111.82007346
111  33.26673900 -111.82006752
111  33.26674542 -111.82007438
113  33.26670453 -111.82013171
110 1 0.00 0.0000 New Taxiway 3
111  33.26582851 -111.81941788
111  33.26587113 -111.81935951
111  33.26659043 -111.82008754
111  33.26654725 -111.82014710
111  33.26644109 -111.82003939
111  33.26643169 -111.82002985
113  33.26642234 -111.82002037
110 2 0.00 0.0000 New Taxiway 2
111  33.26574952 -111.81952711
111  33.26582851 -111.81941788
111  33.26642234 -111.82002037
111  33.26643169 -111.82002985
111  33.26644109 -111.82003939
111  33.26654725 -111.82014710
113  33.26646823 -111.82025941
110 1 0.00 0.0000 New Taxiway 1
111  33.26570811 -111.81958561
111  33.26574952 -111.81952711
111  33.26646823 -111.82025941
113  33.26642879 -111.82031569
110 2 0.00 0.0000 New Taxiway 32
111  33.26644156 -111.82050005
111  33.26643286 -111.82049115
111  33.26643257 -111.82040559
111  33.26639329 -111.82036475
111  33.26567499 -111.81963677
111  33.26563926 -111.81959941
111  33.26563178 -111.81960969
111  33.26556583 -111.81961570
111  33.26556024 -111.81961009
111  33.26560137 -111.81955233
111  33.26562518 -111.81951895
111  33.26566795 -111.81945880
111  33.26567527 -111.81946611
111  33.26567742 -111.81955452
111  33.26570811 -111.81958561
111  33.26642879 -111.82031569
111  33.26646915 -111.82035658
111  33.26647410 -111.82034995
111  33.26654054 -111.82034473
111  33.26654734 -111.82035186
111  33.26650719 -111.82040813
113  33.26648400 -111.82044059
110 1 0.00 0.0000 New Taxiway 31
111  33.26562711 -111.81970479
111  33.26567499 -111.81963677
111  33.26639329 -111.82036475
113  33.26634549 -111.82043195
110 2 0.00 0.0000 New Taxiway 30
111  33.26556059 -111.81979873
111  33.26562711 -111.81970479
111  33.26634549 -111.82043195
113  33.26627493 -111.82052970
110 2 0.00 0.0000 New Taxiway 29
111  33.26685550 -111.82078591
111  33.26673020 -111.82089244
111  33.26660551 -111.82096581
111  33.26659994 -111.82095453
111  33.26651590 -111.82079938
111  33.26650620 -111.82078148
111  33.26652804 -111.82075122
111  33.26653670 -111.82076037
111  33.26664037 -111.82061582
111  33.26663053 -111.82060556
111  33.26664967 -111.82057943
111  33.26666312 -111.82059292
113  33.26683124 -111.82076158
110 1 0.00 0.0000 New Taxiway 28
111  33.26551222 -111.81986579
111  33.26556059 -111.81979873
111  33.26627493 -111.82052970
113  33.26623313 -111.82059404
110 2 0.00 0.0000 New Taxiway 27
111  33.26624450 -111.82077582
111  33.26623708 -111.82076865
111  33.26623267 -111.82069126
111  33.26623762 -111.82068439
111  33.26620033 -111.82064538
111  33.26615123 -111.82059569
111  33.26590054 -111.82034194
111  33.26547355 -111.81990975
111  33.26544105 -111.81987894
111  33.26543581 -111.81988661
111  33.26536879 -111.81989327
111  33.26536287 -111.81988764
111  33.26540534 -111.81982805
111  33.26542901 -111.81979479
111  33.26547051 -111.81973655
111  33.26547631 -111.81974203
111  33.26548087 -111.81982242
111  33.26547589 -111.81982911
111  33.26551222 -111.81986579
111  33.26623313 -111.82059404
111  33.26627353 -111.82063451
111  33.26627912 -111.82062691
111  33.26634530 -111.82062087
111  33.26635124 -111.82062658
111  33.26630981 -111.82068462
113  33.26628395 -111.82072077
110 1 0.00 0.0000 New Taxiway 26
111  33.26543522 -111.81996404
111  33.26547355 -111.81990975
111  33.26590054 -111.82034194
111  33.26615123 -111.82059569
111  33.26620033 -111.82064538
111  33.26616076 -111.82070245
111  33.26615637 -111.82069795
111  33.26611050 -111.82065127
111  33.26586044 -111.82039678
113  33.26562245 -111.82015458
110 2 0.00 0.0000 New Taxiway 25
111  33.26615637 -111.82069795
111  33.26612349 -111.82074482
111  33.26604692 -111.82074984
111  33.26604276 -111.82074931
111  33.26536921 -111.82005792
111  33.26543522 -111.81996404
111  33.26562245 -111.82015458
111  33.26586044 -111.82039678
113  33.26611050 -111.82065127
110 1 0.00 0.0000 New Taxiway 24
111  33.26531236 -111.82013923
111  33.26536921 -111.82005792
111  33.26604276 -111.82074931
111  33.26604692 -111.82074984
111  33.26601233 -111.82081685
111  33.26593356 -111.82075543
113  33.26592840 -111.82076324
110 2 0.00 0.0000 New Taxiway 22
111  33.26590566 -111.82090794
111  33.26588573 -111.82081893
111  33.26589383 -111.82081247
111  33.26586554 -111.82078351
111  33.26533880 -111.82024950
111  33.26524325 -111.82015503
111  33.26523785 -111.82016254
111  33.26517230 -111.82016937
111  33.26516624 -111.82016333
111  33.26520788 -111.82010532
111  33.26523099 -111.82007315
111  33.26528032 -111.82000438
111  33.26528309 -111.82009772
111  33.26527838 -111.82010481
111  33.26531236 -111.82013923
111  33.26592840 -111.82076324
111  33.26593356 -111.82075543
111  33.26601233 -111.82081685
111  33.26606711 -111.82085956
111  33.26606859 -111.82087950
111  33.26602274 -111.82088755
113  33.26598034 -111.82089492
110 2 0.00 0.0000 New Taxiway 21
111  33.26529411 -111.82031115
111  33.26530174 -111.82031953
111  33.26529503 -111.82032873
111  33.26569589 -111.82073659
111  33.26564552 -111.82080881
111  33.26561375 -111.82077603
111  33.26557983 -111.82082441
111  33.26553517 -111.82077986
111  33.26549124 -111.82084158
111  33.26515951 -111.82050628
111  33.26507689 -111.82062346
111  33.26494469 -111.82049344
111  33.26495126 -111.82046544
111  33.26514730 -111.82019026
111  33.26521475 -111.82025798
113  33.26522670 -111.82024177
110 2 0.00 0.0000 New Taxiway 20
111  33.26512131 -111.82097508
111  33.26514123 -111.82113079
111  33.26526166 -111.82111213
111  33.26529665 -111.82109688
112  33.26536211 -111.82111251  33.26538584 -111.82111591
111  33.26536211 -111.82111251
111  33.26533315 -111.82114007
111  33.26514641 -111.82117122
111  33.26515393 -111.82123001
111  33.26474324 -111.82129848
111  33.26469716 -111.82088040
111  33.26473285 -111.82087601
112  33.26473285 -111.82087601  33.26472629 -111.82082490
111  33.26471649 -111.82078878
112  33.26471649 -111.82078878  33.26476014 -111.82073728
112  33.26489968 -111.82075311  33.26497808 -111.82080558
113  33.26489968 -111.82075311
110 2 0.00 0.0000 New Taxiway 18
111  33.26698212 -111.82001659
111  33.26695201 -111.81998751
111  33.26700703 -111.81991103
113  33.26703652 -111.81993880
110 1 0.00 0.0000 New Taxiway 17
111  33.26707357 -111.81997420
112  33.26707357 -111.81997420  33.26707695 -111.81997557
111  33.26707960 -111.81997197
111  33.26711884 -111.81991540
111  33.26712497 -111.81992153
111  33.26713836 -111.81993496
111  33.26734560 -111.82014267
111  33.26734825 -111.82014533
111  33.26720574 -111.82035093
111  33.26720083 -111.82034596
111  33.26698992 -111.82013210
111  33.26697795 -111.82011996
111  33.26697453 -111.82011649
111  33.26701740 -111.82005478
112  33.26701740 -111.82005478  33.26701886 -111.82005151
111  33.26701737 -111.82004919
111  33.26698212 -111.82001659
113  33.26703652 -111.81993880
110 2 0.00 0.0000 New Taxiway 11
111  33.27196708 -111.79925748
111  33.27175974 -111.79904851
111  33.27174004 -111.79907611
111  33.27168491 -111.79902359
111  33.27170197 -111.79899932
111  33.27168568 -111.79898379
111  33.27171670 -111.79893942
111  33.27173130 -111.79895371
111  33.27198019 -111.79861288
111  33.27199939 -111.79863358
113  33.27223946 -111.79887505
110 2 0.00 0.0000 New Taxiway 10
111  33.27218823 -111.79970239
111  33.27210860 -111.79962396
111  33.27266537 -111.79884701
113  33.27274348 -111.79892579
110 2 0.00 0.0000 New Taxiway 9
111  33.27240758 -111.79992539
111  33.27296229 -111.79914497
111  33.27303973 -111.79922443
113  33.27248617 -111.80000406
110 2 0.00 0.0000 New Taxiway 8
111  33.27238764 -111.80168594
111  33.27223848 -111.80153409
111  33.27277143 -111.80078532
113  33.27292239 -111.80093772
110 2 0.00 0.0000 New Taxiway 7
111  33.27204589 -111.80133849
111  33.27196654 -111.80126018
111  33.27252221 -111.80048159
113  33.27260023 -111.80056063
110 2 0.00 0.0000 New Taxiway 7
111  33.27174705 -111.80103794
111  33.27166811 -111.80095983
111  33.27222423 -111.80018042
113  33.27230392 -111.80026097
110 2 0.00 0.0000 New Taxiway 6
111  33.27192732 -111.79988059
111  33.27200471 -111.79996151
111  33.27144942 -111.80073794
113  33.27137147 -111.80065905
110 2 0.00 0.0000 New Taxiway 27
111  33.26971571 -111.81645699
111  33.26968438 -111.81642437
111  33.26970734 -111.81639420
113  33.26973620 -111.81642802
110 2 0.00 0.0000 New Taxiway 28
111  33.26966409 -111.81648920
111  33.26968936 -111.81651536
111  33.26969828 -111.81652540
111  33.26969606 -111.81656712
111  33.26964762 -111.81671893
111  33.26946654 -111.81696843
111  33.26950866 -111.81701306
111  33.26906861 -111.81762834
111  33.26912006 -111.81768252
111  33.26901239 -111.81783531
111  33.26883069 -111.81765434
111  33.26883358 -111.81765030
111  33.26963094 -111.81653555
113  33.26964829 -111.81651129
110 2 0.00 0.0000 New Taxiway 33
111  33.26852347 -111.81849409
111  33.26852097 -111.81849157
111  33.26832271 -111.81829186
111  33.26831916 -111.81828829
111  33.26846830 -111.81807941
111  33.26846442 -111.81805166
111  33.26849485 -111.81804667
111  33.26851590 -111.81801712
111  33.26854000 -111.81804308
111  33.26852463 -111.81806337
111  33.26849404 -111.81810376
111  33.26867123 -111.81827615
113  33.26867312 -111.81827798
110 2 0.00 0.0000 New Taxiway 52
111  33.27241934 -111.81124197
111  33.27241148 -111.81124180
111  33.27241180 -111.81120056
111  33.27240018 -111.81120056
111  33.27240063 -111.81113194
111  33.27236489 -111.81113129
111  33.27236585 -111.81108640
111  33.27240307 -111.81109016
111  33.27240307 -111.81109388
113  33.27241991 -111.81109414
110 1 0.00 0.0000 Big Taxiway
111  33.26437550 -111.82021799
111  33.26436893 -111.82021133
111  33.26416501 -111.82000472
111  33.26432852 -111.81977297
111  33.26435822 -111.81980368
112  33.26435822 -111.81980368  33.26432803 -111.81987111
112  33.26436765 -111.82003228  33.26443717 -111.82012419
111  33.26436765 -111.82003228
111  33.26444213 -111.82010646
111  33.26456337 -111.82022720
112  33.26456337 -111.82022720  33.26465987 -111.82027387
111  33.26471732 -111.82020497
111  33.26627680 -111.81803566
112  33.26627680 -111.81803566  33.26633470 -111.81790620
111  33.26627191 -111.81782505
111  33.26615651 -111.81770838
