I
1050 Generated by WorldEditor 2.2.0r2

1    438 1 0 PAFA Fairbanks Intl
111  64.80955089 -147.85102942
111  64.80947179 -147.85118923
111  64.80955405 -147.85146982
111  64.80951450 -147.85154972
111  64.80948603 -147.85146982
111  64.80943225 -147.85156087
111  64.80950580 -147.85175970
111  64.80952437 -147.85172703
111  64.80962419 -147.85204430
113  64.80929694 -147.85264362
110 5 0.00 0.0000 New Taxiway 61
111  64.81142092 -147.84839915
112  64.81141352 -147.84877907  64.81137970 -147.84897524
111  64.81141352 -147.84877907
111  64.81060652 -147.85022119
111  64.81040037 -147.84965849
111  64.81043591 -147.84959748
111  64.81020083 -147.84892957
111  64.81056164 -147.84818139
111  64.81084410 -147.84892409
111  64.81094455 -147.84920284
112  64.81098884 -147.84922143  64.81101810 -147.84918054
111  64.81100466 -147.84911364
111  64.81123877 -147.84868995
111  64.81119527 -147.84855429
112  64.81119527 -147.84855429  64.81131964 -147.84836162
111  64.81125934 -147.84798749
113  64.81120004 -147.84777092
110 2 0.00 0.0000 New Taxiway 60
111  64.81143993 -147.84732079
111  64.81130443 -147.84693307
111  64.81139270 -147.84674797
111  64.81140314 -147.84677919
111  64.81154597 -147.84656991
111  64.81165929 -147.84691575
111  64.81163442 -147.84696728
111  64.81163993 -147.84698883
113  64.81144544 -147.84734810
110 2 0.00 0.0000 New Taxiway 59
111  64.81224248 -147.84589095
111  64.81244088 -147.84549474
111  64.81249189 -147.84564262
111  64.81257221 -147.84589591
113  64.81236613 -147.84626095
110 2 0.00 0.0000 New Taxiway 58
111  64.81247765 -147.84486186
111  64.81254769 -147.84473665
111  64.81270927 -147.84524823
111  64.81275515 -147.84515887
111  64.81284392 -147.84541514
111  64.81279473 -147.84551176
111  64.81286364 -147.84570323
113  64.81281232 -147.84580518
110 2 0.00 0.0000 New Taxiway 57
111  64.81296041 -147.84418524
111  64.81294500 -147.84413178
111  64.81308004 -147.84389724
111  64.81308664 -147.84392829
111  64.81315343 -147.84381447
111  64.81328822 -147.84423767
111  64.81325030 -147.84430091
111  64.81326376 -147.84434546
111  64.81323562 -147.84440007
111  64.81321850 -147.84434833
111  64.81308578 -147.84460414
111  64.81306927 -147.84454665
111  64.81315734 -147.84438282
111  64.81313899 -147.84431815
111  64.81303869 -147.84450067
113  64.81294500 -147.84421111
110 2 0.00 0.0000 New Taxiway 56
111  64.81326881 -147.84340368
111  64.81338429 -147.84316422
111  64.81352602 -147.84356203
113  64.81341307 -147.84380289
110 2 0.00 0.0000 New Taxiway 55
111  64.81361693 -147.84337884
111  64.81353235 -147.84314414
111  64.81371838 -147.84280292
113  64.81379613 -147.84303680
110 2 0.00 0.0000 New Taxiway 54
111  64.81431639 -147.84207145
111  64.81421931 -147.84225003
111  64.81414655 -147.84204373
113  64.81424692 -147.84185199
110 2 0.00 0.0000 New Taxiway 53
111  64.81442118 -147.84241402
111  64.81431440 -147.84258872
111  64.81424621 -147.84233552
113  64.81434601 -147.84217583
110 2 0.00 0.0000 New Taxiway 51
111  64.81449142 -147.84101771
111  64.81449876 -147.84100190
111  64.81447674 -147.84092142
111  64.81456483 -147.84075579
111  64.81464612 -147.84099843
111  64.81459284 -147.84110298
111  64.81459833 -147.84112750
111  64.81456428 -147.84118946
111  64.81454553 -147.84113732
113  64.81453729 -147.84115281
110 2 0.00 0.0000 New Taxiway 50
111  64.81466360 -147.84159356
111  64.81475799 -147.84140258
111  64.81483444 -147.84166047
113  64.81474048 -147.84184336
110 2 0.00 0.0000 New Taxiway 49
111  64.81488856 -147.84091162
111  64.81503211 -147.84132139
111  64.81489899 -147.84157204
113  64.81475557 -147.84117445
110 1 0.00 0.0000 New Taxiway 48
111  64.81498855 -147.84049913
111  64.81513165 -147.84024267
111  64.81521479 -147.84049157
111  64.81520537 -147.84051048
111  64.81509622 -147.84072460
113  64.81507556 -147.84076492
110 2 0.00 0.0000 New Taxiway 47
111  64.81556633 -147.84046560
111  64.81551018 -147.84029088
111  64.81554678 -147.84022389
111  64.81557525 -147.84031310
111  64.81564801 -147.84018485
111  64.81566694 -147.84024033
111  64.81572104 -147.84042768
113  64.81561474 -147.84061726
110 2 0.00 0.0000 New Taxiway 46
111  64.81562792 -147.83922822
111  64.81572613 -147.83951786
111  64.81566944 -147.83961234
111  64.81561480 -147.83970347
113  64.81551588 -147.83942207
110 2 0.00 0.0000 New Taxiway 45
111  64.81578405 -147.83998843
111  64.81569967 -147.83972493
111  64.81582632 -147.83949585
113  64.81591175 -147.83974628
110 2 0.00 0.0000 New Taxiway 44
111  64.81605523 -147.83878527
111  64.81623469 -147.83845566
111  64.81639762 -147.83895566
111  64.81637971 -147.83898932
111  64.81622103 -147.83928252
113  64.81621398 -147.83926379
110 2 0.00 0.0000 New Taxiway 43
111  64.81677901 -147.83773141
111  64.81666512 -147.83740799
111  64.81727445 -147.83626821
113  64.81739024 -147.83661394
110 2 0.00 0.0000 New Taxiway 42
111  64.81693581 -147.83820859
111  64.81687254 -147.83802457
111  64.81748234 -147.83688144
111  64.81754403 -147.83707847
111  64.81703070 -147.83803975
111  64.81703949 -147.83806557
111  64.81695875 -147.83821143
113  64.81694886 -147.83818432
110 5 0.00 0.0000 New Taxiway 41
111  64.81766384 -147.83589427
111  64.81779057 -147.83566741
111  64.81801770 -147.83632630
112  64.81800595 -147.83669369  64.81793638 -147.83686548
111  64.81800595 -147.83669369
111  64.81775862 -147.83713697
112  64.81764653 -147.83702730  64.81760030 -147.83689449
111  64.81764653 -147.83702730
111  64.81766104 -147.83697179
112  64.81781504 -147.83687585  64.81787040 -147.83675813
111  64.81783985 -147.83660241
111  64.81765870 -147.83615992
111  64.81755420 -147.83636038
111  64.81753028 -147.83627473
113  64.81751232 -147.83618532
110 2 0.00 0.0000 New Taxiway 40
111  64.81739289 -147.83580034
111  64.81754127 -147.83551826
111  64.81766384 -147.83589427
113  64.81751232 -147.83618532
110 2 0.00 0.0000 New Taxiway 39
111  64.81793759 -147.83496459
111  64.81792459 -147.83491876
111  64.81795425 -147.83484441
111  64.81791602 -147.83473753
111  64.81801554 -147.83454080
111  64.81805575 -147.83467092
111  64.81803927 -147.83470500
111  64.81813352 -147.83501170
111  64.81801752 -147.83523166
113  64.81800071 -147.83517502
110 2 0.00 0.0000 New Taxiway 38
111  64.81816339 -147.83576103
111  64.81815116 -147.83572870
111  64.81807410 -147.83548722
111  64.81805229 -147.83541386
111  64.81816846 -147.83517563
111  64.81818929 -147.83523583
111  64.81827866 -147.83549978
113  64.81828962 -147.83552459
110 3 0.00 0.0000 New Taxiway 37
111  64.81809832 -147.83582011
111  64.81815116 -147.83572870
111  64.81816339 -147.83576103
111  64.81828962 -147.83552459
111  64.81827866 -147.83549978
111  64.81841628 -147.83525999
111  64.81827689 -147.83486651
111  64.81850812 -147.83442891
111  64.81871958 -147.83507047
112  64.81869597 -147.83526281  64.81865088 -147.83534089
111  64.81869597 -147.83526281
111  64.81828464 -147.83600021
112  64.81818894 -147.83601880  64.81813753 -147.83597233
113  64.81818894 -147.83601880
110 2 0.00 0.0000 New Taxiway 36
111  64.81828168 -147.83474603
111  64.81820105 -147.83451798
111  64.81831858 -147.83428350
113  64.81840195 -147.83452440
110 2 0.00 0.0000 New Taxiway 35
111  64.81875047 -147.83395908
111  64.81864796 -147.83363787
111  64.81876277 -147.83341945
113  64.81887210 -147.83374066
110 2 0.00 0.0000 New Taxiway 34
111  64.81890217 -147.83434775
111  64.81881470 -147.83409078
111  64.81895547 -147.83382739
113  64.81904158 -147.83409399
110 2 0.00 0.0000 New Taxiway 33
111  64.81916048 -147.83399442
111  64.81905524 -147.83368605
111  64.81923975 -147.83336484
113  64.81934225 -147.83366357
110 2 0.00 0.0000 New Taxiway 32
111  64.81981269 -147.83211730
111  64.81976125 -147.83196740
111  64.81969149 -147.83174452
111  64.81974998 -147.83161888
111  64.81983094 -147.83147087
113  64.81995373 -147.83184471
110 2 0.00 0.0000 New Taxiway 31
111  64.81957902 -147.83255139
111  64.81945992 -147.83219528
111  64.81952322 -147.83205306
111  64.81957532 -147.83195063
111  64.81964850 -147.83218154
113  64.81969956 -147.83232259
110 2 0.00 0.0000 New Taxiway 30
111  64.81995496 -147.83132123
111  64.81998660 -147.83126175
111  64.82007360 -147.83111861
111  64.82014478 -147.83136213
111  64.82009970 -147.83145880
111  64.82013134 -147.83154245
111  64.82008468 -147.83163168
111  64.82005620 -147.83154059
113  64.82004513 -147.83156475
110 2 0.00 0.0000 New Taxiway 29
111  64.82019878 -147.83197023
111  64.82011267 -147.83172610
111  64.82023568 -147.83152051
113  64.82031221 -147.83174858
110 2 0.00 0.0000 New Taxiway 28
111  64.82055822 -147.83065320
111  64.82047759 -147.83043477
111  64.82069353 -147.83006214
113  64.82076050 -147.83025809
110 2 0.00 0.0000 New Taxiway 27
111  64.82074718 -147.83100852
111  64.82066619 -147.83076242
111  64.82080149 -147.83052762
113  64.82088240 -147.83077156
110 2 0.00 0.0000 New Taxiway 26
111  64.82107621 -147.83038016
111  64.82093544 -147.82995934
111  64.82109534 -147.82969271
113  64.82122791 -147.83006856
110 2 0.00 0.0000 New Taxiway 25
111  64.82194674 -147.82859129
111  64.82193027 -147.82862382
111  64.82181031 -147.82825201
111  64.82182679 -147.82821483
111  64.82180701 -147.82814976
111  64.82216150 -147.82749468
111  64.82238096 -147.82817857
113  64.82203032 -147.82883235
110 5 0.00 0.0000 New Taxiway 24
111  64.81169344 -147.84684745
111  64.81165929 -147.84691575
111  64.81154597 -147.84656991
111  64.81147450 -147.84635182
111  64.81165081 -147.84601785
111  64.81171914 -147.84614951
111  64.81200069 -147.84562607
111  64.81216216 -147.84605733
111  64.81244433 -147.84688425
113  64.81197984 -147.84772650
110 2 0.00 0.0000 New Taxiway 52
111  64.81444659 -147.84288692
111  64.81436615 -147.84263334
111  64.81444623 -147.84248896
113  64.81452823 -147.84274053
110 5 0.00 0.0000 New Taxiway 22
111  64.81438951 -147.84327897
111  64.81433120 -147.84309380
111  64.81444659 -147.84288692
111  64.81452823 -147.84274053
111  64.81444623 -147.84248896
111  64.81442118 -147.84241402
111  64.81434601 -147.84217583
111  64.81431639 -147.84207145
111  64.81424692 -147.84185199
111  64.81415808 -147.84158169
111  64.81428109 -147.84137294
111  64.81464187 -147.84245920
112  64.81460946 -147.84289323  64.81450800 -147.84311178
113  64.81460946 -147.84289323
110 3 0.00 0.0000 New Taxiway 21
111  64.81474048 -147.84184336
111  64.81483444 -147.84166047
111  64.81487656 -147.84162114
111  64.81497824 -147.84194194
112  64.81486102 -147.84217344  64.81481356 -147.84224258
111  64.81477655 -147.84220466
113  64.81471201 -147.84201286
110 5 0.00 0.0000 New Taxiway 20
111  64.81487701 -147.84239365
112  64.81472214 -147.84227469  64.81466049 -147.84208153
111  64.81472214 -147.84227469
111  64.81451534 -147.84166396
112  64.81452145 -147.84141844  64.81454787 -147.84132014
111  64.81452145 -147.84141844
111  64.81458010 -147.84128646
112  64.81458010 -147.84128646  64.81456397 -147.84136675
111  64.81456774 -147.84141514
111  64.81463323 -147.84165378
111  64.81466360 -147.84159356
111  64.81474048 -147.84184336
111  64.81471201 -147.84201286
111  64.81477655 -147.84220466
112  64.81486102 -147.84217344  64.81490847 -147.84210430
111  64.81497824 -147.84194194
113  64.81504170 -147.84214213
110 5 0.00 0.0000 New Taxiway 19
111  64.81483219 -147.84029903
111  64.81488494 -147.84022034
111  64.81498855 -147.84049913
111  64.81507556 -147.84076492
111  64.81509622 -147.84072460
111  64.81515629 -147.84088885
111  64.81531922 -147.84135037
113  64.81525229 -147.84148489
110 5 0.00 0.0000 New Taxiway 18
111  64.81554003 -147.84096221
112  64.81554003 -147.84096221  64.81560456 -147.84071687
111  64.81556633 -147.84046560
111  64.81561474 -147.84061726
111  64.81572104 -147.84042768
111  64.81566694 -147.84024033
111  64.81579127 -147.84001953
111  64.81578405 -147.83998843
111  64.81583513 -147.83998843
111  64.81587916 -147.84011881
113  64.81588445 -147.84038166
110 2 0.00 0.0000 New Taxiway 17
111  64.81515629 -147.84088885
111  64.81509622 -147.84072460
111  64.81520537 -147.84051048
113  64.81526286 -147.84068810
110 5 0.00 0.0000 New Taxiway 16
111  64.81721241 -147.83594267
111  64.81761753 -147.83717245
112  64.81759037 -147.83745015  64.81754267 -147.83754501
111  64.81759037 -147.83745015
111  64.81678307 -147.83896033
111  64.81675841 -147.83888376
111  64.81650917 -147.83934323
111  64.81637971 -147.83898932
111  64.81639762 -147.83895566
111  64.81623469 -147.83845566
111  64.81605523 -147.83878527
111  64.81621398 -147.83926379
111  64.81613600 -147.83940752
111  64.81629400 -147.83985068
111  64.81607732 -147.84024299
111  64.81600863 -147.84001533
111  64.81606852 -147.83989115
111  64.81590823 -147.83939857
111  64.81582632 -147.83949585
111  64.81569967 -147.83972493
111  64.81566944 -147.83961234
111  64.81572613 -147.83951786
111  64.81562792 -147.83922822
111  64.81551588 -147.83942207
111  64.81544044 -147.83915614
111  64.81582585 -147.83850095
111  64.81593082 -147.83883240
111  64.81617601 -147.83831600
111  64.81603742 -147.83788043
111  64.81609318 -147.83779949
112  64.81609318 -147.83779949  64.81615962 -147.83800023
111  64.81623112 -147.83809213
111  64.81646219 -147.83772241
111  64.81637363 -147.83738709
113  64.81656880 -147.83712501
110 5 0.00 0.0000 New Taxiway 15
111  64.82150461 -147.83228396
111  64.82129865 -147.83183557
111  64.82126544 -147.83184449
111  64.82122557 -147.83137378
111  64.82166881 -147.83053721
113  64.82195923 -147.83144740
110 1 0.00 0.0000 New Taxiway 14
112  64.81947994 -147.83156587  64.81941350 -147.83139634
111  64.81947994 -147.83156587
111  64.81954690 -147.83149896
111  64.81957693 -147.83158104
111  64.81967583 -147.83141865
111  64.81974998 -147.83161888
111  64.81969149 -147.83174452
111  64.81976125 -147.83196740
111  64.81964850 -147.83218154
111  64.81957532 -147.83195063
111  64.81952322 -147.83205306
113  64.81947766 -147.83188709
110 3 0.00 0.0000 New Taxiway 13
111  64.81933359 -147.83209408
111  64.81929657 -147.83198078
111  64.81947994 -147.83156587
112  64.81947994 -147.83156587  64.81954637 -147.83173541
111  64.81947766 -147.83188709
111  64.81952322 -147.83205306
111  64.81945992 -147.83219528
111  64.81957902 -147.83255139
111  64.81969956 -147.83232259
111  64.81964850 -147.83218154
111  64.81976125 -147.83196740
111  64.81981269 -147.83211730
111  64.81995373 -147.83184471
111  64.81983094 -147.83147087
111  64.81974998 -147.83161888
111  64.81967583 -147.83141865
111  64.81957693 -147.83158104
111  64.81954690 -147.83149896
111  64.81974265 -147.83112831
111  64.81984582 -147.83139931
111  64.82018987 -147.83244590
113  64.81972196 -147.83333612
110 5 0.00 0.0000 New Taxiway 12
111  64.81953572 -147.83389898
111  64.81943796 -147.83382654
111  64.81941330 -147.83386380
111  64.81917023 -147.83430469
111  64.81922131 -147.83446614
111  64.81831409 -147.83612541
112  64.81819813 -147.83610816  64.81814431 -147.83598167
111  64.81819813 -147.83610816
111  64.81809832 -147.83582011
111  64.81818894 -147.83601880
112  64.81818894 -147.83601880  64.81824035 -147.83606527
111  64.81828464 -147.83600021
111  64.81869597 -147.83526281
112  64.81869597 -147.83526281  64.81874105 -147.83518474
111  64.81871958 -147.83507047
111  64.81850812 -147.83442891
111  64.81827689 -147.83486651
111  64.81841628 -147.83525999
111  64.81827866 -147.83549978
111  64.81818929 -147.83523583
111  64.81822251 -147.83515776
112  64.81822251 -147.83515776  64.81825857 -147.83504623
111  64.81823358 -147.83495143
111  64.81804850 -147.83439936
111  64.81877464 -147.83303684
112  64.81877464 -147.83303684  64.81881545 -147.83316175
111  64.81887168 -147.83308823
111  64.81933359 -147.83209408
111  64.81972196 -147.83333612
111  64.82018987 -147.83244590
111  64.81984582 -147.83139931
111  64.81993282 -147.83125803
111  64.81995496 -147.83132123
111  64.82004513 -147.83156475
111  64.82005620 -147.83154059
111  64.82008468 -147.83163168
111  64.82013134 -147.83154245
111  64.82009970 -147.83145880
111  64.82014478 -147.83136213
111  64.82007360 -147.83111861
111  64.81998660 -147.83126175
111  64.81994187 -147.83112359
111  64.82014206 -147.83075106
112  64.82014206 -147.83075106  64.82018556 -147.83065811
111  64.82016143 -147.83052084
111  64.82063750 -147.82964815
111  64.82078556 -147.83007378
111  64.82083838 -147.83023309
111  64.82048216 -147.83090653
111  64.82051905 -147.83102945
111  64.82066765 -147.83076543
111  64.82074718 -147.83100852
111  64.82088240 -147.83077156
111  64.82080149 -147.83052762
111  64.82088595 -147.83037756
113  64.82109504 -147.83101256
110 5 0.00 0.0000 New Taxiway 11
111  64.82209512 -147.82919374
111  64.82190929 -147.82867000
111  64.82183267 -147.82880870
111  64.82202466 -147.82932209
111  64.82158719 -147.83012004
112  64.82150881 -147.83012418  64.82147456 -147.83004655
111  64.82150881 -147.83012418
111  64.82138854 -147.82977307
111  64.82143462 -147.82972842
112  64.82155510 -147.82985546  64.82160968 -147.82988706
111  64.82174822 -147.82943965
112  64.82174822 -147.82943965  64.82180596 -147.82928721
111  64.82177208 -147.82918000
111  64.82170103 -147.82893057
111  64.82177709 -147.82879982
111  64.82162589 -147.82831553
111  64.82178526 -147.82808005
111  64.82180701 -147.82814976
111  64.82182679 -147.82821483
111  64.82181031 -147.82825201
111  64.82193027 -147.82862382
111  64.82194674 -147.82859129
111  64.82203032 -147.82883235
111  64.82238096 -147.82817857
111  64.82216150 -147.82749468
111  64.82224905 -147.82732684
111  64.82256894 -147.82823161
111  64.82261903 -147.82813891
113  64.82263499 -147.82817523
110 3 0.00 0.0000 New Taxiway 10
111  64.82260372 -147.82858998
111  64.82272954 -147.82896921
111  64.82232522 -147.82971880
111  64.82227966 -147.82958762
111  64.82215097 -147.82982321
113  64.82207173 -147.82959202
110 5 0.00 0.0000 New Taxiway 8
111  64.82236412 -147.83525638
111  64.82224076 -147.83488509
111  64.82225409 -147.83486056
113  64.82237499 -147.83523627
110 3 0.00 0.0000 New Taxiway 7
111  64.82366818 -147.83855139
112  64.82366818 -147.83855139  64.82358573 -147.83867901
111  64.82351326 -147.83848673
111  64.82311511 -147.83748278
112  64.82311511 -147.83748278  64.82303367 -147.83729134
111  64.82290952 -147.83732283
111  64.82252251 -147.83768434
112  64.82245313 -147.83789789  64.82243101 -147.83794515
111  64.82236369 -147.83796945
112  64.82226898 -147.83817685  64.82222072 -147.83826429
111  64.82212914 -147.83826553
111  64.82143129 -147.83958255
112  64.82143129 -147.83958255  64.82142405 -147.83969315
111  64.82138930 -147.83980375
111  64.82107947 -147.84048434
112  64.82107947 -147.84048434  64.82086953 -147.84058927
111  64.82081451 -147.84072256
111  64.81983578 -147.84254314
111  64.81974457 -147.84290725
112  64.81974457 -147.84290725  64.81973653 -147.84305848
112  64.81971489 -147.84327484  64.81966864 -147.84340245
112  64.81952088 -147.84337016  64.81947664 -147.84342214
111  64.81952088 -147.84337016
111  64.81794931 -147.84621689
112  64.81770197 -147.84681000  64.81761902 -147.84705810
111  64.81764567 -147.84729597
112  64.81764567 -147.84729597  64.81769091 -147.84752635
111  64.81774487 -147.84764725
112  64.81777758 -147.84789882  64.81774862 -147.84804343
111  64.81777758 -147.84789882
112  64.81777758 -147.84789882  64.81776210 -147.84800046
112  64.81760211 -147.84800691  64.81752561 -147.84808377
111  64.81760211 -147.84800691
112  64.81760211 -147.84800691  64.81747227 -147.84816594
111  64.81732694 -147.84852546
112  64.81732694 -147.84852546  64.81726903 -147.84868141
111  64.81720629 -147.84856091
111  64.81706754 -147.84841441
112  64.81706754 -147.84841441  64.81697705 -147.84830667
111  64.81689963 -147.84829391
111  64.81667844 -147.84861053
112  64.81667844 -147.84861053  64.81657830 -147.84906702
111  64.81666637 -147.84921541
111  64.81690868 -147.84990062
112  64.81690868 -147.84990062  64.81697745 -147.85024937
111  64.81688053 -147.85044643
111  64.81671966 -147.85072996
112  64.81671966 -147.85072996  64.81660263 -147.85090009
111  64.81649062 -147.85075407
112  64.81649062 -147.85075407  64.81636152 -147.85057827
111  64.81631990 -147.85039965
111  64.81624912 -147.85010856
112  64.81624912 -147.85010856  64.81616345 -147.84979951
111  64.81603697 -147.84995971
111  64.81579064 -147.85029050
112  64.81579064 -147.85029050  64.81573272 -147.85051732
111  64.81579365 -147.85074178
111  64.81613651 -147.85170105
112  64.81613651 -147.85170105  64.81618879 -147.85202947
111  64.81615259 -147.85220904
111  64.81596056 -147.85274538
112  64.81596056 -147.85274538  64.81583890 -147.85301946
111  64.81575947 -147.85278555
111  64.81530602 -147.85152387
112  64.81530602 -147.85152387  64.81521352 -147.85127343
111  64.81512202 -147.85144590
111  64.81492194 -147.85183574
112  64.81492194 -147.85183574  64.81481637 -147.85212635
111  64.81492094 -147.85241460
111  64.81532713 -147.85367391
112  64.81532713 -147.85367391  64.81540840 -147.85390230
111  64.81532713 -147.85403540
111  64.81510694 -147.85441343
112  64.81510694 -147.85441343  64.81502316 -147.85450793
111  64.81498880 -147.85437602
111  64.81485860 -147.85384403
111  64.81465450 -147.85326754
112  64.81465450 -147.85326754  64.81455898 -147.85296237
111  64.81446335 -147.85284782
111  64.81449431 -147.85279361
111  64.81460533 -147.85256883
111  64.81502862 -147.85383561
112  64.81514932 -147.85393429  64.81520723 -147.85382372
111  64.81515023 -147.85360864
111  64.81474575 -147.85241872
112  64.81471003 -147.85170293  64.81476191 -147.85124079
111  64.81471003 -147.85170293
111  64.81512226 -147.85095474
112  64.81541132 -147.85119101  64.81555973 -147.85165315
111  64.81541132 -147.85119101
111  64.81577496 -147.85230345
112  64.81597226 -147.85225132  64.81607602 -147.85200465
111  64.81598191 -147.85168127
111  64.81562917 -147.85074011
112  64.81561852 -147.85007324  64.81568729 -147.84976419
